source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,,1.0,,,
Bioplastic,,,,1.0,,,,,,,
Carbon sequestration,2.0,1.0,,,1.0,1.0,,,,,
Cloud computing,,,,,,,,,1.0,,
Cryptocurrency,,,,,,,,,1.0,,
Deep learning,,,,,,,,,1.0,,1.0
Digital image processing,,,,,,,,,1.0,,
Electronic nose,,,,,1.0,,,,,,
Force Field,,,,1.0,,,,,,,
Genetically modified crops,,,,,1.0,1.0,,,,,
Internet of things,,,,,,,,,,1.0,
Learning Management System,,,1.0,,,,,,2.0,,
Lidar,,,,,5.0,4.0,1.0,,,,
Life-cycle assessment,,1.0,,,,,,,,,
Machine translation,,,,,1.0,,,,,,
Machine vision,,,,,,,,1.0,,,
Magnetic nanoparticles,,,,,,,1.0,,,,
Mobile learning,,,1.0,1.0,,,,,,,
Natural Language Processing,,,,,1.0,,1.0,,,,
Neural Networks,,,1.0,,,,,2.0,1.0,,
Precision agriculture,,,,,,,1.0,,,,
Rapid transit,,,,,,1.0,,,,,
Regenerative Medicine,,,1.0,,,,,,,,
Smartphone,,,1.0,,,,,1.0,,,
Vertical farming,,,,,,,,1.0,,,
aquaponics,,,,,,,1.0,,,,
