source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2012-10-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,1.0,,,1.0,,,
Carbon sequestration,1.0,,,,,,,,,,,,
Cloud computing,,,,,,1.0,1.0,,,,,,
Electric vehicle,,,1.0,,1.0,,,,,,,,
Energy harvesting,,,,,,,,,,,2.0,,
Fuel cell,1.0,,,,,,,,,,,,
Fusion power,,,,,,,,,1.0,,,,
Gasification,,,,,1.0,,,,,,,,
Graphene,,,,,1.0,,,,,,,,
Holography,,,,,,,,,1.0,,,,
Insects as food,,,,,,,1.0,,,,,,
Internet of things,,,,,,,,,3.0,,,2.0,
Lidar,,,,,2.0,,,,,,,,1.0
Life-cycle assessment,,,1.0,,1.0,,1.0,,,1.0,,,1.0
Magnetic nanoparticles,,,,,,,,,,,1.0,,
Mobile learning,1.0,,,,,,1.0,1.0,,,,,
Natural Language Processing,,,,,,1.0,,,,1.0,,1.0,
Neural Networks,,,,,,,,,,,1.0,,
Precision agriculture,,,,,,,1.0,,,,,,
Regenerative Medicine,2.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,,,2.0
Smart grid,,,,,1.0,2.0,2.0,,1.0,,,,
Smartphone,,,,,1.0,,1.0,,1.0,,,,
Structural health monitoring,,,,,,,,,,,1.0,,
aquaponics,,,,,,,,,,,,1.0,
