source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,1.0,,2.0,1.0
Augmented reality,,,,,,,,,,,1.0
Cloud computing,,,,,,,,1.0,,,
Cryptocurrency,,,,,,,,,2.0,2.0,
Drug-eluting stent,,,,,,,1.0,,,,
Exascale computing,,,,,,,,1.0,,,
Fusion power,,,,1.0,,,,,,,
Gasification,,,,,,1.0,,,,,
Internet of things,,,,,,,,,,,1.0
Mobile learning,,,1.0,,1.0,,,,,,
Natural Language Processing,,,,,,,,,,1.0,
Neural Networks,,,,,,,,,2.0,2.0,
Precision agriculture,,,,,,,,,,1.0,
Radio-frequency identification,,,,,,,,,,1.0,
Regenerative Medicine,1.0,,,,,,,,,,
Thorium fuel cycle,,1.0,,,,,,,,,
Virtual reality,,,,,,,2.0,,,,
