source,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-10-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,,,,,,,,1.0
Carbon sequestration,,,,,1.0,,,,,,,,,
Cloud computing,,2.0,2.0,3.0,7.0,4.0,,6.0,6.0,5.0,3.0,,,1.0
Conductive polymer,,,,,1.0,,,,,,,,,
Cryptocurrency,,,,,,,,,,,1.0,,,
Fuel cell,,1.0,,,1.0,1.0,,1.0,,,,,,
Gasification,,,,,1.0,,1.0,1.0,,,,,,
Graphene,,,,,,,,,,,2.0,,,
Hydrogen fuel,,,,,1.0,,,,,,,,,
Internet of things,,,,,,,,1.0,1.0,,1.0,,2.0,2.0
Learning Management System,,,,,1.0,,,1.0,,,,,,
Life-cycle assessment,,,,1.0,,,,,,,,,,
Maglev,,,,,,,,,1.0,,,,,
Mobile learning,1.0,1.0,2.0,2.0,,1.0,,3.0,1.0,1.0,,,,1.0
Neural Networks,1.0,,,1.0,,,,,,,,,,1.0
Precision agriculture,,,,,,,,,,,1.0,,,
Radio-frequency identification,,,,,,,,,,,1.0,,,
Smart grid,,,,,1.0,,,,,,,,,1.0
Smartphone,,1.0,1.0,,1.0,2.0,,4.0,1.0,5.0,2.0,1.0,,
Stem-cell therapy,,1.0,,,,,,,,,,,,
Virtual reality,1.0,,,,1.0,,,1.0,,,,,,
