source,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-08-01T00:00:00Z,2020-01-01T00:00:00Z
DNA repair,,,,,,,1.0,,,
Fullerene,,,1.0,,,,,,,
Gasification,,1.0,,,,,,,,
Genetically modified food,,,,,,,,,,1.0
Internet of things,,,,,,1.0,,,,1.0
Lidar,,,,,1.0,,,,,
Life-cycle assessment,,,,,,,,1.0,1.0,
Nanocrystal,,,1.0,,,,,,,
Natural Language Processing,,,,,1.0,,,,,
Neural Networks,,,1.0,,,,,,,
Radio-frequency identification,,,,1.0,,,,,,
Smart grid,1.0,,,,,,,,,1.0
Smartphone,,,,,,,2.0,,,1.0
Virtual reality,,,,,1.0,,,,,
