source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-08-01T00:00:00Z,2014-11-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-03-01T00:00:00Z,2017-09-01T00:00:00Z,2017-11-01T00:00:00Z,2018-01-01T00:00:00Z,2018-06-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-03-01T00:00:00Z,2020-07-01T00:00:00Z,2020-09-01T00:00:00Z,2020-10-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,
Adaptive Learning Technology,,,,,,,,,,,,,,1.0,,,,,,,,
Augmented reality,,,,,,,,,,,,,,,,,3.0,,,,,
Autonomous vehicle,,,,,,,,,,1.0,,,,,,3.0,,,,,,
Cloud computing,3.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,1.0,,,,,,
Conductive polymer,,1.0,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,
Deep learning,,,,,,,,,,,,,,3.0,,1.0,5.0,1.0,,,1.0,3.0
Drug-eluting stent,,,,,1.0,,,,,,,,,,,,,,,,,
Electric vehicle,,,,1.0,,,,,,3.0,,,,1.0,,,,,,,,
Fuel cell,,2.0,2.0,,,,,,1.0,,,,,1.0,,,,,,,,
Gasification,,,,,,,,,,,,,,1.0,,,,,,,,
Gesture recognition,,,,,,,,,,1.0,,,,,,,,,,,,
Graphene,,2.0,3.0,3.0,3.0,,,4.0,6.0,1.0,,,,4.0,,1.0,,,,,,1.0
Indoor positioning system,,,,,1.0,,,,,,,,,,,,,,,,,
Intelligent transportation system,,,,,,,,,1.0,,,,,,,,,,,,,
Internet of things,,,,1.0,,,,,,,,,,1.0,,3.0,,,,,,
Lab-on-a-chip,,,1.0,,,,,,,1.0,,,,,,,,,,,,
Life-cycle assessment,,,,,1.0,,,,,,,,,,,,,,,,,
Machine translation,,,,1.0,,,,,,,,,,,,,,,,,,
Machine vision,,,,,,,,,,,,,,,,,,,,,,1.0
Microfluidics,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,
Mixed Reality,,1.0,,,,,,,,,,,,,,,,,,,,
Mobile learning,1.0,,2.0,,,,,3.0,1.0,,,,,1.0,,,,,,,,
Natural Language Processing,,,,1.0,,,,,,,,,,,,,,,,,,
Neural Networks,1.0,,1.0,,,,,,1.0,,,,,1.0,,,,,,,,1.0
Quantum illumination,,,,,,,,,1.0,,,,,,,,,,,,,
Radio-frequency identification,,,,,,,,,,,,,,,,,1.0,,1.0,,,
Rapid transit,,1.0,,,,,,1.0,4.0,,,,,1.0,,,,,,,,
Regenerative Medicine,,,,,,,,1.0,1.0,,,,,,,,,,,,,
Smart grid,,,,,,,,2.0,1.0,1.0,,,,3.0,,,,,,,,
Smartphone,,,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,4.0,,2.0,1.0,,
Spintronics,,,,,,,,,1.0,,,,,,,,,,,,,
Structural health monitoring,,,,,,,,1.0,,,,,,,,,,,,,,
Urban rail transit,,,,,,,,,1.0,,,,,,,,,,,,,
VTOL,,,,,1.0,,,2.0,,,,,,,,,,,,,,
Virtual reality,,,1.0,1.0,,,,,1.0,,,,,1.0,,,2.0,,,,,
Zeolite,,,,,,,,,,,,,,1.0,,,,,,,,
Zero-energy building,,,1.0,,,,,,,,,,,,,,,,,,,
artificial island,,,,,,,,,,,,,,,,1.0,,,,,,
e-Reader,,,,,,,,1.0,,,,,,,,,,,,,,
self assembly,1.0,,,,,,,,,,,,,,,,,,,,,
