source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-04-01T00:00:00Z,2017-01-01T00:00:00Z,2017-08-01T00:00:00Z,2018-01-01T00:00:00Z,2018-07-01T00:00:00Z,2019-01-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,2.0,,1.0,,,
Apheresis,,,,,1.0,,,,,,,,,,,,
Artificial general intelligence,,,,,,,,,,,,,,,,1.0,
Biosensor,,,,,,,1.0,1.0,,,,,,,,,
Carbon capture and storage,,1.0,2.0,2.0,1.0,,4.0,,,2.0,,1.0,,2.0,,1.0,1.0
Carbon sequestration,,,,,1.0,,,,,,,,,,,1.0,
Cloud computing,1.0,1.0,,3.0,3.0,5.0,6.0,,,1.0,,,,2.0,,1.0,
Cryptocurrency,,,,,,,,,,,,,,2.0,,1.0,1.0
DNA repair,,,,,,,,,,1.0,,,,,,,
Deep learning,,,,1.0,,,,,,1.0,,,,,,,1.0
Electric vehicle,,,,,,,,,,,,1.0,,,,,
Energy harvesting,,,,,,,1.0,,,,,,,,,,
Fuel cell,1.0,,,,2.0,1.0,,,,,,1.0,,,,,
Gasification,,2.0,,,,1.0,,,,,,1.0,,,,2.0,
Genetically modified crops,,,,1.0,,,,,,,,,,,,,
Genetically modified food,,,,,,,,,,,,1.0,,,,,
Graphene,1.0,,,,,1.0,,,,1.0,,,,1.0,,,
Hydrogen fuel,,,,1.0,,,,,,,,,,,,,
Intelligent transportation system,,,,,,,,,,,,,,,,1.0,
Internet of things,,,1.0,,1.0,2.0,1.0,,,,,2.0,,,,2.0,
Learning Management System,,,,,1.0,1.0,1.0,,,,,1.0,,,,,
Lidar,1.0,2.0,1.0,3.0,,,2.0,,,,,1.0,,,,,
Life-cycle assessment,,,,,,,,,,1.0,,,,,,2.0,
Machine translation,,,,,,,,,,,,,,,,,1.0
Microfluidics,1.0,,,,,1.0,,,,,,,,,,,
Mobile learning,,,2.0,1.0,1.0,,1.0,,,,,2.0,,,,1.0,
Natural Language Processing,,,,,,,,,,,,1.0,,,,1.0,
Neural Networks,,,,,,,1.0,,,,,,,,,,1.0
Radio-frequency identification,,,,1.0,,,,,,,,,,,,,
Rapid transit,,2.0,1.0,1.0,1.0,,1.0,,,,,,,2.0,,,
Real-time polymerase chain reaction,1.0,,,,,,,,,,,,,,,,
Regenerative Medicine,,,,,,1.0,,,,,,,,,,,
Smart grid,,,1.0,,,,,,,3.0,,,,,,,
Smartphone,,,,,2.0,2.0,,,1.0,2.0,1.0,2.0,1.0,,1.0,,1.0
Supercapacitor,,,,,,,,,,,,,,1.0,,,
Thorium fuel cycle,,,,1.0,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,1.0,1.0
Visible Light Communication,,,,,,,,,,,,,,1.0,,,
aquaponics,1.0,,,,,,,,,,,1.0,,1.0,,,
concentrated solar power,,,,,,1.0,,,,,,,,1.0,,,
hydroponics,,,,1.0,,,,,,,,,,,,,
