source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-10-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-08-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-08-01T00:00:00Z,2020-01-01T00:00:00Z,2020-04-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,1.0,,3.0,,
Artificial brain,,,,,,,,,,,,1.0,,,,
Artificial muscle,,,,,,,,,,,1.0,,,,,
Biodegradable electronics,,,,,,,,,,,,,,1.0,,
Biosensor,,,,,1.0,,,,,,,,,,,
Capsule endoscopy,,,,,,,,,,,,,,1.0,1.0,
Carbon nanotube,,,,,1.0,,,,,,1.0,,,,,
Carbon sequestration,,,,,,,,,,,1.0,,,1.0,,
Cloud computing,,,1.0,,,,,,,,,,,,,
Deep learning,,,,,,,,,1.0,,,,,,,1.0
Distributed ledger,,,,,,,,1.0,,,,,,,,
Electric vehicle,,,1.0,,,,,1.0,1.0,,1.0,,,,,
Energy harvesting,,,,,,,1.0,,,,,1.0,,,,
Fuel cell,,,1.0,,,,1.0,1.0,1.0,,1.0,1.0,,,,
Fusion power,,,,1.0,,,,,,,,,,,,
Gene Editing,,,,,,,,,,,,,,1.0,,
Graphene,,,,1.0,,,,,,,2.0,,,1.0,,
Hydrogen fuel,,,,,,,,1.0,,,,,,,,
Internet of things,,,,,1.0,,,,,,1.0,,,,,1.0
Learning Management System,,,1.0,,,,,,,,,,,,,
Life-cycle assessment,,,,,,,,,,,,,,,,1.0
Lithium ion battery,,,,,,,,,,,,1.0,,,,
Lithium-sulfur battery,,,,,1.0,,,,,,,,,,,
Machine translation,,,,1.0,,,,,,,,,,,,
Maglev,,,,,,,,,,,3.0,,,,,
Magnetic nanoparticles,,,1.0,,,,,,,,,,,,,
Memristor,,,,,,,,,,,,1.0,,,,
Mobile learning,,,,,,,1.0,1.0,,,,1.0,1.0,,,
Natural Language Processing,,1.0,,1.0,,,,,,,,,,,,
Optical computing,,,,,,,,,,,,,,1.0,,
Personal rapid transit,,,,,1.0,,,,,,,,,,,
Plasma Medicine,,,,,,,1.0,,,,,,,,,
Rapid transit,,,,,2.0,,,,,,,,,,,
Real-time polymerase chain reaction,,,,,,1.0,,1.0,,,,,,,,
Regenerative Medicine,,,1.0,1.0,,,3.0,1.0,,,,,,,,
Smart grid,3.0,,,1.0,1.0,,,,1.0,,,1.0,,,,
Smartphone,,1.0,,1.0,2.0,,5.0,2.0,2.0,1.0,1.0,,,2.0,,
Sodium-cooled fast reactor,,,1.0,,,,,,,,,,,,,
Structural health monitoring,1.0,,,,,,,,,,,,,,,
Supercapacitor,,,,,,,,,,,,,,1.0,,
Twistronics,,,,,,,,,,,,,,,,1.0
Virtual reality,,,,,1.0,,,,,,,,,,,
Wireless power transfer,,,,,1.0,,,,,,,,,,,
self assembly,,,,,,,,,,,,,,1.0,,
