source,2010-01-01T00:00:00Z,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2013-09-01T00:00:00Z,2013-11-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-06-01T00:00:00Z,2017-10-01T00:00:00Z,2018-01-01T00:00:00Z,2018-07-01T00:00:00Z,2019-01-01T00:00:00Z,2019-03-01T00:00:00Z,2019-08-01T00:00:00Z,2019-10-01T00:00:00Z,2020-01-01T00:00:00Z,2020-08-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,,,,1.0,,,,,,,,
Ambient intelligence,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
Apheresis,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
Augmented reality,,,,,,,,,,,1.0,,,,,2.0,,,,,,,,1.0
Biosensor,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,
Carbon capture and storage,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
Carbon sequestration,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,
Cloud computing,,,,,,1.0,,,,2.0,,1.0,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
Cultured meat,,,,,,,,,,,,,,,,,,1.0,,,,,,
DNA repair,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
Electric vehicle,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,
Flywheel energy storage,,,,1.0,,,,,,,,,,,,,,,,,,,,
Fuel cell,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
Fusion power,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
Graphene,,,,2.0,,2.0,,,,,1.0,,,,,1.0,,3.0,,,,1.0,,
ISCOM,,,,,,1.0,,,,,,,,,,,,,,,,,,
Internet of things,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,
Lidar,1.0,,,,1.0,4.0,,,1.0,,2.0,2.0,,,,4.0,,5.0,,,,1.0,,
Life-cycle assessment,3.0,,1.0,1.0,4.0,,,,,,,2.0,,,,1.0,1.0,1.0,,,1.0,,,
Machine translation,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,
Magnetic nanoparticles,,,,,,,,,1.0,,,,,,,,,,,,,,,
Mobile learning,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,
Neural Networks,,,,1.0,,,,,1.0,,3.0,1.0,,,,1.0,,2.0,,,,1.0,,2.0
Predictive maintenance,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
Quantum dot,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
Rapid transit,1.0,,,,,,,,,,,,,,,,,,,,,,,
Real-time polymerase chain reaction,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
Regenerative Medicine,3.0,1.0,,1.0,1.0,,,,,,,3.0,,,1.0,3.0,,1.0,,,,1.0,,
Semantic Web,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,
Smart grid,,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,
Smartphone,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,
Structural health monitoring,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,
Third-generation biofuels,,,,1.0,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,1.0,,,1.0,,,2.0,,,,1.0,,,,,,1.0,,
Zeolite,,,,,,,,,,,,,,,,,,,,,,,,1.0
aquaponics,,,,,,,,,,,,1.0,,,,,,,,,,,,
concentrated solar power,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0
