source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Ambient intelligence,,,,,,,1.0,,,,,
Augmented reality,,,,,,1.0,,,,,,
Cancer biomarker,,,,,,,,,1.0,,,
Carbon sequestration,,,1.0,,,,,,,,,
Cloud computing,,,,,,,,1.0,,3.0,,1.0
Deep learning,,,,,,,,,,1.0,,
Force Field,,,,,,,,,2.0,,,
Gasification,,1.0,1.0,,,,,,,,,
Genetically modified food,,,,,1.0,,,,,,,
Life-cycle assessment,,,,1.0,,,,,,,,1.0
Natural Language Processing,,,1.0,,,,,1.0,,1.0,,
Neural Networks,1.0,,,,1.0,1.0,,1.0,,,1.0,
Radio-frequency identification,,,,,1.0,,,,,,,
Smart grid,,,1.0,,,,1.0,,,,,
Smartphone,,,,,,,,,1.0,,1.0,1.0
Structural health monitoring,,,,,,,1.0,,,,,
Urban mining,,,,,,,,,,,1.0,
Virtual reality,,,,,,,,,1.0,,,
artificial island,,,,,1.0,,,,,,,
