source,2010-01-01T00:00:00Z,2010-09-01T00:00:00Z,2011-01-01T00:00:00Z,2011-06-01T00:00:00Z,2012-01-01T00:00:00Z,2012-05-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-07-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-03-01T00:00:00Z,2019-08-01T00:00:00Z,2019-11-01T00:00:00Z,2020-01-01T00:00:00Z,2020-04-01T00:00:00Z,2020-08-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,
Augmented learning,,,,,,,,,,1.0,,,,,,,,,,,,,
Augmented reality,,,3.0,,,,,1.0,1.0,,,,2.0,1.0,,,,3.0,,,,1.0,
Autonomous vehicle,,,,,,,,,,,,,,1.0,,,,,,,,,
Biosensor,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0
Cancer biomarker,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Carbon sequestration,,,1.0,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,5.0,1.0,7.0,1.0,3.0,4.0,5.0,2.0,2.0,,1.0,3.0,,1.0,,1.0,,,,,
Deep learning,,,,,,,,,,,,,2.0,4.0,,,,3.0,1.0,,,,
Digital image processing,,,2.0,,,,1.0,,,,,,,,,,,,,,,,
Edge Computing,,,,,,,,,,,,,,,,,,,,,,,1.0
Electric vehicle,1.0,,1.0,,,,,,2.0,1.0,,,1.0,,,,,,,,,,
Electronic cigarette,,,,,,,,,,,,,,1.0,1.0,,,,,,,,
Flexible electronics,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
Fuel cell,1.0,,2.0,,3.0,,2.0,,,,1.0,,1.0,1.0,,,,,,,,,
Gasification,,,,,,,,1.0,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,,,,1.0,,,,,,,,,,,,,
Graphene,,,,,1.0,,,,1.0,3.0,1.0,,2.0,,,,,,,,,,
Holography,,,,,,,,,,,,,,,,,,1.0,,,,,
Hydrogen fuel,,,,,1.0,,,,,,,,,,,,,,,,,,
Intelligent transportation system,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,
Internet of things,,,,,1.0,,,,,1.0,,,2.0,3.0,,,,2.0,,,,,
Lidar,1.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,
Life-cycle assessment,1.0,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,3.0
Lithium ion battery,,,,,,,,,,,1.0,,,,,,,,,,,,
Mobile learning,2.0,,1.0,,,,,,3.0,5.0,,,1.0,,,,,,,,,,1.0
Nanocrystal,,,,,,,,,1.0,,,,,,,,,,,,,,
Natural Language Processing,,,,,,,1.0,,,,,,,1.0,,,,,,,,,
Neural Networks,,,3.0,,3.0,,2.0,1.0,1.0,,,,,1.0,,,,1.0,,,,,2.0
Ocean thermal energy conversion,,,,,,,,,,,,,1.0,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,1.0,,,,,,,,,
Quadcopter,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
Quantum dot,,,1.0,,,,,,,,,,,,,,,,,,,,1.0
Radio-frequency identification,,,2.0,,,,,,1.0,,,,1.0,,,,,,,,,,
Rapid transit,,,,,,,,,,1.0,,,,,,,,2.0,,,,,
Regenerative Medicine,1.0,,1.0,,,,2.0,,2.0,2.0,1.0,,,,,,,1.0,,,,,
Smart grid,,,,,2.0,,1.0,,,2.0,2.0,,,,,,,,,,,,
Smartphone,,,1.0,,2.0,,3.0,,5.0,2.0,5.0,,,,,,,,,,,,
Stem-cell therapy,,,,,,,,1.0,,,,,,,,,,1.0,,,,,
Structural health monitoring,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
Supercapacitor,,,,,,,,,,1.0,,,,,,,,,,,,,
Virtual reality,,,1.0,,1.0,,,,,1.0,,,1.0,,,,1.0,6.0,,1.0,2.0,,
Zeolite,,,,,1.0,,,,,,,,,,,,,,,,,,
aquaponics,,,,,,,,,,,,,,1.0,,,,,,,,,
artificial island,,,,,,,,,,,,,1.0,,,,,,,,,,
