source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2011-05-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-06-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2020-01-01T00:00:00Z
Augmented reality,,,,,,,,,,,,1.0,,,
Carbon capture and storage,,,,,,1.0,,,,,,,,,
Carbon sequestration,,1.0,,,,,1.0,,,,,,,,
Cloud computing,,,,,,,,,,1.0,,1.0,,,
Deep learning,,,,,,,,,,,,,,,2.0
Gasification,,,,,,,,,,,1.0,,,,
Internet of things,,,,,,,,,,,,,,,1.0
Learning Management System,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,,
Life-cycle assessment,,,,,,,,,1.0,,,,,,
Mobile learning,,,,,1.0,1.0,1.0,1.0,1.0,,2.0,,,,1.0
Rapid diagnostic test,,1.0,1.0,,,,,,,,,1.0,1.0,,
Rapid transit,,,,1.0,,,,,2.0,1.0,1.0,,,,
Smart grid,,,,,,,1.0,,,,1.0,,,,
Smartphone,,,,,,,,,,1.0,1.0,1.0,,1.0,
Zeolite,,,,,,1.0,,,,,,,,,
second-generation biofuels,,,,,,1.0,,,,,,,,,
