source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-04-01T00:00:00Z,2019-06-01T00:00:00Z,2020-01-01T00:00:00Z,2020-09-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,1.0,,2.0,,,,,
Augmented reality,,1.0,,,,,,,1.0,,,,,,,
Biosensor,,,,,,,,,,,,,,,1.0,
Carbon capture and storage,,,,,,,,,1.0,,,,,,,
Carbon sequestration,1.0,2.0,,,,,,,,1.0,,,,,,
Cloud computing,,1.0,,,1.0,1.0,,,3.0,2.0,1.0,,,1.0,,
Cryptocurrency,,,,,,,,,,,1.0,,,,,1.0
DNA repair,,2.0,,,,,,,,,,,,,,
Deep learning,,,,,,,,,,1.0,3.0,,,,,2.0
Electric vehicle,,,,1.0,,,1.0,,,1.0,2.0,,,,,
Facial recognition,,,,,,,,,,,1.0,,,,,
Fuel cell,,,,,,,1.0,,,,1.0,,,,,
Gas generator,,,,,,,1.0,,,,,,,,,
Gasification,,2.0,,,1.0,1.0,1.0,,,2.0,,,,,,
Genetically modified crops,,,,,,,1.0,,,,,,,,,
Insects as food,1.0,,,,,,,,,,,,,,,
Internet of things,,,,,,1.0,2.0,,2.0,,2.0,,,3.0,,1.0
Learning Management System,,,,,,,,,,1.0,,,,,,
Life-cycle assessment,,,,1.0,3.0,2.0,1.0,,,,1.0,,,,,
Machine vision,,,,,,,,,1.0,,,,,,,
Mobile learning,,1.0,1.0,1.0,,1.0,,,,2.0,3.0,,,,,
Natural Language Processing,,,,,,,,,,2.0,,,,,,
Neural Networks,,,,,,1.0,1.0,,,,,,,,,
Radio-frequency identification,,,,,,,,,,,1.0,,,,,
Rapid transit,1.0,,,1.0,,,1.0,,1.0,,,,,,,
Regenerative Medicine,,,,,,,,,,,1.0,,1.0,,,
Semantic Web,,,1.0,,,,2.0,1.0,1.0,,,,,,,
Smart grid,1.0,1.0,,,4.0,,1.0,,1.0,1.0,,,,1.0,,
Smartphone,,,,,3.0,1.0,,,2.0,2.0,5.0,1.0,,2.0,1.0,
Stem-cell therapy,1.0,,,,,,,,,,,,,,,
Urban rail transit,,,,1.0,2.0,,,,,,1.0,,,1.0,,
Vertical farming,,,,1.0,,1.0,,,,,,,,,,
Virtual reality,,,,,,,,,,,1.0,,,,,2.0
Zeolite,,,,,,,,,1.0,,,,,,,
Zero-energy building,,,,,,1.0,1.0,,,,,,,,,
hydroponics,,,,,,,,,,1.0,,,,,,
