source,2010-01-01T00:00:00Z,2010-02-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2012-02-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-04-01T00:00:00Z,2017-01-01T00:00:00Z,2017-04-01T00:00:00Z,2018-01-01T00:00:00Z,2018-06-01T00:00:00Z,2019-01-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2020-01-01T00:00:00Z,2020-10-01T00:00:00Z,2021-01-01T00:00:00Z
3D Bioprinting,,,,,,,,,,,,,,,,,,,,1.0
5g,,,,,,,,,,,,,,,,,,1.0,,
Apheresis,,,,,,,,,2.0,1.0,,,,,1.0,,1.0,,,1.0
Augmented reality,,,,,,,,,,,2.0,,1.0,,1.0,,,1.0,,1.0
Carbon sequestration,,,1.0,,,,,1.0,,,,,,,1.0,1.0,,,,
Cloud computing,,,1.0,,,1.0,1.0,3.0,1.0,,,,,,1.0,,,2.0,,
Cultured meat,,,,,,,,,,,,,1.0,,,,,,,
DNA repair,,,,,,,,,1.0,,1.0,,,,,,,,,
Deep learning,,,,,,,,,,,,,,,2.0,,,,,1.0
Electric vehicle,,,,,,2.0,,,,,,,,,,,,,,
Electronic nose,,,,,,,,,,,1.0,,,,,,,,,
Energy harvesting,,,,,,,,,,,1.0,,,,,,,,,
Fuel cell,,,1.0,2.0,,,,,,,,,,,,,,,,
Gasification,,,,,,,,1.0,,,,,1.0,,,,,,,
Graphene,,,,,,,,,2.0,,,,,,,,,1.0,,
Internet of things,,,,1.0,,,,,,,,,1.0,,,,,2.0,,
Learning Management System,,,,,,1.0,,,1.0,,,,2.0,,,,,,,
Lidar,,,,2.0,,,1.0,,1.0,,1.0,1.0,,,1.0,,,,,
Life-cycle assessment,,,,,,,,,,,1.0,,1.0,,1.0,,,,,
Machine translation,,,1.0,,,,,,,,,,,,,,,,,
Mobile learning,1.0,,,,,,,,,,,,1.0,,1.0,,,,,
Neural Networks,2.0,,2.0,2.0,,2.0,1.0,,,,2.0,,2.0,,1.0,,,1.0,,
Precision agriculture,1.0,,,,,,,,,,,,,,,,,,,
Real-time polymerase chain reaction,,,,1.0,1.0,,,,,,,,,,,,,,,
Regenerative Medicine,,,,,,,,,,,,,1.0,1.0,,,,,,1.0
Semantic Web,,,,,,,1.0,,,,,,,,,,,,,
Smart grid,,,,,,,,,1.0,,,,1.0,,,,,2.0,,
Smartphone,,,,,,,,1.0,3.0,,,,1.0,,,,,1.0,2.0,1.0
Virtual reality,,,,,,,,,,,,,,,,,,1.0,,
Zeolite,1.0,1.0,,,,,,,1.0,,,,,,,,,1.0,,
Zero-energy building,,,,,,,,,,,,,1.0,,1.0,,,,,
