source,2010-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-05-01T00:00:00Z,2017-07-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,1.0,,,
Augmented reality,,,,,,,,,3.0,,1.0,
Biosensor,,,,,,,,,,1.0,,
Carbon nanotube,1.0,,,,,,,,,,,
Carbon sequestration,,1.0,,,,,,,,,1.0,1.0
Cloud computing,,1.0,1.0,,1.0,,,,1.0,,1.0,
Cryptocurrency,,,,,,4.0,,,5.0,5.0,3.0,2.0
Fuel cell,,,,,,,,,1.0,1.0,,
Gasification,,,,1.0,,,,,1.0,1.0,1.0,
Graphene,,,,,1.0,,,,,,,
Holography,,,,,,1.0,,,,,,
Internet of things,,,1.0,,,,,,,,,
Mobile learning,,,,,1.0,,,,,,1.0,
Modular Reactors,,,,,,,,,,,1.0,
Nanosensor,,1.0,,,,,,,,,,
Natural Language Processing,,,,,,1.0,,,,,,
Neural Networks,1.0,,,,1.0,,,,,,,1.0
Real-time polymerase chain reaction,,,,,,,,,,1.0,,
Regenerative Medicine,,,,,1.0,,,,,,,
Smart grid,,,,,,1.0,,,,1.0,,
Smartphone,,,,,,1.0,1.0,,,1.0,,
Sodium-cooled fast reactor,,1.0,,,,,,,,,,
Structural health monitoring,,1.0,,,,,,,,,,
Vactrain,,,,,,1.0,,1.0,1.0,,,
Virtual reality,,,,,,,,,,,1.0,1.0
Zeolite,,,,1.0,,,,,1.0,,,
