source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2011-12-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-07-01T00:00:00Z,2015-11-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-08-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-05-01T00:00:00Z,2020-10-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,1.0,,,,1.0,,,
Apheresis,,,1.0,,,,,,,,,,,,,,,
Augmented reality,,,,,,,,,,,,,,,,,,1.0
Carbon capture and storage,1.0,,,,,,,,,,,,,,,,,
Cloud computing,,,,,,1.0,,,,,,,,1.0,,,,
Companion robot,,,,,,,,,,,,,,,1.0,,,
Cultured meat,,,,,,,,,,,,,,1.0,,,,
DNA repair,,,,,,,,,,1.0,,,,,,,,
Electric vehicle,,,,,,,,,,,,,1.0,1.0,,,,
Energy harvesting,,,,1.0,,,,,,,,,,,,,,
Flexible electronics,,,,,,,,,,,1.0,,,,,,,
Fourth-generation biofuel,,,,,,,,,,,1.0,1.0,,,,,,
Fuel cell,,,,,,,1.0,,,,,,1.0,,,,,
Fusion power,,,,,,,,,,,1.0,,,,,,,
Gene Editing,,,,,,,,,,1.0,1.0,,,2.0,,,,
Genetically modified crops,1.0,,,,,,,,,,,,,,,,,
Graphene,,,,,1.0,,,,,1.0,2.0,,,1.0,,,,2.0
Internet of things,,,,,,,,,,1.0,,,,,,,,
Lidar,,,,,,,,,,,,,1.0,,1.0,,,
Life-cycle assessment,,,,,,,1.0,,,1.0,,,,,,,,
Metamaterial,,,,,,,1.0,,,,,,,,,,,
Mixed Reality,,,,,,,,,,,,,,1.0,,,,
Mobile learning,,,,1.0,,1.0,3.0,1.0,,,,,1.0,,,,,
Modular Reactors,,,,,,,,,,,,,,,,,,1.0
Natural Language Processing,,,,,,,,,,,,,1.0,,,,,
Neural Networks,,,,,,,1.0,,,,,,,,,,,
Phage therapy,,,,,,1.0,,,,,,,,,,,,
Photonic Metamaterial,,,,,,,1.0,,,,,,,,,,,
Protein Structure Prediction,,,,,,,,,,,,,,,2.0,,,
Rapid diagnostic test,,,,,,,,,1.0,1.0,,,,,,,,
Regenerative Medicine,,,,1.0,1.0,2.0,,,,3.0,,,2.0,1.0,1.0,1.0,,1.0
Semantic Web,,,,,1.0,,,,,,,,,,,,,
Smart grid,,,,,,,,,,,,,,,1.0,,,
Smartphone,,,,,1.0,,,,,,,,,,,,1.0,
Stem-cell therapy,,,,,,,,,,1.0,,,,,,,,
Thorium fuel cycle,,1.0,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,1.0,,,,,,2.0,,1.0,,,1.0
