source,2010-01-01T00:00:00Z,2010-02-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-06-01T00:00:00Z,2011-07-01T00:00:00Z,2012-01-01T00:00:00Z,2012-10-01T00:00:00Z,2013-01-01T00:00:00Z,2013-05-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2014-01-01T00:00:00Z,2014-11-01T00:00:00Z,2015-01-01T00:00:00Z,2015-07-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2018-01-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-10-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-06-01T00:00:00Z,2019-08-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-11-01T00:00:00Z,2021-01-01T00:00:00Z
3D Bioprinting,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
4d printing,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5g,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,3.0,,,,,,,,,,3.0
Amorphous metal,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Apheresis,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0
Artificial photosynthesis,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Augmented reality,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,1.0,,,,,1.0,,,,,2.0,,,,,,,,,,1.0
Autonomous vehicle,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Biosensor,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0
Brain-computer interface,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
Cancer biomarker,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,1.0,,,1.0,,,2.0,,2.0,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
