source,2010-01-01T00:00:00Z,2010-05-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2013-01-01T00:00:00Z,2013-09-01T00:00:00Z,2013-11-01T00:00:00Z,2014-01-01T00:00:00Z,2014-05-01T00:00:00Z,2014-09-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-07-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2018-01-01T00:00:00Z,2018-05-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2020-01-01T00:00:00Z,2020-03-01T00:00:00Z,2020-08-01T00:00:00Z,2021-01-01T00:00:00Z
3D Bioprinting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
3D metal printing,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
5g,,,,,,,1.0,,,5.0,,,9.0,9.0,1.0,,,,8.0,,,,,13.0,,,,19.0,,,,8.0,,,2.0
6G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0
Aerogel,2.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,
Ambient intelligence,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Artificial photosynthesis,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Augmented learning,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Augmented reality,,,1.0,,,,,,,2.0,,,2.0,8.0,,,,,6.0,,,,,7.0,,,,10.0,,,1.0,10.0,,,3.0
Autonomous vehicle,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,2.0,,,1.0
Bioplastic,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,
Biosensor,2.0,,1.0,3.0,,,2.0,,1.0,1.0,,,,1.0,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,
Brain-computer interface,,,4.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,2.0,,6.0,2.0,,,7.0,,,3.0,,,3.0,5.0,,,,,1.0,,,,,4.0,,,,2.0,,,,1.0,,,
Carbon nanotube,,,1.0,,,,1.0,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Carbon sequestration,,,3.0,1.0,,,2.0,,,2.0,,,2.0,1.0,,,,,2.0,,,,,3.0,,,,1.0,,,,1.0,,,
Cloud computing,8.0,1.0,6.0,8.0,,,7.0,,,9.0,,,3.0,7.0,,,,,9.0,,,,,4.0,,,,7.0,,,,2.0,,,2.0
Coal liquefaction,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coilgun,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Compressive Sensing,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,
