,R_D
Aeroponics,699
agricultural robot,183
aquaponics,1866
cellular agriculture,317
closed ecological system,841
Controlled ecological life-support system,13
Cultured meat,4930
fogponics,5
Genetically modified crops,4708
Genetically modified food,1741
Genetically modified organism,6940
hydroponics,2792
Insects as food,1065
meat analogue,3184
Passive hydroponics,248
Precision agriculture,5542
Precision livestock farming,87
Vertical farming,2764
arcology,59
Gesture recognition,2003
Domed city,10
Translucent concrete,45
AI Art,102
AI Music,258
Drone display,11
Galliane,0
music technology,1141
artificial island,432
Carbon capture and storage,9957
Carbon dioxide removal,517
Carbon sequestration,2770
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,5917
4d printing,748
Anticipatory Life Cycle Analysis,0
Artificial muscle,408
Bio-manufacturing,494
Claytronics,43
Construction 3D printing,350
Incremental sheet forming,5
Life-cycle assessment,2847
Liquid Crystal Elastomers,214
Megatall skyscrapers,0
Molecular assembler,4
Predictive maintenance,3673
Radio-frequency identification,13664
Robot end effector,16
self assembly,4601
Self-reconfiguring modular robot,116
Smart highway,1089
Structural health monitoring,961
Supertall building,1
utility fog,2
Adaptive Learning Technology,166
Augmented learning,106
Gamifying education,6743
Intelligent tutoring system,39
Learning Management System,3643
Mobile learning,19914
Virtual Collaborative Learning,12
Atomtronics,18
Biodegradable electronics,54
Carbon nanotube field-effect transistor,20
Digital scent technology,181
Dynamic inductive charging,21524
E-textiles,974
Electronic skin,926
Flexible display,1166
Flexible electronics,2881
Flexible organic light-emitting diode,213
Gastrobot,0
Holography,1688
laser diode headlights,580
Laser video display,105
Memristor,608
Multi-level converter,5
Nanoelectromechanical systems,1154
Nanosensor,360
Optical transistor,33
Phonon laser,81
Robotic sensing,26
Solid-state transformer,169
Spintronics,2529
three-dimensional integrated circuit,422
Twistronics,42
Virtual retinal display,148
Volumetric display,248
3rd generation solar cell,3
Airborne wind turbine,22
Artificial photosynthesis,1340
Biobattery,41
Biomass to liquid,35
Coal liquefaction,242
Combined Cycle Gas Turbine Plant,354
concentrated solar power,1277
CZTS solar cell,16
Dye-sensitized solar cell,186
Electric vehicle battery fast charge,5235
Energy harvesting,4700
Floating Liquefied Natural Gas,876
Flywheel energy storage,274
Fourth-generation biofuel,558
Fusion power,998
Gas generator,855
Gas-cooled fast reactor,7
Gasification,3087
Generation IV reactor,43
Grid energy storage,988
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,7001
Lead-cooled fast reactor,7
Liquid fluoride thorium reactor,10
Liquid metal battery,60
Lithium ion battery,15600
Lithium iron phosphate battery,235
Lithium-air battery,310
Lithium-sulfur battery,295
Magnesium battery,106
Microbial electrolysis cell,18
Microreactor,314
Mini Bioreactors,30
Modular Reactors,954
Molten salt reactor,313
Nanocharging Solar,0
Nanowire battery,74
Ocean thermal energy conversion,294
Oil detection,15930
Optical rectenna,98
Organic solar cell,346
Perovskite solar cell,712
Power-to-X,96
Proton Battery,60
Quantum dot solar cell,31
second-generation biofuels,1116
Smart grid,10268
Sodium-cooled fast reactor,58
Space-based solar power,197
Supercapacitor,3033
Supercritical water reactor,3
Third-generation biofuels,357
Thorium fuel cycle,35
Triboelectric Nanogenerator,222
Virtual power Plant,595
Vortex engine,9
Wireless power transfer,1069
Zero-energy building,270
Automated journalism,55
Foundation garment,540
Haptic feedback systems,1243
Wearable journalism,38943
Cryptocurrency,697476
Stablecoin,1401
Companion robot,748
Cryonics,520
Extreme Life extension,17003
Suspended animation,494
5D DVD,50
5g,105935
6G,3004
Ambient intelligence,818
Artificial brain,237
Artificial general intelligence,179230
Atmospheric satellite,36
Automatic AI debugging,0
Cloud computing,135826
Compressive Sensing,226
Deep learning,31933
deep trench capacitor,7
Digital image processing,8515
Digital image segmentation,2
Distributed ledger,131286
DNA Computing,67
DNA digital data storage,10
Edge Computing,7188
Edge enhancement,28
Embedded systems in substrate,0
Exascale computing,903
Extreme ultraviolet lithography,649
Facial recognition,22419
General-purpose computing on graphics processing units,2770
GPT-4,35
Haptic technology,2144
Holographic data storage,38
Hyper CD-ROM,0
In-memory processing,116
In-storage processing,9
Indoor positioning system,153
Internet of things,107619
Li-Fi,1561
Machine translation,3699
Machine vision,4839
Nanoradio,1
Natural Language Processing,10212
Neural Networks,17923
Neural-sensing headset,0
next gen web search,0
Open source model,1919
Optical computing,285
Quantum algorithm,380
Quantum computing hardware,15939
Quantum cryptography,1276
Semantic Web,1037
Silicon laser for communication,0
Smartphone,209699
Spatial computing,216
Streaming television,2738
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,2658
Virtual reality applications,1398
Visible Light Communication,681
wi-fi 6,1561
wi-fi 7,8
AI Arbitration,2
Digital forensics tools,36
Document automation,166
Intelligent Knowledge Management,21
Aerogel,2328
Amorphous metal,504
Bioplastic,1449
Carbon nanotube,11434
Conductive polymer,768
Cryogenic treatment,21
Dynamic Armor,1
Eutectic system,19
Fast-ion Conductors,10
Fullerene,898
Gallium Nitride semiconductor,95
Graphene,32108
Graphene Oxide dough,3235
High Entropy Alloys,212
Magnetic nanoparticles,1095
Magnetorheological fluid,35
Metal foam,280
Metamaterial,2206
Multi-function structure,0
Nanocrystal,3995
Nanotextured surface,31
Photonic Metamaterial,16
piezoelectric material adhesion,0
Programmable matter,84
Quantum dot,9119
Self-cleaning surfaces,146
Shape Memory Polymer,186
Shape-memory alloy,443
Silicene,330
Single Photon Source,173
Superalloy,549
Superfluidity,305
Superlenses chips,0
Syntactic Materials,4
Time crystal,187
Zeolite,3160
Zero-friction coating,51
16K video resolution,0
Augmented reality,32544
Brain-computer interface,2788
Computer-generated imagery,355
Detecting fake news online automatically,0
e-Reader,2476
Extended Reality,484
hydrogen vehicle,165
Immersion (virtual reality),1683
Mixed Reality,6167
Video tracking,203
Virtual reality,63233
3D Bioprinting,2299
Anti-degenerative medicine,0
Apheresis,1671
Artificial womb,284
Bio Ink,14145
Biomimetic Nanocoagulation,0
Biosensor,4184
Breath analysis,536
Cancer biomarker,929
Capsule endoscopy,612
Cortical implant,12
De-extinction,368
DNA-templated organic synthesis,0
Drug-eluting stent,407
Electroanalgesia,2
Electronic nose,532
Head transplant,526
Intelligent toilet,123
Jet injector,78
Lab-on-a-chip,6349
Microelectromechanical systems,9333
Microfluidics,7456
Molecular electronics,440
Nanorobotics,725
Neuron Control,5
Neuroprosthetics,728
Nutritional genomics,112
Omni Processor,14
OOKP,3
Organ-on-a-Chip,793
Photoacoustic imaging,548
Plasma Medicine,642
Point of care automated analyser,19
Portable water purification,56
Powered exoskeleton,897
Protein Structure Prediction,243
Rapid diagnostic test,723
Real-time polymerase chain reaction,596
Regenerative Medicine,38857
Sensory substitution,105
Single Cell Analysis,1841
Stasis Chamber,11
Synthetic Blood,906
Theranostic Wound Care,27039
Transdermal optical imaging,27
Active camouflage,2332
Active noise control,72
Automatic identification of suspicious activity,0
Cloaking device,1099
Coilgun,36
Compact Kinetic Energy Missile,0
DART ammunition,5
Delay-line oscillator,0
Electrolaser,1
Electroshock weapon,2528
Electrothermal-chemical technology for propellants,0
EMP weapon,31
Explosively pumped flux compression generator,0
Force Field,2627
Homodyne detection,45
HPM weapons,288
Hypersonic weapon,350
Kinetic bombardment,3
Kinetic energy penetrator,3
Laser weapon,622
Lidar,12967
MAHEM,44
Metamaterial cloaking,12
MGM-166 LOSAT,2
Nonlinear metamaterial,3
Optical coating,307
Optoelectronic oscillator,10
Particle-beam weapon,18
Plasma stealth,0
Pure fusion weapon,5
Quadcopter,2172
Quantum illumination,2405
Quantum radar,127
Railgun,700
Sonic weapon,286
Swarm robotic platforms,0
Swarm robotics,262
Teslaphoresis,23
Vortex ring gun,0
Asteroid mining,631
Biomining,196
Urban mining,138
Closed system drug transfer device,28
DNA repair,5866
Electronic cigarette,35910
Enzybiotics,5
Exhalation delivery system,493
Gene Editing,30129
Genome Prime Editing,0
ISCOM,17
Medicinal fungi,47
Microneedle drug delivery,52
Molecular Inversion Probe,6
NASBA,240
Off-target genome editing,4
Oncolytic virus,2947
Phage therapy,909
Receptor activated solely by a synthetic ligand,115
Senolytic,368
Stem-cell therapy,6299
Structurally nanoengineered antimicrobial polypeptide polymers,368
Targeted drug delivery,2507
Virotherapy,420
Air-launch-to-orbit,4
Artificial gravity,342
Beam-powered propulsion,44
Fusion rocket,17
Inflatable space habitat,28
Ion thruster,153
Launch loop,3
Mass driver,57
Mini-magnetosphere,6
Miniaturized satellite,442
Nuclear photonic rocket,0
Photon rocket,8
Photonic laser thruster,12
Plasma propulsion engine,106
Propellant depot,27
Ram accelarator,0
Reusable launch system,10
Reusable rocket technology for orbital rockets,0
Skyhook,192
Space elevator,432
Space gun,16
Spaceplane,447
StarTram,4
Suborbital launch,319
Autonomous Rail Rapid Transit,35
Autonomous vehicle,30376
Backpack helicopter,2
Electric vehicle,47729
Fuel cell,21670
Fuel cell vehicle,4333
Hoverbike,218
Hovertrain,3
Hydrogen vehicle,165
Hyperloop,6471
Intelligent transportation system,794
Jetpack,1839
Maglev,1146
PAV,459
Personal rapid transit,103
Physical Internet,50
Pulse detonation engine,18
Rapid transit,224939
Rocket transportation,5
Supersonic transport,197
Urban rail transit,182
Vactrain,12
VTOL,1876
Hyper-personalized intelligence,91283
neuromorphic engineering,0
solid-state battery,0
