,commercialization
Aeroponics,1334
agricultural robot,252
aquaponics,2274
cellular agriculture,277
closed ecological system,1589
Controlled ecological life-support system,0
Cultured meat,2307
fogponics,0
Genetically modified crops,5873
Genetically modified food,2715
Genetically modified organism,9038
hydroponics,5876
Insects as food,1130
meat analogue,8447
Passive hydroponics,930
Precision agriculture,9058
Precision livestock farming,144
Vertical farming,5063
arcology,116
Gesture recognition,2126
Domed city,17
Translucent concrete,50
AI Art,71
AI Music,160
Drone display,40
Galliane,0
music technology,1619
artificial island,1508
Carbon capture and storage,13700
Carbon dioxide removal,254
Carbon sequestration,2225
Gasoline from Carbon Dioxide,1
Microbial electrolysis carbon capture,0
3D metal printing,5673
4d printing,490
Anticipatory Life Cycle Analysis,0
Artificial muscle,115
Bio-manufacturing,402
Claytronics,35
Construction 3D printing,135
Incremental sheet forming,6
Life-cycle assessment,1400
Liquid Crystal Elastomers,30
Megatall skyscrapers,1
Molecular assembler,0
Predictive maintenance,5074
Radio-frequency identification,30393
Robot end effector,20
self assembly,882
Self-reconfiguring modular robot,92
Smart highway,1931
Structural health monitoring,638
Supertall building,19
utility fog,0
Adaptive Learning Technology,139
Augmented learning,31
Gamifying education,8675
Intelligent tutoring system,15
Learning Management System,5259
Mobile learning,23693
Virtual Collaborative Learning,1
Atomtronics,2
Biodegradable electronics,23
Carbon nanotube field-effect transistor,3
Digital scent technology,243
Dynamic inductive charging,27057
E-textiles,1318
Electronic skin,328
Flexible display,1969
Flexible electronics,2111
Flexible organic light-emitting diode,283
Gastrobot,0
Holography,884
laser diode headlights,897
Laser video display,193
Memristor,190
Multi-level converter,1
Nanoelectromechanical systems,807
Nanosensor,188
Optical transistor,11
Phonon laser,10
Robotic sensing,15
Solid-state transformer,119
Spintronics,1054
three-dimensional integrated circuit,369
Twistronics,2
Virtual retinal display,176
Volumetric display,340
3rd generation solar cell,2
Airborne wind turbine,32
Artificial photosynthesis,284
Biobattery,4
Biomass to liquid,54
Coal liquefaction,440
Combined Cycle Gas Turbine Plant,2534
concentrated solar power,2454
CZTS solar cell,5
Dye-sensitized solar cell,82
Electric vehicle battery fast charge,12038
Energy harvesting,3382
Floating Liquefied Natural Gas,4357
Flywheel energy storage,331
Fourth-generation biofuel,324
Fusion power,784
Gas generator,1704
Gas-cooled fast reactor,1
Gasification,9373
Generation IV reactor,26
Grid energy storage,2058
Holograms for solar,0
Home fuel cell,9
Hydrogen fuel,12863
Lead-cooled fast reactor,17
Liquid fluoride thorium reactor,5
Liquid metal battery,69
Lithium ion battery,21608
Lithium iron phosphate battery,382
