,emergence
Aeroponics,844
agricultural robot,136
aquaponics,1821
cellular agriculture,242
closed ecological system,847
Controlled ecological life-support system,1
Cultured meat,1711
fogponics,4
Genetically modified crops,4582
Genetically modified food,1678
Genetically modified organism,7383
hydroponics,3256
Insects as food,849
meat analogue,5351
Passive hydroponics,370
Precision agriculture,6116
Precision livestock farming,63
Vertical farming,2700
arcology,194
Gesture recognition,2274
Domed city,30
Translucent concrete,35
AI Art,201
AI Music,347
Drone display,79
Galliane,5
music technology,1788
artificial island,1794
Carbon capture and storage,10394
Carbon dioxide removal,264
Carbon sequestration,1631
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,7103
4d printing,759
Anticipatory Life Cycle Analysis,0
Artificial muscle,299
Bio-manufacturing,356
Claytronics,37
Construction 3D printing,251
Incremental sheet forming,7
Life-cycle assessment,1482
Liquid Crystal Elastomers,152
Megatall skyscrapers,6
Molecular assembler,6
Predictive maintenance,4627
Radio-frequency identification,19228
Robot end effector,14
self assembly,2993
Self-reconfiguring modular robot,79
Smart highway,1285
Structural health monitoring,597
Supertall building,25
utility fog,3
Adaptive Learning Technology,154
Augmented learning,28
Gamifying education,8292
Intelligent tutoring system,32
Learning Management System,4199
Mobile learning,21257
Virtual Collaborative Learning,2
Atomtronics,15
Biodegradable electronics,25
Carbon nanotube field-effect transistor,10
Digital scent technology,135
Dynamic inductive charging,48338
E-textiles,954
Electronic skin,721
Flexible display,1951
Flexible electronics,2794
Flexible organic light-emitting diode,96
Gastrobot,0
Holography,1238
laser diode headlights,760
Laser video display,286
Memristor,678
Multi-level converter,8
Nanoelectromechanical systems,884
Nanosensor,268
Optical transistor,19
Phonon laser,54
Robotic sensing,24
Solid-state transformer,76
Spintronics,2140
three-dimensional integrated circuit,376
Twistronics,40
Virtual retinal display,126
Volumetric display,206
3rd generation solar cell,1
Airborne wind turbine,22
Artificial photosynthesis,934
Biobattery,29
Biomass to liquid,47
Coal liquefaction,208
Combined Cycle Gas Turbine Plant,1458
concentrated solar power,1206
CZTS solar cell,16
Dye-sensitized solar cell,175
Electric vehicle battery fast charge,9993
Energy harvesting,5094
Floating Liquefied Natural Gas,1655
Flywheel energy storage,210
Fourth-generation biofuel,492
Fusion power,797
Gas generator,1050
Gas-cooled fast reactor,0
Gasification,3628
Generation IV reactor,16
Grid energy storage,995
Holograms for solar,0
Home fuel cell,2
Hydrogen fuel,10092
Lead-cooled fast reactor,11
Liquid fluoride thorium reactor,14
Liquid metal battery,55
Lithium ion battery,20432
Lithium iron phosphate battery,253
Lithium-air battery,257
Lithium-sulfur battery,218
Magnesium battery,103
Microbial electrolysis cell,5
Microreactor,149
Mini Bioreactors,9
Modular Reactors,999
Molten salt reactor,191
Nanocharging Solar,0
Nanowire battery,47
Ocean thermal energy conversion,283
Oil detection,29478
Optical rectenna,117
Organic solar cell,273
Perovskite solar cell,487
Power-to-X,72
Proton Battery,49
Quantum dot solar cell,27
second-generation biofuels,1518
Smart grid,13029
Sodium-cooled fast reactor,32
Space-based solar power,260
Supercapacitor,3157
Supercritical water reactor,1
Third-generation biofuels,378
Thorium fuel cycle,22
Triboelectric Nanogenerator,150
Virtual power Plant,755
Vortex engine,17
Wireless power transfer,1014
