,R_D
Aeroponics,183
agricultural robot,55
aquaponics,93
cellular agriculture,3
closed ecological system,20
Controlled ecological life-support system,3
Cultured meat,7
fogponics,2
Genetically modified crops,160
Genetically modified food,55
Genetically modified organism,248
hydroponics,356
Insects as food,38
meat analogue,93
Passive hydroponics,298
Precision agriculture,334
Precision livestock farming,3
Vertical farming,25
arcology,0
Gesture recognition,3312
Domed city,1
Translucent concrete,15
AI Art,1
AI Music,156
Drone display,4
Galliane,0
music technology,17
artificial island,38
Carbon capture and storage,872
Carbon dioxide removal,229
Carbon sequestration,501
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,2171
4d printing,28
Anticipatory Life Cycle Analysis,0
Artificial muscle,493
Bio-manufacturing,40
Claytronics,3
Construction 3D printing,168
Incremental sheet forming,23
Life-cycle assessment,152
Liquid Crystal Elastomers,602
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,636
Radio-frequency identification,35774
Robot end effector,237
self assembly,4894
Self-reconfiguring modular robot,24
Smart highway,53
Structural health monitoring,352
Supertall building,0
utility fog,0
Adaptive Learning Technology,18
Augmented learning,3
Gamifying education,360
Intelligent tutoring system,41
Learning Management System,223
Mobile learning,1132
Virtual Collaborative Learning,0
Atomtronics,3
Biodegradable electronics,10
Carbon nanotube field-effect transistor,128
Digital scent technology,0
Dynamic inductive charging,11190
E-textiles,92
Electronic skin,128
Flexible display,4060
Flexible electronics,438
Flexible organic light-emitting diode,53
Gastrobot,0
Holography,1849
laser diode headlights,2782
Laser video display,25
Memristor,962
Multi-level converter,204
Nanoelectromechanical systems,767
Nanosensor,387
Optical transistor,56
Phonon laser,2
Robotic sensing,5
Solid-state transformer,45
Spintronics,494
three-dimensional integrated circuit,603
Twistronics,0
Virtual retinal display,231
Volumetric display,123
3rd generation solar cell,0
Airborne wind turbine,11
Artificial photosynthesis,123
Biobattery,14
Biomass to liquid,36
Coal liquefaction,175
Combined Cycle Gas Turbine Plant,386
concentrated solar power,159
CZTS solar cell,56
Dye-sensitized solar cell,945
Electric vehicle battery fast charge,4349
Energy harvesting,2883
Floating Liquefied Natural Gas,57
Flywheel energy storage,246
Fourth-generation biofuel,87
Fusion power,121
Gas generator,4272
Gas-cooled fast reactor,1
Gasification,9439
Generation IV reactor,4
Grid energy storage,153
Holograms for solar,0
Home fuel cell,3
Hydrogen fuel,1570
Lead-cooled fast reactor,5
Liquid fluoride thorium reactor,0
Liquid metal battery,13
Lithium ion battery,13023
Lithium iron phosphate battery,140
Lithium-air battery,469
Lithium-sulfur battery,324
Magnesium battery,138
Microbial electrolysis cell,25
Microreactor,1252
Mini Bioreactors,397
Modular Reactors,21
Molten salt reactor,68
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,124
Oil detection,653
Optical rectenna,197
Organic solar cell,510
Perovskite solar cell,168
Power-to-X,2
Proton Battery,14
Quantum dot solar cell,27
second-generation biofuels,274
Smart grid,1117
Sodium-cooled fast reactor,53
Space-based solar power,62
Supercapacitor,2890
Supercritical water reactor,32
Third-generation biofuels,19
Thorium fuel cycle,9
Triboelectric Nanogenerator,26
Virtual power Plant,116
Vortex engine,12
Wireless power transfer,4355
Zero-energy building,10
Automated journalism,2
Foundation garment,39
Haptic feedback systems,6499
Wearable journalism,8556
Cryptocurrency,1601
Stablecoin,4
Companion robot,51
Cryonics,4
Extreme Life extension,2865
Suspended animation,71
5D DVD,0
5g,11396
6G,2415
Ambient intelligence,513
Artificial brain,46
Artificial general intelligence,19852
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,39454
Compressive Sensing,1177
Deep learning,17293
deep trench capacitor,94
Digital image processing,74798
Digital image segmentation,25
Distributed ledger,5272
DNA Computing,107
DNA digital data storage,3
Edge Computing,619
Edge enhancement,842
Embedded systems in substrate,0
Exascale computing,23
Extreme ultraviolet lithography,1448
Facial recognition,9374
General-purpose computing on graphics processing units,642
GPT-4,0
Haptic technology,1285
Holographic data storage,277
Hyper CD-ROM,0
In-memory processing,77
In-storage processing,4
Indoor positioning system,258
Internet of things,12321
Li-Fi,173
Machine translation,3000
Machine vision,5355
Nanoradio,86
Natural Language Processing,6931
Neural Networks,43063
Neural-sensing headset,0
next gen web search,0
Open source model,122
Optical computing,352
Quantum algorithm,167
Quantum computing hardware,1452
Quantum cryptography,454
Semantic Web,794
Silicon laser for communication,0
Smartphone,31127
Spatial computing,31
Streaming television,265
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,3075
Virtual reality applications,507
Visible Light Communication,997
wi-fi 6,2
wi-fi 7,2
AI Arbitration,0
Digital forensics tools,0
Document automation,35
Intelligent Knowledge Management,1
Aerogel,2569
Amorphous metal,1771
Bioplastic,136
Carbon nanotube,18674
Conductive polymer,7351
Cryogenic treatment,260
Dynamic Armor,0
Eutectic system,425
Fast-ion Conductors,6
Fullerene,2420
Gallium Nitride semiconductor,136
Graphene,14836
Graphene Oxide dough,1865
High Entropy Alloys,25
Magnetic nanoparticles,1418
Magnetorheological fluid,384
Metal foam,657
Metamaterial,1406
Multi-function structure,6
Nanocrystal,5364
Nanotextured surface,17
Photonic Metamaterial,5
piezoelectric material adhesion,0
Programmable matter,31
Quantum dot,9273
Self-cleaning surfaces,98
Shape Memory Polymer,709
Shape-memory alloy,4069
Silicene,49
Single Photon Source,103
Superalloy,1349
Superfluidity,19
Superlenses chips,0
Syntactic Materials,0
Time crystal,48
Zeolite,13836
Zero-friction coating,1235
16K video resolution,0
Augmented reality,10085
Brain-computer interface,555
Computer-generated imagery,233
Detecting fake news online automatically,0
e-Reader,340
Extended Reality,75
hydrogen vehicle,37
Immersion (virtual reality),33
Mixed Reality,1294
Video tracking,550
Virtual reality,14957
3D Bioprinting,62
Anti-degenerative medicine,0
Apheresis,1227
Artificial womb,4
Bio Ink,7713
Biomimetic Nanocoagulation,0
Biosensor,9006
Breath analysis,256
Cancer biomarker,372
Capsule endoscopy,89
Cortical implant,17
De-extinction,0
DNA-templated organic synthesis,2
Drug-eluting stent,441
Electroanalgesia,10
Electronic nose,428
Head transplant,7
Intelligent toilet,257
Jet injector,710
Lab-on-a-chip,12614
Microelectromechanical systems,24414
Microfluidics,8820
Molecular electronics,398
Nanorobotics,59
Neuron Control,0
Neuroprosthetics,126
Nutritional genomics,15
Omni Processor,0
OOKP,1
Organ-on-a-Chip,93
Photoacoustic imaging,783
Plasma Medicine,519
Point of care automated analyser,22
Portable water purification,91
Powered exoskeleton,193
Protein Structure Prediction,519
Rapid diagnostic test,87
Real-time polymerase chain reaction,605
Regenerative Medicine,6130
Sensory substitution,51
Single Cell Analysis,491
Stasis Chamber,0
Synthetic Blood,845
Theranostic Wound Care,300
Transdermal optical imaging,11
Active camouflage,2272
Active noise control,297
Automatic identification of suspicious activity,0
Cloaking device,42
Coilgun,5
Compact Kinetic Energy Missile,0
DART ammunition,16
Delay-line oscillator,3
Electrolaser,0
Electroshock weapon,102
Electrothermal-chemical technology for propellants,0
EMP weapon,0
Explosively pumped flux compression generator,0
Force Field,3133
Homodyne detection,203
HPM weapons,51
Hypersonic weapon,0
Kinetic bombardment,0
Kinetic energy penetrator,9
Laser weapon,51
Lidar,8011
MAHEM,0
Metamaterial cloaking,1
MGM-166 LOSAT,0
Nonlinear metamaterial,0
Optical coating,734
Optoelectronic oscillator,13
Particle-beam weapon,1
Plasma stealth,3
Pure fusion weapon,0
Quadcopter,523
Quantum illumination,286
Quantum radar,7
Railgun,50
Sonic weapon,0
Swarm robotic platforms,0
Swarm robotics,8
Teslaphoresis,0
Vortex ring gun,5
Asteroid mining,10
Biomining,196
Urban mining,1
Closed system drug transfer device,0
DNA repair,3484
Electronic cigarette,4804
Enzybiotics,4
Exhalation delivery system,144
Gene Editing,3275
Genome Prime Editing,0
ISCOM,194
Medicinal fungi,21
Microneedle drug delivery,6
Molecular Inversion Probe,97
NASBA,2072
Off-target genome editing,7
Oncolytic virus,769
Phage therapy,270
Receptor activated solely by a synthetic ligand,22
Senolytic,83
Stem-cell therapy,1282
Structurally nanoengineered antimicrobial polypeptide polymers,31
Targeted drug delivery,2379
Virotherapy,170
Air-launch-to-orbit,0
Artificial gravity,63
Beam-powered propulsion,2
Fusion rocket,4
Inflatable space habitat,0
Ion thruster,74
Launch loop,0
Mass driver,9
