,commercialization
Aeroponics,80
agricultural robot,11
aquaponics,60
cellular agriculture,1
closed ecological system,8
Controlled ecological life-support system,0
Cultured meat,0
fogponics,2
Genetically modified crops,218
Genetically modified food,13
Genetically modified organism,125
hydroponics,144
Insects as food,22
meat analogue,46
Passive hydroponics,83
Precision agriculture,110
Precision livestock farming,0
Vertical farming,13
arcology,0
Gesture recognition,319
Domed city,0
Translucent concrete,1
AI Art,2
AI Music,41
Drone display,2
Galliane,0
music technology,4
artificial island,5
Carbon capture and storage,365
Carbon dioxide removal,213
Carbon sequestration,188
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,212
4d printing,4
Anticipatory Life Cycle Analysis,0
Artificial muscle,60
Bio-manufacturing,8
Claytronics,0
Construction 3D printing,19
Incremental sheet forming,0
Life-cycle assessment,167
Liquid Crystal Elastomers,85
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,195
Radio-frequency identification,13661
Robot end effector,1
self assembly,473
Self-reconfiguring modular robot,2
Smart highway,46
Structural health monitoring,57
Supertall building,0
utility fog,0
Adaptive Learning Technology,1
Augmented learning,2
Gamifying education,307
Intelligent tutoring system,1
Learning Management System,89
Mobile learning,126
Virtual Collaborative Learning,0
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,32
Digital scent technology,0
Dynamic inductive charging,2038
E-textiles,15
Electronic skin,9
Flexible display,455
Flexible electronics,47
Flexible organic light-emitting diode,10
Gastrobot,0
Holography,359
laser diode headlights,742
Laser video display,0
Memristor,142
Multi-level converter,36
Nanoelectromechanical systems,81
Nanosensor,57
Optical transistor,6
Phonon laser,0
Robotic sensing,1
Solid-state transformer,8
Spintronics,34
three-dimensional integrated circuit,121
Twistronics,0
Virtual retinal display,23
Volumetric display,55
3rd generation solar cell,0
Airborne wind turbine,0
Artificial photosynthesis,6
Biobattery,2
Biomass to liquid,13
Coal liquefaction,65
Combined Cycle Gas Turbine Plant,115
concentrated solar power,77
CZTS solar cell,22
Dye-sensitized solar cell,130
Electric vehicle battery fast charge,2834
Energy harvesting,828
Floating Liquefied Natural Gas,22
Flywheel energy storage,97
Fourth-generation biofuel,28
Fusion power,51
Gas generator,481
Gas-cooled fast reactor,0
Gasification,1995
Generation IV reactor,1
Grid energy storage,178
Holograms for solar,0
Home fuel cell,9
Hydrogen fuel,570
Lead-cooled fast reactor,0
Liquid fluoride thorium reactor,0
Liquid metal battery,4
Lithium ion battery,2135
Lithium iron phosphate battery,25
Lithium-air battery,113
Lithium-sulfur battery,78
Magnesium battery,38
Microbial electrolysis cell,0
Microreactor,216
Mini Bioreactors,126
Modular Reactors,19
Molten salt reactor,7
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,118
Oil detection,195
Optical rectenna,31
Organic solar cell,49
Perovskite solar cell,59
Power-to-X,2
Proton Battery,0
Quantum dot solar cell,1
second-generation biofuels,177
Smart grid,1344
Sodium-cooled fast reactor,8
Space-based solar power,10
Supercapacitor,632
Supercritical water reactor,1
Third-generation biofuels,4
Thorium fuel cycle,0
Triboelectric Nanogenerator,10
Virtual power Plant,76
Vortex engine,0
Wireless power transfer,799
Zero-energy building,3
Automated journalism,2
Foundation garment,14
Haptic feedback systems,552
Wearable journalism,4202
Cryptocurrency,3607
Stablecoin,10
Companion robot,12
Cryonics,2
Extreme Life extension,162
Suspended animation,9
5D DVD,0
5g,6163
6G,477
Ambient intelligence,95
Artificial brain,2
Artificial general intelligence,2642
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,36224
Compressive Sensing,39
Deep learning,901
deep trench capacitor,22
Digital image processing,9265
Digital image segmentation,0
Distributed ledger,7745
DNA Computing,5
DNA digital data storage,2
