,emergence
Aeroponics,111
agricultural robot,11
aquaponics,74
cellular agriculture,1
closed ecological system,36
Controlled ecological life-support system,0
Cultured meat,4
fogponics,1
Genetically modified crops,207
Genetically modified food,56
Genetically modified organism,265
hydroponics,203
Insects as food,30
meat analogue,87
Passive hydroponics,96
Precision agriculture,259
Precision livestock farming,0
Vertical farming,37
arcology,0
Gesture recognition,1505
Domed city,0
Translucent concrete,6
AI Art,3
AI Music,119
Drone display,1
Galliane,0
music technology,68
artificial island,21
Carbon capture and storage,670
Carbon dioxide removal,215
Carbon sequestration,206
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,809
4d printing,23
Anticipatory Life Cycle Analysis,0
Artificial muscle,330
Bio-manufacturing,38
Claytronics,3
Construction 3D printing,49
Incremental sheet forming,6
Life-cycle assessment,92
Liquid Crystal Elastomers,429
Megatall skyscrapers,0
Molecular assembler,1
Predictive maintenance,631
Radio-frequency identification,26995
Robot end effector,54
self assembly,3340
Self-reconfiguring modular robot,13
Smart highway,29
Structural health monitoring,235
Supertall building,0
utility fog,0
Adaptive Learning Technology,4
Augmented learning,2
Gamifying education,316
Intelligent tutoring system,4
Learning Management System,145
Mobile learning,594
Virtual Collaborative Learning,0
Atomtronics,3
Biodegradable electronics,4
Carbon nanotube field-effect transistor,96
Digital scent technology,7
Dynamic inductive charging,9615
E-textiles,94
Electronic skin,109
Flexible display,2827
Flexible electronics,491
Flexible organic light-emitting diode,61
Gastrobot,0
Holography,825
laser diode headlights,2942
Laser video display,12
Memristor,1578
Multi-level converter,468
Nanoelectromechanical systems,640
Nanosensor,337
Optical transistor,92
Phonon laser,5
Robotic sensing,1
Solid-state transformer,75
Spintronics,1171
three-dimensional integrated circuit,732
Twistronics,0
Virtual retinal display,31
Volumetric display,114
3rd generation solar cell,0
Airborne wind turbine,7
Artificial photosynthesis,88
Biobattery,7
Biomass to liquid,57
Coal liquefaction,89
Combined Cycle Gas Turbine Plant,237
concentrated solar power,119
CZTS solar cell,36
Dye-sensitized solar cell,1465
Electric vehicle battery fast charge,6407
Energy harvesting,4231
Floating Liquefied Natural Gas,52
Flywheel energy storage,227
Fourth-generation biofuel,66
Fusion power,112
Gas generator,1472
Gas-cooled fast reactor,0
Gasification,3255
Generation IV reactor,4
Grid energy storage,183
Holograms for solar,0
Home fuel cell,8
Hydrogen fuel,1460
Lead-cooled fast reactor,3
Liquid fluoride thorium reactor,0
Liquid metal battery,34
Lithium ion battery,17153
Lithium iron phosphate battery,232
Lithium-air battery,688
Lithium-sulfur battery,571
Magnesium battery,167
Microbial electrolysis cell,18
Microreactor,524
Mini Bioreactors,118
Modular Reactors,24
Molten salt reactor,16
Nanocharging Solar,0
Nanowire battery,1
Ocean thermal energy conversion,118
Oil detection,385
Optical rectenna,215
Organic solar cell,760
Perovskite solar cell,223
Power-to-X,6
Proton Battery,9
Quantum dot solar cell,34
second-generation biofuels,229
Smart grid,2202
Sodium-cooled fast reactor,9
Space-based solar power,41
Supercapacitor,4565
Supercritical water reactor,3
Third-generation biofuels,15
Thorium fuel cycle,5
Triboelectric Nanogenerator,33
Virtual power Plant,53
Vortex engine,3
Wireless power transfer,5567
Zero-energy building,6
Automated journalism,0
Foundation garment,22
Haptic feedback systems,3346
Wearable journalism,8730
Cryptocurrency,2285
Stablecoin,10
Companion robot,41
Cryonics,2
Extreme Life extension,859
Suspended animation,42
5D DVD,2
5g,25049
6G,1766
Ambient intelligence,497
Artificial brain,11
Artificial general intelligence,8847
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,10845
Compressive Sensing,477
Deep learning,4046
deep trench capacitor,166
Digital image processing,38438
Digital image segmentation,3
Distributed ledger,7220
DNA Computing,48
DNA digital data storage,3
Edge Computing,486
Edge enhancement,272
Embedded systems in substrate,0
Exascale computing,43
Extreme ultraviolet lithography,1051
Facial recognition,4758
General-purpose computing on graphics processing units,231
GPT-4,0
Haptic technology,650
Holographic data storage,215
Hyper CD-ROM,0
In-memory processing,69
In-storage processing,0
Indoor positioning system,293
Internet of things,8513
Li-Fi,205
Machine translation,1848
Machine vision,1974
Nanoradio,0
Natural Language Processing,3411
Neural Networks,10416
Neural-sensing headset,0
next gen web search,0
Open source model,0
Optical computing,195
Quantum algorithm,59
Quantum computing hardware,889
Quantum cryptography,324
Semantic Web,526
Silicon laser for communication,0
Smartphone,28614
Spatial computing,1
Streaming television,280
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,2264
Virtual reality applications,283
Visible Light Communication,719
wi-fi 6,10
wi-fi 7,2
AI Arbitration,0
Digital forensics tools,0
Document automation,9
Intelligent Knowledge Management,1
Aerogel,1458
Amorphous metal,1085
Bioplastic,128
Carbon nanotube,16659
Conductive polymer,7793
Cryogenic treatment,37
Dynamic Armor,0
Eutectic system,124
Fast-ion Conductors,16
Fullerene,2164
Gallium Nitride semiconductor,171
Graphene,12493
Graphene Oxide dough,1610
High Entropy Alloys,48
Magnetic nanoparticles,865
Magnetorheological fluid,608
Metal foam,765
Metamaterial,880
Multi-function structure,1
Nanocrystal,3714
Nanotextured surface,2
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,28
Quantum dot,6390
Self-cleaning surfaces,62
Shape Memory Polymer,524
Shape-memory alloy,4186
