,R_D
Aeroponics,197
agricultural robot,97
aquaponics,619
cellular agriculture,22
closed ecological system,44
Controlled ecological life-support system,35
Cultured meat,260
fogponics,0
Genetically modified crops,1928
Genetically modified food,861
Genetically modified organism,1259
hydroponics,1193
Insects as food,440
meat analogue,116
Passive hydroponics,269
Precision agriculture,2906
Precision livestock farming,100
Vertical farming,89
arcology,15
Gesture recognition,2660
Domed city,0
Translucent concrete,16
AI Art,87
AI Music,525
Drone display,1
Galliane,0
music technology,384
artificial island,93
Carbon capture and storage,7922
Carbon dioxide removal,304
Carbon sequestration,7828
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,2148
4d printing,298
Anticipatory Life Cycle Analysis,0
Artificial muscle,671
Bio-manufacturing,77
Claytronics,8
Construction 3D printing,215
Incremental sheet forming,235
Life-cycle assessment,7968
Liquid Crystal Elastomers,741
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,1062
Radio-frequency identification,14806
Robot end effector,188
self assembly,15149
Self-reconfiguring modular robot,222
Smart highway,149
Structural health monitoring,4556
Supertall building,17
utility fog,2
Adaptive Learning Technology,20
Augmented learning,65
Gamifying education,6077
Intelligent tutoring system,1074
Learning Management System,2774
Mobile learning,18253
Virtual Collaborative Learning,27
Atomtronics,30
Biodegradable electronics,11
Carbon nanotube field-effect transistor,483
Digital scent technology,1
Dynamic inductive charging,10460
E-textiles,514
Electronic skin,290
Flexible display,244
Flexible electronics,1371
Flexible organic light-emitting diode,22
Gastrobot,0
Holography,4462
laser diode headlights,2635
Laser video display,9
Memristor,2779
Multi-level converter,148
Nanoelectromechanical systems,1697
Nanosensor,655
Optical transistor,23
Phonon laser,40
Robotic sensing,27
Solid-state transformer,183
Spintronics,4377
three-dimensional integrated circuit,418
Twistronics,21
Virtual retinal display,3
Volumetric display,64
3rd generation solar cell,1
Airborne wind turbine,10
Artificial photosynthesis,552
Biobattery,17
Biomass to liquid,88
Coal liquefaction,277
Combined Cycle Gas Turbine Plant,828
concentrated solar power,830
CZTS solar cell,68
Dye-sensitized solar cell,909
Electric vehicle battery fast charge,1426
Energy harvesting,8944
Floating Liquefied Natural Gas,141
Flywheel energy storage,477
Fourth-generation biofuel,327
Fusion power,725
Gas generator,504
Gas-cooled fast reactor,67
Gasification,11131
Generation IV reactor,49
Grid energy storage,554
Holograms for solar,0
Home fuel cell,3
Hydrogen fuel,1367
Lead-cooled fast reactor,93
Liquid fluoride thorium reactor,4
Liquid metal battery,26
Lithium ion battery,7361
Lithium iron phosphate battery,162
Lithium-air battery,355
Lithium-sulfur battery,208
Magnesium battery,66
Microbial electrolysis cell,164
Microreactor,1359
