,commercialization
Aeroponics,45
agricultural robot,9
aquaponics,206
cellular agriculture,9
closed ecological system,11
Controlled ecological life-support system,0
Cultured meat,86
fogponics,0
Genetically modified crops,1653
Genetically modified food,733
Genetically modified organism,1138
hydroponics,214
Insects as food,108
meat analogue,40
Passive hydroponics,57
Precision agriculture,504
Precision livestock farming,22
Vertical farming,38
arcology,0
Gesture recognition,156
Domed city,0
Translucent concrete,2
AI Art,6
AI Music,20
Drone display,1
Galliane,0
music technology,48
artificial island,15
Carbon capture and storage,1787
Carbon dioxide removal,46
Carbon sequestration,1394
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,188
4d printing,16
Anticipatory Life Cycle Analysis,0
Artificial muscle,24
Bio-manufacturing,17
Claytronics,5
Construction 3D printing,18
Incremental sheet forming,10
Life-cycle assessment,1353
Liquid Crystal Elastomers,36
Megatall skyscrapers,0
Molecular assembler,0
Predictive maintenance,177
Radio-frequency identification,3905
Robot end effector,7
self assembly,783
Self-reconfiguring modular robot,3
Smart highway,32
Structural health monitoring,219
Supertall building,1
utility fog,0
Adaptive Learning Technology,9
Augmented learning,2
Gamifying education,726
Intelligent tutoring system,36
Learning Management System,243
Mobile learning,1712
Virtual Collaborative Learning,2
Atomtronics,0
Biodegradable electronics,0
Carbon nanotube field-effect transistor,26
Digital scent technology,0
Dynamic inductive charging,1527
E-textiles,67
Electronic skin,10
Flexible display,24
Flexible electronics,111
Flexible organic light-emitting diode,3
Gastrobot,0
Holography,188
laser diode headlights,316
Laser video display,0
Memristor,77
Multi-level converter,13
Nanoelectromechanical systems,216
Nanosensor,45
Optical transistor,1
Phonon laser,2
Robotic sensing,6
Solid-state transformer,27
Spintronics,49
three-dimensional integrated circuit,35
Twistronics,2
Virtual retinal display,3
Volumetric display,7
3rd generation solar cell,0
Airborne wind turbine,1
Artificial photosynthesis,27
Biobattery,0
Biomass to liquid,16
Coal liquefaction,79
Combined Cycle Gas Turbine Plant,220
concentrated solar power,182
CZTS solar cell,3
Dye-sensitized solar cell,106
Electric vehicle battery fast charge,579
Energy harvesting,674
Floating Liquefied Natural Gas,24
Flywheel energy storage,76
Fourth-generation biofuel,39
Fusion power,219
Gas generator,51
Gas-cooled fast reactor,1
Gasification,1622
Generation IV reactor,3
Grid energy storage,121
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,366
Lead-cooled fast reactor,7
Liquid fluoride thorium reactor,1
Liquid metal battery,2
Lithium ion battery,1130
Lithium iron phosphate battery,16
Lithium-air battery,46
Lithium-sulfur battery,66
Magnesium battery,7
Microbial electrolysis cell,8
Microreactor,143
Mini Bioreactors,31
Modular Reactors,49
Molten salt reactor,11
Nanocharging Solar,0
Nanowire battery,0
Ocean thermal energy conversion,86
Oil detection,298
Optical rectenna,8
Organic solar cell,44
Perovskite solar cell,100
Power-to-X,14
Proton Battery,0
Quantum dot solar cell,3
second-generation biofuels,393
Smart grid,1983
Sodium-cooled fast reactor,32
Space-based solar power,21
Supercapacitor,680
Supercritical water reactor,1
Third-generation biofuels,31
Thorium fuel cycle,9
Triboelectric Nanogenerator,44
Virtual power Plant,153
Vortex engine,1
Wireless power transfer,234
Zero-energy building,97
Automated journalism,3
Foundation garment,0
Haptic feedback systems,338
Wearable journalism,1039
Cryptocurrency,1403
Stablecoin,16
Companion robot,77
Cryonics,10
Extreme Life extension,1881
Suspended animation,14
5D DVD,2
5g,1626
6G,175
Ambient intelligence,526
Artificial brain,17
Artificial general intelligence,4080
Atmospheric satellite,0
Automatic AI debugging,0
Cloud computing,8463
Compressive Sensing,103
Deep learning,2979
deep trench capacitor,1
Digital image processing,1949
Digital image segmentation,1
Distributed ledger,4271
DNA Computing,21
DNA digital data storage,1
Edge Computing,402
Edge enhancement,9
Embedded systems in substrate,0
Exascale computing,25
Extreme ultraviolet lithography,137
Facial recognition,1271
General-purpose computing on graphics processing units,85
GPT-4,3
Haptic technology,100
Holographic data storage,16
Hyper CD-ROM,0
In-memory processing,17
In-storage processing,2
Indoor positioning system,47
Internet of things,3630
Li-Fi,36
Machine translation,481
Machine vision,287
Nanoradio,0
Natural Language Processing,1032
Neural Networks,5758
Neural-sensing headset,0
next gen web search,0
Open source model,42
Optical computing,8
Quantum algorithm,38
Quantum computing hardware,286
Quantum cryptography,356
Semantic Web,1232
Silicon laser for communication,0
Smartphone,5807
Spatial computing,6
Streaming television,51
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,568
Virtual reality applications,113
Visible Light Communication,142
wi-fi 6,3
wi-fi 7,0
AI Arbitration,0
Digital forensics tools,5
Document automation,1
Intelligent Knowledge Management,1
Aerogel,303
Amorphous metal,91
Bioplastic,111
Carbon nanotube,2926
Conductive polymer,170
Cryogenic treatment,19
Dynamic Armor,0
Eutectic system,21
Fast-ion Conductors,0
Fullerene,245
Gallium Nitride semiconductor,0
Graphene,3605
Graphene Oxide dough,877
High Entropy Alloys,18
Magnetic nanoparticles,222
Magnetorheological fluid,25
Metal foam,61
Metamaterial,166
Multi-function structure,0
Nanocrystal,1000
Nanotextured surface,0
Photonic Metamaterial,0
piezoelectric material adhesion,0
Programmable matter,2
Quantum dot,889
Self-cleaning surfaces,22
Shape Memory Polymer,23
Shape-memory alloy,134
Silicene,12
Single Photon Source,9
Superalloy,361
Superfluidity,10
Superlenses chips,0
Syntactic Materials,0
Time crystal,4
Zeolite,2421
Zero-friction coating,14
16K video resolution,0
Augmented reality,1233
Brain-computer interface,212
Computer-generated imagery,15
Detecting fake news online automatically,0
e-Reader,52
Extended Reality,16
hydrogen vehicle,18
Immersion (virtual reality),29
Mixed Reality,214
Video tracking,43
Virtual reality,2241
3D Bioprinting,47
Anti-degenerative medicine,0
Apheresis,252
Artificial womb,3
Bio Ink,1138
Biomimetic Nanocoagulation,0
Biosensor,1412
Breath analysis,69
Cancer biomarker,83
Capsule endoscopy,61
Cortical implant,0
De-extinction,14
DNA-templated organic synthesis,0
Drug-eluting stent,45
Electroanalgesia,0
Electronic nose,274
Head transplant,5
Intelligent toilet,1
Jet injector,10
Lab-on-a-chip,226
Microelectromechanical systems,1917
Microfluidics,638
Molecular electronics,26
Nanorobotics,22
Neuron Control,10
Neuroprosthetics,9
Nutritional genomics,43
Omni Processor,0
OOKP,2
Organ-on-a-Chip,16
Photoacoustic imaging,82
Plasma Medicine,102
Point of care automated analyser,4
Portable water purification,0
Powered exoskeleton,19
Protein Structure Prediction,52
