,emergence
Aeroponics,94
agricultural robot,51
aquaponics,208
cellular agriculture,24
closed ecological system,25
Controlled ecological life-support system,5
Cultured meat,177
fogponics,0
Genetically modified crops,1381
Genetically modified food,492
Genetically modified organism,1167
hydroponics,303
Insects as food,299
meat analogue,83
Passive hydroponics,86
Precision agriculture,1771
Precision livestock farming,68
Vertical farming,87
arcology,9
Gesture recognition,2251
Domed city,0
Translucent concrete,26
AI Art,94
AI Music,357
Drone display,1
Galliane,0
music technology,225
artificial island,56
Carbon capture and storage,5070
Carbon dioxide removal,168
Carbon sequestration,1929
Gasoline from Carbon Dioxide,0
Microbial electrolysis carbon capture,0
3D metal printing,1639
4d printing,322
Anticipatory Life Cycle Analysis,0
Artificial muscle,534
Bio-manufacturing,44
Claytronics,13
Construction 3D printing,163
Incremental sheet forming,188
Life-cycle assessment,3425
Liquid Crystal Elastomers,786
Megatall skyscrapers,0
Molecular assembler,5
Predictive maintenance,685
Radio-frequency identification,12475
Robot end effector,71
self assembly,18313
Self-reconfiguring modular robot,183
Smart highway,84
Structural health monitoring,3134
Supertall building,6
utility fog,3
Adaptive Learning Technology,11
Augmented learning,42
Gamifying education,2791
Intelligent tutoring system,373
Learning Management System,836
Mobile learning,8940
Virtual Collaborative Learning,12
Atomtronics,30
Biodegradable electronics,11
Carbon nanotube field-effect transistor,428
Digital scent technology,2
Dynamic inductive charging,4225
E-textiles,452
Electronic skin,280
Flexible display,214
Flexible electronics,1366
Flexible organic light-emitting diode,41
Gastrobot,0
Holography,3166
laser diode headlights,2521
Laser video display,12
Memristor,2494
Multi-level converter,252
Nanoelectromechanical systems,1544
Nanosensor,1014
Optical transistor,21
Phonon laser,28
Robotic sensing,18
Solid-state transformer,236
Spintronics,4094
three-dimensional integrated circuit,455
Twistronics,32
Virtual retinal display,11
Volumetric display,73
3rd generation solar cell,1
Airborne wind turbine,8
Artificial photosynthesis,539
Biobattery,23
Biomass to liquid,51
Coal liquefaction,118
Combined Cycle Gas Turbine Plant,405
concentrated solar power,410
CZTS solar cell,56
Dye-sensitized solar cell,1445
Electric vehicle battery fast charge,721
Energy harvesting,7406
Floating Liquefied Natural Gas,82
Flywheel energy storage,334
Fourth-generation biofuel,328
Fusion power,481
Gas generator,187
Gas-cooled fast reactor,29
Gasification,3863
Generation IV reactor,33
Grid energy storage,406
Holograms for solar,0
Home fuel cell,0
Hydrogen fuel,833
Lead-cooled fast reactor,21
Liquid fluoride thorium reactor,3
Liquid metal battery,23
Lithium ion battery,6091
Lithium iron phosphate battery,84
Lithium-air battery,351
Lithium-sulfur battery,281
Magnesium battery,77
Microbial electrolysis cell,164
Microreactor,944
Mini Bioreactors,81
Modular Reactors,137
Molten salt reactor,96
Nanocharging Solar,0
Nanowire battery,2
Ocean thermal energy conversion,156
Oil detection,782
Optical rectenna,242
Organic solar cell,479
Perovskite solar cell,515
Power-to-X,20
Proton Battery,12
Quantum dot solar cell,71
second-generation biofuels,456
Smart grid,7604
Sodium-cooled fast reactor,102
Space-based solar power,41
Supercapacitor,7375
Supercritical water reactor,23
Third-generation biofuels,86
Thorium fuel cycle,33
Triboelectric Nanogenerator,571
Virtual power Plant,173
Vortex engine,16
Wireless power transfer,2418
Zero-energy building,231
Automated journalism,19
Foundation garment,7
Haptic feedback systems,2763
Wearable journalism,4746
Cryptocurrency,1821
Stablecoin,18
Companion robot,404
Cryonics,24
Extreme Life extension,1435
Suspended animation,64
5D DVD,2
5g,10928
6G,1212
Ambient intelligence,4121
Artificial brain,61
Artificial general intelligence,25589
Atmospheric satellite,13
Automatic AI debugging,0
Cloud computing,25335
Compressive Sensing,3766
Deep learning,34411
deep trench capacitor,5
Digital image processing,21773
Digital image segmentation,27
Distributed ledger,8511
DNA Computing,633
DNA digital data storage,0
Edge Computing,3976
Edge enhancement,249
Embedded systems in substrate,0
Exascale computing,210
Extreme ultraviolet lithography,852
Facial recognition,10567
General-purpose computing on graphics processing units,781
GPT-4,11
Haptic technology,973
Holographic data storage,179
Hyper CD-ROM,0
In-memory processing,113
In-storage processing,19
Indoor positioning system,329
Internet of things,20629
Li-Fi,338
Machine translation,3671
Machine vision,2349
Nanoradio,2
Natural Language Processing,6494
Neural Networks,63676
Neural-sensing headset,0
next gen web search,0
Open source model,83
Optical computing,355
Quantum algorithm,362
Quantum computing hardware,3018
Quantum cryptography,939
Semantic Web,7779
Silicon laser for communication,0
Smartphone,13877
Spatial computing,80
Streaming television,116
Subvocal recognition,0
Ultradense Molecular Memory,0
Vehicular communication systems,2450
Virtual reality applications,761
Visible Light Communication,1131
wi-fi 6,26
wi-fi 7,6
AI Arbitration,0
Digital forensics tools,21
Document automation,12
Intelligent Knowledge Management,21
Aerogel,2491
Amorphous metal,1156
Bioplastic,281
Carbon nanotube,37002
Conductive polymer,3039
Cryogenic treatment,131
Dynamic Armor,1
Eutectic system,192
Fast-ion Conductors,43
Fullerene,6205
Gallium Nitride semiconductor,5
Graphene,52902
Graphene Oxide dough,12655
High Entropy Alloys,828
Magnetic nanoparticles,5306
Magnetorheological fluid,394
Metal foam,327
Metamaterial,5268
Multi-function structure,0
Nanocrystal,11764
Nanotextured surface,13
Photonic Metamaterial,32
piezoelectric material adhesion,0
Programmable matter,84
Quantum dot,20745
Self-cleaning surfaces,108
Shape Memory Polymer,457
Shape-memory alloy,2215
Silicene,634
Single Photon Source,169
Superalloy,1452
Superfluidity,579
Superlenses chips,0
Syntactic Materials,1
Time crystal,71
Zeolite,9203
Zero-friction coating,228
16K video resolution,0
Augmented reality,8420
Brain-computer interface,3401
Computer-generated imagery,68
Detecting fake news online automatically,0
e-Reader,80
Extended Reality,151
hydrogen vehicle,24
Immersion (virtual reality),220
Mixed Reality,1631
Video tracking,396
Virtual reality,15120
3D Bioprinting,901
Anti-degenerative medicine,0
Apheresis,1407
Artificial womb,41
Bio Ink,18225
Biomimetic Nanocoagulation,0
Biosensor,16002
Breath analysis,448
Cancer biomarker,1291
Capsule endoscopy,1854
Cortical implant,8
De-extinction,68
DNA-templated organic synthesis,6
Drug-eluting stent,1594
Electroanalgesia,13
Electronic nose,917
Head transplant,5
Intelligent toilet,2
Jet injector,63
Lab-on-a-chip,2374
Microelectromechanical systems,15984
Microfluidics,7591
Molecular electronics,983
Nanorobotics,421
Neuron Control,26
Neuroprosthetics,262
Nutritional genomics,108
Omni Processor,1
OOKP,42
Organ-on-a-Chip,365
Photoacoustic imaging,1285
Plasma Medicine,1222
Point of care automated analyser,12
Portable water purification,5
Powered exoskeleton,166
Protein Structure Prediction,935
Rapid diagnostic test,338
Real-time polymerase chain reaction,2075
Regenerative Medicine,18145
Sensory substitution,230
Single Cell Analysis,1828
Stasis Chamber,2
Synthetic Blood,388
Theranostic Wound Care,7063
Transdermal optical imaging,7
Active camouflage,764
Active noise control,497
Automatic identification of suspicious activity,0
Cloaking device,99
Coilgun,55
Compact Kinetic Energy Missile,1
DART ammunition,10
Delay-line oscillator,7
Electrolaser,0
Electroshock weapon,17
Electrothermal-chemical technology for propellants,0
EMP weapon,1
Explosively pumped flux compression generator,0
Force Field,3494
Homodyne detection,148
