tech,01/04/2001,01/07/2001,01/08/2001,01/09/2001,01/10/2001,01/11/2001,01/12/2001,01/01/2002,01/02/2002,01/03/2002,01/04/2002,01/05/2002,01/06/2002,01/07/2002,01/08/2002,01/09/2002,01/10/2002,01/11/2002,01/12/2002,01/01/2003,01/02/2003,01/03/2003,01/04/2003,01/05/2003,01/06/2003,01/07/2003,01/08/2003,01/09/2003,01/10/2003,01/11/2003,01/12/2003,01/01/2004,01/02/2004,01/03/2004,01/04/2004,01/05/2004,01/06/2004,01/07/2004,01/08/2004,01/09/2004,01/10/2004,01/11/2004,01/12/2004,01/01/2005,01/02/2005,01/03/2005,01/04/2005,01/05/2005,01/06/2005,01/07/2005,01/08/2005,01/09/2005,01/10/2005,01/11/2005,01/12/2005,01/01/2006,01/02/2006,01/03/2006,01/04/2006,01/05/2006,01/06/2006,01/07/2006,01/08/2006,01/09/2006,01/10/2006,01/11/2006,01/12/2006,01/01/2007,01/02/2007,01/03/2007,01/04/2007,01/05/2007,01/06/2007,01/07/2007,01/08/2007,01/09/2007,01/10/2007,01/11/2007,01/12/2007,01/01/2008,01/02/2008,01/03/2008,01/04/2008,01/05/2008,01/06/2008,01/07/2008,01/08/2008,01/09/2008,01/10/2008,01/11/2008,01/12/2008,01/01/2009,01/02/2009,01/03/2009,01/04/2009,01/05/2009,01/06/2009,01/07/2009,01/08/2009,01/09/2009,01/10/2009,01/11/2009,01/12/2009,01/01/2010,01/02/2010,01/03/2010,01/04/2010,01/05/2010,01/06/2010,01/07/2010,01/08/2010,01/09/2010,01/10/2010,01/11/2010,01/12/2010,01/01/2011,01/02/2011,01/03/2011,01/04/2011,01/05/2011,01/06/2011,01/07/2011,01/08/2011,01/09/2011,01/10/2011,01/11/2011,01/12/2011,01/01/2012,01/02/2012,01/03/2012,01/04/2012,01/05/2012,01/06/2012,01/07/2012,01/08/2012,01/09/2012,01/10/2012,01/11/2012,01/12/2012,01/01/2013,01/02/2013,01/03/2013,01/04/2013,01/05/2013,01/06/2013,01/07/2013,01/08/2013,01/09/2013,01/10/2013,01/11/2013,01/12/2013,01/01/2014,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014,01/01/2015,01/02/2015,01/03/2015,01/04/2015,01/05/2015,01/06/2015,01/07/2015,01/08/2015,01/09/2015,01/10/2015,01/11/2015,01/12/2015,01/01/2016,01/02/2016,01/03/2016,01/04/2016,01/05/2016,01/06/2016,01/07/2016,01/08/2016,01/09/2016,01/10/2016,01/11/2016,01/12/2016,01/01/2017,01/02/2017,01/03/2017,01/04/2017,01/05/2017,01/06/2017,01/07/2017,01/08/2017,01/09/2017,01/10/2017,01/11/2017,01/12/2017,01/01/2018,01/02/2018,01/03/2018,01/04/2018,01/05/2018,01/06/2018,01/07/2018,01/08/2018,01/09/2018,01/10/2018,01/11/2018,01/12/2018,01/01/2019,01/02/2019,01/03/2019,01/04/2019,01/05/2019,01/06/2019,01/07/2019,01/08/2019,01/09/2019,01/10/2019,01/11/2019,01/12/2019,01/01/2020,01/02/2020,01/03/2020,01/04/2020,01/05/2020,01/06/2020,01/07/2020,01/08/2020,01/09/2020,01/10/2020,01/11/2020,01/12/2020,01/01/2021,01/02/2021,01/03/2021,01/04/2021,01/05/2021,01/06/2021,01/07/2021,01/08/2021,01/09/2021,01/10/2021,01/11/2021
16K video resolution,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,850,1788,2226,2271,2452,0,0,2478,0,0,2472,2845,3629,3826,3833,4623,4726,4755,4462,5622,5723,5813,6073,6034,6563,5658,5606,0,5773,0,6061,6314,6332,6219,4340,4337,4469,4587,5910,5908,7168,7194,7235,7238,7237,0,7410,7232,7233,8029,8941,8770,0,8775
3D Bioprinting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,826,798,1567,1599,2801,2873,5456,4481,4423,0,4040,4040,0,4087,0,5576,5961,6990,0,6281,0,0,6348,10416,10746,11254,10874,19750,19764,0,20038,19635,19979,20781,20796,21063,20679,21920,22620,22594,0,22888,0,22886,22906,22890,24813,24427,23593,23606,0,23875,23915,23916,24888,16826,17033,0,17637,17379,17275,17260,17337,19749,19185,0,0,20113,19184,19657,19195,19209,18943,0,0,18925,0,0,0,19075,19762,18696,18654,0,0,21148,21379,21384,22242,0,22201,0,23592,28619,0
3D metal printing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75216,44568,45782,45795,46772,46671,46578,0,0,46587,46579,0,47344,47198,47021,0,47077,0,46625,47633,47633,48445,50875,53099,55456,56488,58714,59631,0,59972,60072,60188,61426,60497,60618,60855,61120,60536,60660,0,61365,61471,61408,61250,0,0,66374,67458,0,67527,0,67691,67759,67561,0,68503,68677,0
4D printing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,0,622,0,25379,25296,25055,25050,0,0,26794,0,0,25882,25881,27680,0,0,27643,27671,0,0,27858,0,27356,27434,27444,27444,27443,31222,31216,0,31011,31031,0,32341,22617,0,0,22617,0,0,22616,23005,23380,0,22611,0,22610,0,0,22622,0,0,22548,22582,22582,0,23188
5D DVD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1778,1779,1777,1777,0,1778,0,1780,1827,1812,1798,1875,0,0,1873,2067,1874,1869,0,1877,0,1910,0,1912,1894,1895,0,1969,0,1895,0,0,2103,0,0,1900,1894,0,0,0,0,0,0,0,0,0,0,0,0,0,1864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1878,0,0,0,0,0,0,1882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1910,0,0,0,1940,0,2801,2801,2817,2818,0,3508,0,0,0,3508,0,3538,0,3579
5g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,8223,8255,7828,7868,7844,7886,8455,8271,8462,9575,9970,10901,11639,9952,10096,10930,11632,11554,0,12027,31528,11358,11358,12310,12120,11618,11319,11630,13114,13278,13182,18019,13987,13729,13773,16027,16043,18299,20555,23099,23152,23521,23614,24702,25042,25044,25144,27378,29370,29674,29617,30343,30859,34272,34566,34406,35115,35191,38771,40057,40022,40306,40739,41240,45424,47307,48931,52078,51297,54250,56418,57722,57601,62018,61167,61563,64127,64341,64660,65335,67029,68221,68995,71677,70823,72671,74235,75644,75616,93640,78918,77921,81050,20380,23012,26985,39078,35159,38327,42120,46655,59190,38433,45798,44917,53785,69696,72738,66681,81758,89929,102480,112163,124994,183015,192612,251882,209547,201569,194219,109012,108854,108856,110814,114154,112936,111605,111888,112314,112314,112321,112990,113172,114070,107128,106478,102466,102325
6G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1460,1614,3494,4152,5487,5188,5205,6537,9332,11521,12346,14663,13326,14160,14250,14515,14385
Active camouflage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4706,5730,6019,0,0,6021,0,6146,6025,6030,6055,6650,6648,6636,6406,6248,6252,6568,6724,9126,9449,8797,8813,8783,9331,9195,9423,9317,9823,9903,10327,10341,10448,10512,10479,10866,10888,10997,11332,11038,11484,11441,12065,12102,12072,12045,0,12398,12400,12382,12515,11222,11115,11389,11627,11806,12053,11877,11937,12142,11687,11743,11932,0,12008,12242,12382,12323,12424,12513,12514,12546,12568,13887,0,13911,14102,13977,14135,14111,14107,0,0,0,14437,14435,14501,14565,0,11678,11751,0,11818,0,11818,0,0,11842,0,11864,11884,11891,0,0,0,11906,11814,0,12118,0,0,12109,0,0,0,0,12110,0,0,0,0,11993,0,12348,12336,0,0,0,0,12338,0,0,12339,0,0,12340,0,0,0,13102,13103,16393,0,16261,16725,16409,0,17113,16651,16665,16663,0,16866,0,0,0,17000,0,0,17086,17086,0,0,17118,17064,0,0,0,0,0,17111,0,16994,0,0,0,16931,0,0,16934,0,0,17003,0,0,17007,17023,0,17157,17157,17205,17219,17219,0,17206,0,17209,17570,0,18292,0,18335,18333,0,18323,18469
Active noise control,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,884,0,1476,0,0,1811,1822,0,0,1867,1866,1903,1903,0,2766,0,0,2771,2807,2967,2966,0,3000,3000,3153,3423,0,3423,3856,3551,4033,4050,0,4886,5116,5126,5134,5169,5498,5141,5160,5177,5180,6208,6143,6164,6358,7596,7805,7951,7841,0,7677,7697,0,0,7701,0,7781,7644,7788,0,7511,7639,7641,0,7800,7876,7751,0,7782,0,7885,7864,7864,0,0,0,7904,0,0,0,7918,0,7864,0,7863,0,7886,0,0,7904,7905,0,7929,7949,0,12108,13391,0,12898,0,0,0,12857,0,12881,0,12895,12639,0,12347,9903,9411,9251,0,0,0,9309,9317,9393,0,9390,9390,9398,9390,0,0,0,0,9409,9159,0,9184,0,0,0,9177,9325,9364,9932,0,0,9789,0,0,0,9663,9537,0,9728,0,10166,0,9021,9365,9506,0,9511,0,9509,0,0,0,0,0,0,0,0,10104,0,0,0,10111,10104,0,0,0,0,10543,10783,11241,11239,10952,10987,0,0,10953,0,11044,11086,0,0,0,0,11596,0,0,0,11185,11177,0,11080,0,11084,12488,10560,10535,0,0,0,0,10317,10168,10314,0,0
Adaptive Learning Technology,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2494,15174,15278,15457,15308,0,0,15396,15396,15390,0,0,15769,15756,15772,0,0,15774,15993,15981,15989,16153,0,16131,17366,17278,0,17282,17731,17455,17707,0,17802,17501,17803,17951,18607,18748,19048,19726,18963,19175,20394,20548,20475,19449,19953,20125,19060,19214,19265,19396,19541,19636,0,0,19472,21548,0,21739,22465,22793,22650,22587,23064,0,23587,24519,24075,23769,23701,23822,23844,12835,14409,0,14489,14502,14346,14831,14583,0,0,0,14612,0,14826,14883,14965,15002,0,15179,0,15674,0,15320,15374,15310,15173,0,0,0,15174,0,0,0,0,0,14657,15046,0,0,15075,14928,14936,0,0,14845,14879,0,14876,0,0,0,0,0,0,0,0,14925,0,15495,16218,0,16581,16579,16605,16583,16618,0,0
