"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Front Matter","",,"NoSQL Data Models: Trends and Challenges","","2018","","","i","xvii","The prelims comprise:<list style=""bulleted""> <listItem>Half‐Title Page</listItem> <listItem>Title Page</listItem> <listItem>Copyright Page</listItem> <listItem>Contents</listItem> <listItem>Foreword</listItem> <listItem>Preface</listItem> </list>","","9781119544135","10.1002/9781119528227.fmatter","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075046.pdf&bkn=10074974&pdfType=chapter","","","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Querying RDF Data: a Multigraph‐based Approach","V. Ingalalli; D. Ienco; P. Poncelet",NA; NA; NA,"NoSQL Data Models: Trends and Challenges","","2018","","","135","165","Resource description framework (RDF) data are cherished and exploited by various domains such as life sciences, Semantic Web and social networks. This chapter provides basic definitions on the interplay between RDF and its multigraph representation. The multigraph representation enables to construct lightweight indexing structures that ameliorate the time performance of Attributed Multigraph Based Engine for RDF querying (AMbER). The chapter discusses a graph‐based RDF querying engine, AMbER, which involves two steps. The first step is an offline step, where RDF data are transformed into multigraph and are indexed. The second step is an online step, where an efficient approach to answer a SPARQL query is proposed. The proposed engine AMbER has been tested over large RDF triplestores. The chapter focuses on the SELECT/WHERE clause of the SPARQL language, which constitutes the most important operation of any RDF query engine.","","9781119544135","10.1002/9781119528227.ch5","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075021.pdf&bkn=10074974&pdfType=chapter","","Resource description framework;Rough surfaces;Dictionaries;Standards;Engines;Indexing;Data models","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Relevant Filtering in a Distributed Content‐based Publish/Subscribe System","C. Mouza; N. Travers",NA; NA,"NoSQL Data Models: Trends and Challenges","","2018","","","203","244","This chapter focuses on the way to enhance the relevance of filtering and to integrate such a process in two different implementations: a centric‐based version and a distributed version in a not only SQL (NoSQL) environment. It presents an overview on novelty and diversity processes in content‐based publish/subscribe (Pub/Sub) techniques. The chapter develops the term discrimination values (TDV) weighting approach adapted to the Pub/Sub context, which is more convenient for the filtering step. TDV computation is a heavy process that requires evaluation of the density of a collection of items. The chapter explains how to provide better solutions to compute TDV. It compares the quality of the system with different settings and a top‐k approach and shows that real‐time delivery is a strong constraint which the system guarantees with a TDV‐weighted coverage combined with diversity.","","9781119544135","10.1002/9781119528227.ch7","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075027.pdf&bkn=10074974&pdfType=chapter","","Real-time systems;Data models;Vocabulary;IEEE Sections;Filtering;Automobiles;Redundancy","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Index","",,"NoSQL Data Models: Trends and Challenges","","2018","","","247","249","","","9781119544135","10.1002/9781119528227.index","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075031.pdf&bkn=10074974&pdfType=chapter","","","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Doing Web Data: from Dataset Recommendation to Data Linking","M. Achichi; M. Ben Ellefi; Z. Bellahsene; K. Todorov",NA; NA; NA; NA,"NoSQL Data Models: Trends and Challenges","","2018","","","57","91","This chapter introduces the main concepts of interest in the context of data linking. It presents an overview of the semantic web. Nikolov proposed a keyword‐based search approach to identify candidate sources for data linking. The chapter discusses a candidate dataset recommendation approach which skips the learning step and adopts the notion of intensional profile ‐ a set of schema concept descriptions representing the dataset. An open issue with regard to the candidate dataset recommendation task is to develop a reliable and complete ground truth in order to provide a common benchmark to the community. The chapter describes in detail the various data heterogeneity types that hinder the linking task. It provides the different techniques that are applied by the majority of data linking tools and approaches. The chapter compares different state‐of‐the‐art tools/approaches according to these techniques.","","9781119544135","10.1002/9781119528227.ch3","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075033.pdf&bkn=10074974&pdfType=chapter","","Linked data;Resource description framework;Vocabulary;Publishing;Open data;Task analysis;World Wide Web","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Distributed SPARQL Query Processing: a Case Study with Apache Spark","B. Amann; O. Cur&#xe9;; H. Naacke",NA; NA; NA,"NoSQL Data Models: Trends and Challenges","","2018","","","21","55","This chapter focuses on to the problem of evaluating SPARQL queries over large resource description framework (RDF) datasets. RDF data graphs can be produced without a predefined schema and SPARQL allows querying both schema and instance information simultaneously. The chapter presents the challenges and solutions for efficiently processing SPARQL queries and in particular basic graph pattern (BGP) expressions. The main challenge in processing complex graph pattern queries is to optimize the join operations which dominate the cost of all other operators. The chapter introduces the specific solution using the MapReduce framework for processing SPARQL graph patterns. It describes the use of Apache Spark and explains the importance of the physical data layers for the query performance. Spark SQL translates a SQL query into an algebraic expression composed of DF operators such as selection, projection and join.","","9781119544135","10.1002/9781119528227.ch2","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075002.pdf&bkn=10074974&pdfType=chapter","","Resource description framework;Data models;IEEE Sections;Cluster computing;Semantics;Query processing;Database languages","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Other titles from iSTE in Computer Engineering","",,"NoSQL Data Models: Trends and Challenges","","2018","","","G1","G9","","","9781119544135","10.1002/9781119528227.oth","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075037.pdf&bkn=10074974&pdfType=chapter","","","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"Big Data Integration in Cloud Environments: Requirements, Solutions and Challenges","R. Sellami; B. Defude",NA; NA,"NoSQL Data Models: Trends and Challenges","","2018","","","93","134","This chapter focuses on the existing solutions of the state of the art supporting Big Data integration in cloud environments. Optimization is the ‘holy grail’ of database management and, in the context of Big Data integration, it is clearly a major challenge. Choosing one or multiple data stores based on data requirements is a very important step before integrating heterogeneous data stores and deploying and running applications in a Cloud environment. Ruiz‐Alvarez proposes an automatic approach to selecting a cloud storage service according to the application requirements and the storage services capabilities. Object NoSQL Datastore Mapper (ONDM) is a framework aiming to facilitate persistent object storage and retrieval in NoSQL data stores. The chapter presents some substantial work proposing different unified data models to manage heterogeneous data integration. It analyzes how global queries are processed.","","9781119544135","10.1002/9781119528227.ch4","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075006.pdf&bkn=10074974&pdfType=chapter","","Big Data;Cloud computing;Data models;Data integration;Social networking (online);Sparks;IEEE Sections","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"NoSQL Languages and Systems","K. Nguy&#x1ec5;n",NA,"NoSQL Data Models: Trends and Challenges","","2018","","","1","20","This chapter discusses the current trends in research on not only SQL (NoSQL) languages and systems. It focuses on the language aspect of NoSQL systems, and highlights two main trends in French research that pertains to NoSQL languages and systems. The first trend aims to add support for well‐known, relational operations to NoSQL databases. The second trend of research is aimed at unifying NoSQL systems, in particular their query languages. Data processing operations generally consist of filtering, aggregation and grouping and exposing a MapReduce‐like interface. Most NoSQL databases do not support join operations, rather they rely on data denormalization to achieve similar results, at the cost of more storage usage and more maintenance effort. While relational databases started both from a formal foundation and solid implementations, NoSQL databases have developed rapidly as implementation artifacts.","","9781119544135","10.1002/9781119528227.ch1","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075047.pdf&bkn=10074974&pdfType=chapter","","Distributed databases;Data models;Big Data;Cloud computing;Market research;Java;Feeds","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
"List of Authors","",,"NoSQL Data Models: Trends and Challenges","","2018","","","245","246","","","9781119544135","10.1002/9781119528227.contrib","","https://ieeexplore.ieee.org/xpl/ebooks/bookPdfWithBanner.jsp?fileName=10075018.pdf&bkn=10074974&pdfType=chapter","","","","","","","","","","16 Mar 2023","","","Wiley","Wiley Data and Cybersecurity eBook Chapters"
