,question,Answer,upvoteCount,answerCount,followerCount,name
0,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years," ""50 years is a very long time. The way I make such predictions is by looking at technology that works in the lab today plus dreams that are achievable with a few scientific breakthroughs. Here are some ideas.\n\nLong distance travel will be by hyperloop or aircraft/rocket. Hyperloop is very efficient and fast, but limited to fixed routes. Earth- and space-bound craft will use similar propulsion (see below), and the main differences will be details like whether things are designed for low gravity.\n\nWe'll have autonomous personal multirotor aircraft (drones). We have the technology today but the energy costs are extreme.\n\nCheap clean energy changes everything and simply will happen. There are too many routes to it and everyone wants it (except the Saudis of course). Solar, thorium reactors, improved uranium reactors, and of course fusion could all play a role, especially in the next 30 years. But more likely some new technology will be invented. We know of plenty of ways to produce clean energy at planetary scale. We only need to figure out how to make them cheap.\n\nTravel to space will be somewhat routine thanks to a space elevator and/or nuclear rockets. Both technologies need one scientific breakthrough and then a bunch of engineering. The main problem will be that there isn't actually all that much reason for most people to go to space: science, tourism, satellite maintenance, perhaps a bit of asteroid mining. Humanity will launch the first interstellar probes and generally begin considering interstellar travel.\n\nThere will be a small colony on Mars similar to today's on Antarctica, mostly for research, and to satisfy the human desire to explore. You'll be able to visit, but the price will be incredible and few people will do so.\n\nAI will be roughly as smart as humans, and robots will do most of the jobs humans do today. Most things will be very cheap, but only high end engineers and artists will be able to find work. A basic income policy will have been introduced long before, and it will support most of the population. By 50 years from now this will seem perfectly normal. The few people who work will get benefits like waterfront homes and private resorts, along with extreme prestige. (This is the utopian version. I also have a dystopian version, but I'm in a good mood today.)\n\nEntertainment will be fully immersive. You won't be able to tell it's not real. You might even be able to erase the memory that you're in a program, so that you think you're really there. Maybe you're in a program right now and don't even know it. Say hi to the robots for me when you wake up."", """,348,UNKNOWN,UNKNOWN,UNKNOWN
1,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years," ""Faster elevators capable of moving sideways.\n\n"", """,3970,12202,8903,""": ""Richard Kenneth Eng"", ""url"": ""https://www.quora.com/profile/Richard-Kenneth-Eng""}, "
2,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years," ""Well, lucky for you, I just returned from 50 years in the future in my time machine\u2026\n\nArtificial Intelligence (or AI) will be massively improved. In fact, programming \u201cbots\u201d will almost completely eliminate the programming profession as we understand it today (coding in Java or Python or JavaScript or C++ or C# or Ruby). These languages will be as useful as Latin!\n\nSelf-driving cars will be everywhere. Only people like Jay Leno will still be driving cars just for fun or recreation. But not on the roads! Rather, they\u2019ll do it in private venues.\n\nThey\u2019ll even have self-flying aircraft. I\u2019ve seen it with my own eyes! Boeing and Airbus will be the largest manufacturers of self-flying airliners that seat 500 passengers. To be honest, that made me nervous.\n\nI saw the first instances of automonous police robots. They were scary as shit \u2018cuz these bipedal machines were armed with dual machine guns on a body turret! I brought back a photo on my smartphone:\n\nYeah, good times ahead."", """,4,1,0,""": ""Phillip Jensen"", ""url"": ""https://www.quora.com/profile/Phillip-Jensen-17""}, "
3,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years," ""the only answer I can give you is that in that time frame just think how much tech has upgraded in the last 20 years smart phones, smart TVs I truly have no idea what kind of tech we will have most likely I\u2019m can easily see that it\u2019ll be somewhere between cyberpunk and blade runner with a hint of minority report haha"", """,3,3871,970,""": ""Ernie Dunbar"", ""url"": ""https://www.quora.com/profile/Ernie-Dunbar-1""}, "
4,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years," ""I imagine I will be completely wrong.\n\nIf you asked this question of people in the 1960s or 1970s, not a single one would have any clue that I would be doing exactly what I'm doing right now: broadcasting my thoughts to everyone in the world, from a computer so small and light that it can fit in my pocket, while I sit on the bus. Moreover, that this activity would be so astonishingly normal that a full third of the other people on the bus are doing the exact same thing.\n\nThat\u2019s the thing with a technological singularity. There\u2019s no way to predict what will happen afterwards, from any point in time before that happens."", """,4,983,103,""": ""Steve Schaefer"", ""url"": ""https://www.quora.com/profile/Steve-Schaefer-3""}, "
5,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years," ""I believe we are fast approaching the peak of the current stage of technology and that we are about to descend into another \u201cDark Age\u201d of civil unrest. Fulled by the COVID Virus, the failure of Just in Time production philosophies, food & water shortages, failure of solar & wind power production, and the warming of our environment. Too many obstacles have piled up on the side of chaos to recover from in our lifetime - to recover from without a complete reset of humanity. While you may find this unlikely, think back to the hundreds of other civil actions that evolved and then quickly disappeared. Just like the ups and downs of the seasons, stock market, and populations - we are living at the peak of prosperity; looking down into the steep chasm of despair."", """,5,585,491,""": ""Frank Robertson"", ""url"": ""https://www.quora.com/profile/Frank-Robertson-27""}, "
6,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years," ""Well, the first question will be:\n\nHow will global warming have affected the world in 50 years? More land will be submerged, and desertified, so the net available and livable land for humans will have decreased.\n\nPopulation however will still have increased\n\n\nTechnologies we will see:\n\n * creation of many artificial islands (large and small) with many people living on it; this creates a whole new range of technologies:\n * \n * how to live off the water,\n * how to harvest food from water etc., etc \u2026\n * how to move fast, safely and cheaply from island to island and to shore\n\n * new sources of energy will emerge from new technologies and new equipment which will totally change the sceneries and what we see around us and on the horizon.\n * the volume of communications will explode; so will the number of satellites; the quantity of satellite debris will also explode and people will live under shields to protect themselves from falling space debris.\n\nOther new technologies will be new evolutions of current technologies:\n\n * cellular\n * artificial intelligence\n * intelligent objects\n * mass fabrication (meaning cost reduction and wide affordability)\n * miniaturisation\n * taylorisation\n * etc, etc, \u2026\nExamples are:\n\n * there will be some new form of teleportation - think of Star Trek \u201cBeam me up, Scotty\u201d - mostly through virtual reality equipment;\n * \n * this means that people will feel that they are elsewhere, with others, yet physically remain were they are.\n * work, family, entertainment: people will stay at home, yet will feel like they are living the experience - live - thousands of miles away.\n * doctors will operate remote, through local equipment that will perfectly relay the surgeons movements. This equipment will be shipped beforehand to the patient.\n * musicians will perform individually but the result will be a perfect orchestra, a perfect concert, where everyone stays at home.\n\n * This will reduce the actual amount of movement and travel. People are therefore going to \u201clive worldwide\u201d, while staying put in their house. This in turn will lead people to live in little independent pockets; these will become little independent political entities.\n * warfare will increase, but the weaponry will be totally different: all electronic. Electronic warfare will be able to spy on you, to remotely activate objects and equipment close to you, to manipulate you and people around you, etc etc \u2026\n * the smallest equipment around us will become electronically enabled, turning on and off according to pre-programmed artificial intelligence. Doors, windows, all your home equipment, even food will self-act, self-prepare and self-control and have a life on their own.\n * robots will become our new companions, much easier to handle because they will do exactly as we please.\n * medically, our bodies will be enhanced by implants of all kinds to give us strength or better impulses. People who have major accidents will survive better with other new implants.\nThese are just a few examples. You could go on, and on \u2026\n\nAll the best!\n\n\n%3E How can we imagine the world 50 years from now in terms of technology use?\n"", """,5,15330,2047,""": ""Doug Hilton"", ""url"": ""https://www.quora.com/profile/Doug-Hilton""}, "
7,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years," ""Nuclear fusion reactors. The cost of living declines by 25 percent. A four day work week becomes the norm.\n\nCancer vaccines eliminate all known forms of cancer. CRSPR gene editing eliminates all diseases.\n\nDirect brain interfaces with the Quantum Internet. All online knowledge is available by thought.\n\nThe average lifespan is 200 years. As a result, there are substantially fewer marriages and children.\n\nEvery household has a 3-D printer to make whatever is needed, including clothes and electronic equipment. Everything it makes can be reduced back to it basic materials, and recycled."", """,4,5,1,""": ""Michael Morse"", ""url"": ""https://www.quora.com/profile/Michael-Morse-133""}, "
8,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years," ""It is said that the bold predictions of futurists before the millennium have not come true. Smart robot servants or flying cars of the 2000s have not appeared as we saw in the famous animated sitcom \""The Jetsons\"" in the 1970s. However, recent technological developments show that we will be able to make predictions much more easily in the coming years. It is possible to say that these predictions will be true to a large extent.\n\nA group comprising of academicians and futurists in the U.K. have contemplated on what the world will be like 50 years later in 2069. This group prepared a report under the sponsorship of Samsung and shared its results. Here are 10 predictions for the future world:\n\nUnderground roads: Underground means of transport that are capable of traveling at the speed of sound will be developed. These roads established on the tube system will be linked to each other. For example, this tube system will connect the U.K. to Europe and carry people to Scandinavia in an hour.\n\nUnderground skyscrapers: These multistory buildings that will be built underground will be earthquake resistant and offer many living spaces like home, office, shopping centers and gyms.\n\nSelf-cleaning houses: When you are not at home or you are sleeping, technology will be developed that will clean the house via a button.\n\nSpace hotels: Journeys to the moon and other planets will be possible. These journeys will be performed with a system that will adapt to the gravity of each planet.\n\n3D organs: There will be no organ failure in the future. Organs that are 3D will be produced to change organs or make them function better.\n\nBug-burger takeaways: In the next 50 years, bugs will be the most important protein sources for people.\n\nFlying buses or cabs: It is known that air cabs will start serving some years later. High-power drone copters like flying buses will be an indispensable means of public transportation.\n\nBody implants: These implants will be used to learn how the health of our bodies is and to measure our body values. Moreover, they will work as translators.\n\n4D air sports: Air sports that can be performed on hoverboards will be found. These sports will present a 4D visual feast by bringing thousands of people together in stadiums.\n\nInteractive virtual reality films: You will find yourself in a film by wearing virtual reality (VR) clothing at home and experience the feeling of touch. This technology, which will allow all five senses to be engaged, giving you the feeling of a film or a video game.\n\nAdapting marketing strategies to artificial intelligence"", """,5,377,27,""": ""Georg Feneberg"", ""url"": ""https://www.quora.com/profile/Georg-Feneberg""}, "
9,https://www.quora.com/What-will-the-worlds-technology-be-like-in-50-years," ""A very slow and controlled evolution in order to maximize profits."", """,4,UNKNOWN,UNKNOWN,UNKNOWN
