,old_list,new_list,comments
-1,company solar cryptocurrency,solar cryptocurrency,
0,fusion nuclear plasma power reactors reactor fission fuel,fusion nuclear plasma power reactor fission fuel,
1,brain lobe body jess cells function parts driver dont,brain lobe body cells function parts driver,
2,50 super space computing,super space computing,
3,3d emerging printers printing list 10 reality ai trends,3d emerging printers printing reality ai trends,
4,iot internet things devices connected billion smart network home embedded,iot internet of things devices connected smart network home embedded,
5,following reasonable 2031 2068 vaguely thingsall bloga watching compare forecasting,,empty content
6,predictions cars electric cp group futurists true prototype,predictions cars electric cp_group futurists  prototype,
7,students communication issue letter cover business information,students communication issue  business information,
8,computers thisor desktops road 1969 20 wrist keyboard,computers desktops road wrist keyboard,
9,union economy china soviet economic high countries act,,irrelevant
10,ai programming cars selfflying artificial machine time robots learning,ai programming cars selfflying artificial machine time robots learning,
11,kaspersky future predict machines answer question emerging homes,"kaspersky future predict machines answer question emerging, homes",
12,start remember popular write culled okay europe december beginning think,start remember popular write beginning,
13,data home google mobile analytics pc business microsoft work companies,data home google mobile analytics pc business microsoft work companies,
14,civil door open humanity recover war dark failure house,,irrelevant
15,evolution editing usher bypass profits heart eliminates regardless laws,evolution editing bypass profits heart  laws,
16,finding jobs longterm development stream remote option best great client,jobs longterm development stream remote best great client,
17,biological capabilities human grow increase computer answeredby selfcoding chipsdisks racememory,capabilities human grow increase computer selfcoding racememory,
