,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,"Remind me again—General Fusion is the company trying to make a fusion reactor that rams a bunch of mechanical pistons into a ball of molten lead/lithium in the hopes that the shockwave will compress a tiny bubble of hydrogen to the point where fusion occurs, right?Well, I’ll give them this: that’s some seriously outside-the-box thinking.Indeed, it is so far outside the box it is outside the houseRemind me again—General Fusion is the company trying to make a fusion reactor that rams a bunch of mechanical pistons into a ball of molten lead/lithium in the hopes that the shockwave will compress a tiny bubble of hydrogen to the point where fusion occurs, right?Well, I’ll give them this: that’s some seriously outside-the-box thinking.Indeed, it is so far outside the box it is outside the house the box is in, outside the neighborhood the house is in, outside the city the neighborhood is in, and is well on its way to slipping the surly bonds of earth and heading out into deep space to join that Tesla Roadster currently winging its way along a highly elliptical Mars-crossing orbit. It’s so far outside the box that it can’t even remember what the box even looks like. It is box-free. Utterly unboxed. No box can contain this idea.It’s also completely barking mad.Is it possible that hydrodynamic shock through liquid metal might induce fusion? Well, err, um, sure, I guess.Is this reactor going to work? I’d place odd...","220,147 followers",Franklin Veaux,550,47.3K,779.4M,https://www.quora.com/What-do-you-think-about-General-Fusions-approach-to-a-viable-fusion-reactor
1,"I used to work on fusion simulation codes (particle in cell) with the US National Labs when I was at NVIDIA, and I was very interested in seeing if we could solve the problems with fusion and picked the scientist and engineers' brains endlessly. My former father-in-law also worked at Lawrence Berkeley Labs, and was an engineer designing superconducting coil magnets and had decades of experience working with fusion researchers, even though his primary application was particle accelerators. From having many long conversations with these very intelligent and qualified people I realized that thereI used to work on fusion simulation codes (particle in cell) with the US National Labs when I was at NVIDIA, and I was very interested in seeing if we could solve the problems with fusion and picked the scientist and engineers' brains endlessly. My former father-in-law also worked at Lawrence Berkeley Labs, and was an engineer designing superconducting coil magnets and had decades of experience working with fusion researchers, even though his primary application was particle accelerators. From having many long conversations with these very intelligent and qualified people I realized that there are some really hard problems that block practical fusion, with no immediate solutions in sight.The only place we know of working, large-scale, energy-generating fusion reactions is at the center of a star, where the gravity of the massive star creates the necessary density, temperature, and time being held in that state at the core for fusion reactions to run continuously. This is called the Lawson criteria, and is hard to achieve. All of the layers of the star above that act as an energy exchanger, converting all the gamma rays and fast neutrons at the core into progressively less energetic wavelengths of light and motion of nuclei (heat) so by the time they reach the surface of the star, that energy is emitted as IR and visible light that heats and powers our planet's biosphere, and can provide photovoltaic energy to us as well. All of our efforts in fusion have been to try and reproduce this process on earth, in a small reactor that can provide practical energy.First I will talk aboutThe first problem with magnetic confinement is fundamental - no matter how strong or well formed the magnetic field containing the plasma is, it will always leak, as positive nuclei or ions spiralling around the magnetic field lines collide and scatter, eventually drifting out of the containment field. The only known solution is to make the reactor larger so the scattering ions take longer to travel to the plasma boundary, and thus more fusion can happen during that time. Pretty brute force.The world's most advanced magnetic confinement fusion power plant is ITER, which, to reduce the ion scattering problem mentioned above, is 6-stories tall and about the same dimension in diameter, containing the mass of 3 Eiffel towers, and it is still not expected to be large enough to contain a plasma long enough to sustain burning and produce continuous energy generation.A more practical problem is how do we extract the energy? Most of the energy in deuterium-tritium fusion reactions is released in fast, high-energy neutrons, which (because they are neutral, and have no electric charge) are not confined by the magnetic field, don't heat up the plasma, and have to be stopped by a thick shield, which then heats up, and can vaporize water to steam in order to power turbines and electrical generators. The problem is the constant bombardment by neutrons makes the shield material degrade with time, and become very radioactive, posing a problem for removal and disposal.Also, deuterium-tritium fusion reactions are currently used because they take place at the lowest energies and at the lowest plasma temperatures of all the possible fusion fuels, and thus are easier to ignite and keep lit. However, tritium is not found naturally in any significant quantities and needs to be manufactured in nuclear reactors. With today's production capacity, we just cannot make enough tritium to power even ITER continuously. We could use better fuels, like Helium-3 or Boron-11, which do not emit neutrons and thus 'burn clean', but the plasma temperature must be much higher and the confinement much better to ignite fusion and sustain it with these fuels. And while Boron-11 is plentiful, Helium-3 is so rare that scientists think that the best source of it is lunar regolith that has been irradiated for billions of years on the moon's surface. Any energy generation infrastructure that requires a regular supply of a moon-based fuel, even as energy dense as He3, will probably never work out.A proposed solution to the Tritium deficit is to construct the shield surrounding the reactor with lithium, which is abundant, and fissions into tritium when struck by neutrons, thereby 'breeding' tritium within the reactor itself. Of course, this comes with its own set of problems of how to capture, purify, and contain the tritium after it is released into the tokamak reaction chamber from the walls.Another issue is that when all of the superconducting magnets in ITER are running at full current (160,000 amps) to create the 13 Tesla toroidal magnetic field (13x that in an MRI machine) and to create the other plasma-shaping and heating fields, they are storing 60 GigaJoules, or around 12 Tons of TNT worth of energy. This is because the 180 kilometers of superconducting Niobium-Tin wires in all these massive magnet coils can carry enormous electrical current when supercooled with liquid helium.More info on the ITER magnets:But, if that cooling fails, the superconductor heats up, quenches, and becomes a normal conductor, and can no longer carry that enormous current. With 160,000 amps suddenly meeting resistance, the coil rapidly vaporizes, and causes a meltdown of the other coils, with a total energy release of 12 tons of TNT. This is very undesirable, especially when those coils are wrapped around a highly radioactive shield that also vaporizes and is expelled into the atmosphere. There are fault-detection systems, but it takes a while to dissipate that amount of energy safely, and there may not be enough time to react quickly enough in the event of a catastrophic magnet coil failure.So, some gotchas left to solve for practical fusion energy generation with magnetic confinement, with some perhaps not so easily solved.Inertial confinement fusionIt also has many of the same problems with energy conversion to electricity, and much worse wear and tear on the shielding from these small nuclear fusion explosions being set off, which also trashes all the precision equipment needed to hold the fuel pellet in the focus of the converging laser beams with extreme accuracy. So, a lot of practical damage control problems before inertial confinement fusion is a practical source of energy generation.While these problems may be solved, practical application is still a very long way off, and currently the main application of inertial confinement fusion is as an experimental testbed for calibrating computer codes used to simulate and design thermonuclear fusion weapons. As horrific as these weapons may be, the simulation codes developed for designing them (sorry maintaining them), are the one of the greatest tools for innovation in fusion energy. There is a hydrodynamics code which simulates the behavior of the fissile (and fusion) materials under extreme conditions of pressure and temperature, as well as transport codes that model neutron transport and scattering in the materials under these conditions, and many other bits and bobs. They are all standard numerical techniques, and the really classified part is the integration and calibration of all these codes with previous nuclear weapon tests from the past, and with these small scale simulations in the present.Electrostatic Confinement FusionBasically you need a vacuum container the size of a basketball and a pump to empty it. You put a small spherical wire cage the size of a golf ball in the center, and a larger wire cage the size of a bowling ball around it. You then pump out all the air, and apply a very large (10,000V) electrical potential between the two cages, with the small negative cathode at the center, and the positive anode at the periphery.Then you open a valve and let in a very small amount of Deuterium gas (commercially available) into the vacuum chamber, and it ionizes in the large voltage potential, the D+ ions in the periphery experience a very strong electric field (100K V/m), and are rapidly accelerated towards the center of the reactor, with enough energy to collide and fuse the deuterium nuclei (no tritium required). This fusion can be measured with an external neutron counter.Theoretically, power generation would be simple, as the fusion products consisting of highly energetic He3 and (few) H3 ions could be decelerated in an electric field and the current from that used to generate electricity directly.Here is ECG Herman’s excellent thesis paper on designing and constructing a Farnsworth Fusor:Although they seem like a obvious winners due to their simplicity and effectiveness, ECF reactors have several things limiting scaling:a) There is a limit to the deuterium gas density before performance degrades, so generation capacity is limited.b) Deuterium ions tend to collide with the wire cage cathode in the center, which absorbs them, heating the cage, and causing energy loss and contamination from metal atoms being dislodged.c) As the deuterium ions oscillate back and forth through the center, each time they change direction, they emit bremsstrahlung radiation, or photons of light, losing energy (this is how your dentist’s x-ray machine works).d) Scattering tends to reduce the nice, radial trajectories of the ions into a Maxwellian distribution over time, reducing the fusion that occurs.There has been work in using electromagnets at the periphery to try and hold a ball of electrons in the center, eliminating the need for a central cage… akaThermonuclear WeaponsIn the Teller-Ulam, two-stage, thermonuclear weapon, a spherical plutonium fission primary (with deuterium-tritium fusion fuel at the core to boost it) is imploded by conventional explosives, the plutonium is crushed far beyond critical density, fissions and detonates. The initial radiation released is contained and focused onto the fusion secondary to implode it, ignite fusion, and detonate it. I just mention this to illustrate the enormous energy needed to really reach the Lawson criteria in a large scale, but nuclear weapons kind of freak me out, so I'm going to refer you to the link to the Wikipedia article about them if you want to read more:Thermonuclear weapon - WikipediaSo, in summary, we should not shut down or stop building today's fission nuclear reactors, as commercial fusion reactors are not only far in the future, but also produce radioactive waste (their shielding, which needs to be periodically replaced), and Tokamaks can melt down catastrophically and explode if there is a cooling failure in the magnet coils during full power operation. They also do not run on seawater, like some say. We need expensive and difficult to produce tritium (which is also radioactive) to ignite fusion at the temperatures and densities that today's tokamak magnetic fields can produce.To advance fusion energy in your career, I think the best fields to study would be physics (classical, electrodynamics, plasma, quantum, nuclear…) and computer science, with a focus on numerical simulation. The actual physical fusion reactors are so expensive and time-consuming to build, test, and operate, that you may only get to iterate designs once or twice in a career, but computer simulations can take us in so many different directions more cheaply and easily by comparison.Perhaps there is some exotic stellarator magnetic confinement design, or advanced Farnsworth electrostatic confinement design that has not been explored in depth, that will turn out to hold the key to fusion energy. Simulation is probably the best first step to find it, unless you have a few billion dollars and several hundred kilometers of Niobium-Tin wire and helium cooling tubing to play with.Brent","3,657 followers",Brent Oster,3.6K,357,1.8M,https://www.quora.com/What-do-you-think-about-General-Fusions-approach-to-a-viable-fusion-reactor
2,"He produced a fusion reactor - that is, on in which it can be proved that fusion occurred. But not one which output more energy than it consumed, by many orders of magnitude. Producing some level of fusion has been done for decades. The problem is not causing fusion, but causing enough of it in a contained way so that energy can be extracted without destroying the environment.Your question is rather like “I can buy a fireworks rocket for $20. Why does SpaceX’s launcher cost $60 million?”","220,147 followers",Franklin Veaux,3.2K,47.3K,779.4M,https://www.quora.com/What-do-you-think-about-General-Fusions-approach-to-a-viable-fusion-reactor
3,"We do not have an answer to your question yet. A couple of points:This machine has gotten fusion. It fits in a bedroom. It costs a few thousand dollars. It can run nearly continuously. It was built by two 17 year old kids.We do not have an answer to your question yet. A couple of points:This machine has gotten fusion. It fits in a bedroom. It costs a few thousand dollars. It can run nearly continuously. It was built by two 17 year old kids.Ultimately, inIn 1957, a British man name John Lawson published the energy balance for a plasma-based fusion machine.To get net -I blog about fusion, here on Quora and on my blog (www.thepolywellblog.com). I am also working on a podcast about fusion research (www.thefusionpodcast.com).Hope that helps!",0 followers,John Holmes,814,1.2K,777K,https://www.quora.com/What-do-you-think-about-General-Fusions-approach-to-a-viable-fusion-reactor
4,"Because the waste stays putMy graduation ring is responsible for 1–7 tons of toxic wasteFirst: you produce toxic wasteMy gold graduation ring weighs 10 grams at 18K gold. A good quality gold mine is said to be one where you “only” need 100 kg of ore to make 1 gram of gold. The rest of the rock that you got from the ground is wasteBecause the waste stays putMy graduation ring is responsible for 1–7 tons of toxic wasteFirst: you produce toxic wasteMy gold graduation ring weighs 10 grams at 18K gold. A good quality gold mine is said to be one where you “only” need 100 kg of ore to make 1 gram of gold. The rest of the rock that you got from the ground is waste. Toxic waste.So you produce everlasting toxic waste every day, and that never fazed you. So it strikes me as insincere that for nuclear power, waste is suddenly a showstopper and something one must consider “dirty” compared to other industry that sustains us.Second, that nuclear waste is minuscule compared to what you get out of it. The amount of nuclear fuel you need to power you with electricity for your entire lifeMe holding nuclear fuel the equivalent of nearly a ton of oilThird, the solution on what to do with nuclear waste, has been known since the 1970s. You can read more about that inSo to conclude: no, nuclear is notBut nuclear power is cleanEDIT: People seem incredulous that mining waste is toxic. “It is just rock” is a comment that is frequently posted.But","3,404 followers",Michael Karnerfors,7K,4.6K,9.2M,https://www.quora.com/What-do-you-think-about-General-Fusions-approach-to-a-viable-fusion-reactor
5,"The Egyptians built pyramids that have endured for more than 4,000 years using stone and copper tools.The notion that we can’t design and build safe and secure repositories for relatively trivial amounts of nuclear waste is preposterous.",0 followers,Joey Ortiz,17.5K,674,1.3M,https://www.quora.com/What-do-you-think-about-General-Fusions-approach-to-a-viable-fusion-reactor
6,"A 1000 MW nuclear power plant, which can meet the power demand of over a million people, only produces three cubic metres of high-level radioactive discharges a year. So is this material ""waste""? Absolutely not. Ninety-five percent of a spent fuel rod is plain old U-238, the non fissionable variety that exists in granite tabletops, stone buildings and the coal burned in coal plants to generate electricity. Uranium-238 is 1% of the earth's crust. It could be put right back in the ground where it came from.Of the remaining 5% of a rod, one-fifth is fissionable U-235 -- which can be recycled as fA 1000 MW nuclear power plant, which can meet the power demand of over a million people, only produces three cubic metres of high-level radioactive discharges a year. So is this material ""waste""? Absolutely not. Ninety-five percent of a spent fuel rod is plain old U-238, the non fissionable variety that exists in granite tabletops, stone buildings and the coal burned in coal plants to generate electricity. Uranium-238 is 1% of the earth's crust. It could be put right back in the ground where it came from.Of the remaining 5% of a rod, one-fifth is fissionable U-235 -- which can be recycled as fuel. Another one-fifth is plutonium, also recyclable as fuel. Much of the remaining three-fifths has important uses as medical and industrial isotopes. Forty percent of all medical diagnostic procedures in this country now involve some form of radioactive isotope, and nuclear medicine is a $4 billion business.What remains after all this material has been extracted from spent fuel rods are some isotopes for which no important uses have yet been found, but which can be stored for future retrieval. France, which completely reprocesses its recyclable material, stores all the unused remains from almost 50 years of generating 75% of its electricity from nuclear energy beneath the floor of a single room at La Hague.","3,404 followers",Michael Karnerfors,9.7K,4.6K,9.2M,https://www.quora.com/What-do-you-think-about-General-Fusions-approach-to-a-viable-fusion-reactor
7,"Perhaps we should scatter the “wastes” back from where their predecessor element had been mined, to restore the radioactivity that had been reduced by mining their predecessor element.But then you would object to that. So it’s your fault they are dirty, because you wouldn’t let us restore the radioactivity from whence it came.","105,625 followers",Dave Consiglio,4.4K,6.8K,91.4M,https://www.quora.com/What-do-you-think-about-General-Fusions-approach-to-a-viable-fusion-reactor
8,"Nuclear a Fusion, the holy grail of Nuclear power. Let me give you some examples:-Nuclear Fission fuel, spent rods, etc are highly dangerous and Highly radioactive-Nuclear Fusion produces Helium as waste-If a core break happens with a fission reactor you get a catastrophic break resulting in poisonous contamination over miles and miles and takes many years to become save-If a core breaks in a fusion reactor, the magnetic field holding the plasma in place weakens, the fuel cools down and reverts to hydrogen-Mining and processing Uranium involve tearing up the environment and using dangerous danNuclear a Fusion, the holy grail of Nuclear power. Let me give you some examples:-Nuclear Fission fuel, spent rods, etc are highly dangerous and Highly radioactive-Nuclear Fusion produces Helium as waste-If a core break happens with a fission reactor you get a catastrophic break resulting in poisonous contamination over miles and miles and takes many years to become save-If a core breaks in a fusion reactor, the magnetic field holding the plasma in place weakens, the fuel cools down and reverts to hydrogen-Mining and processing Uranium involve tearing up the environment and using dangerous dangerous chemicals-finding fuel for Nuclear Fusion is far from hard. Hydrogen is the most abundant element on Earth. We could pull it from sea water, but the amount needed would be so low it wouldn’t effect the sea level","29,752 followers",Tomaž Vargazon,6.8K,7.6K,248.6M,https://www.quora.com/How-can-nuclear-energy-be-clean-when-it-comes-with-waste-that-is-radioactive-for-centuries
9,"I think that Cleanliness is a relative word. For example The t shirt is more clean than that shirt. So same is applicable in case of nuclear energy. Nuclear energy is not zero toxic producing, only the thing is that it produces less waste than other sources or it produces the waste which can be Handled or can be reused.",32 followers,Don Bishop,626,1.1K,1.3M,https://www.quora.com/How-can-nuclear-energy-be-clean-when-it-comes-with-waste-that-is-radioactive-for-centuries
