,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,"I'm going to just answer with regards to magnetic confinement fusion and not address inertial confinement.Fusing light nuclei requires the nuclei to have a tremendous amount of energy to overcome their repellant Coulomb forces (since both nuclei are positive). Stars are able to do this by a combination of very high temperatures (to give the nuclei kinetic energy) and very high pressures (to push the nuclei close enough they will collide). It is very difficult to create these pressures on earth because we don't have the gravitational mass that a star has so we have to compensate by increasingI'm going to just answer with regards to magnetic confinement fusion and not address inertial confinement.Fusing light nuclei requires the nuclei to have a tremendous amount of energy to overcome their repellant Coulomb forces (since both nuclei are positive). Stars are able to do this by a combination of very high temperatures (to give the nuclei kinetic energy) and very high pressures (to push the nuclei close enough they will collide). It is very difficult to create these pressures on earth because we don't have the gravitational mass that a star has so we have to compensate by increasing the temperature even higher and doing what we can to confine the nuclei (magnetic confinement) so they collide. Raising the temperature this high requires a tremendous amount of energy and powering the confinement system does too. We can do it, but we haven't sustained it long enough for it to power itself (called breakeven -- where we are getting as much energy out as we are putting into it). Once we can achieve breakeven, the fusion reactor will then be able to power itself. Naturally though, even when this occurs, you basically have a little star on earth that has to be confined by actual materials instead of gravity, especially the supercooled electromagnets so that presents all sorts of engineering issues. The electromagnets keep the plasma from touching the walls of the container but again, once you start generating enough heat from the fusion energy dissipating, you have to get that heat out of there extremely quickly or else the temperature of the supercooled electromagnets increases which decrease the magnetic permeability -- weakening the magnetic field -- and thereby decreases the pressure... so then you stop fusing.","220,150 followers",Franklin Veaux,3.2K,47.3K,779.4M,https://www.quora.com/Why-can-we-not-get-Nuclear-Fusion-to-work-effectively
1,"We can get fusion1. 1951 greenhouse test: first man made fusion device2. 1958' Scyalla II: first controlled fusion device3. 1968 Russian T3: the first stable fusion reaction4. 1974 Kip Siegel: first laser induced fusion event5. 1991 JET has the first controlled release of fusion power6. 1999 Richard Hull fuses the atom in his garage.You prove your doing fusion by detecting neutrons.  The simplest way is with a bubble chamber.  Below are some of the approaches we have fused with:MagnWe can get fusion1. 1951 greenhouse test: first man made fusion device2. 1958' Scyalla II: first controlled fusion device3. 1968 Russian T3: the first stable fusion reaction4. 1974 Kip Siegel: first laser induced fusion event5. 1991 JET has the first controlled release of fusion power6. 1999 Richard Hull fuses the atom in his garage.You prove your doing fusion by detecting neutrons.  The simplest way is with a bubble chamber.  Below are some of the approaches we have fused with:Magnetic Confinement Fusion (MCF):1.  Tokamak2. Spherical Tokamaks3.  Stellarators4.  Levitated Dipole Experiment (LDX)5.  Magnetic mirrors6.  Cusped Geometries7.  Reversed field pinchQuasi-Stable Structures:8.  Field-reversed configurationInertial Confinement Fusion (ICF):9.  Direct drive ICF10.  Fast ignition ICF11.  Indirect ICF12.  Heavy Ion Beams ICFPinches:13.  Z-Pinch14.  Theta-Pinch15.  Fusors16.  POPS17.  Penning Traps18.  BeamsHybrids:19.  Magnetized target fusion (Field Reverse Configuration and ICF)20.  Magnetized Liner Inertial Fusion (Theta Pinch and ICF)21.  Magneto-inertial fusion (Short Lived Magnetic Fields and ICF)22.  Polywell (Cusped Geometries and IEC)23.  Dynomak24.  Screw Pinch (Theta Pinch and Z Pinch)We can do fusion.There are even Fusion startups:General FusionsTri Alpha EnergyLockheed MartinWhat we have not done yet: is get more energy out, than inWhat we have not done yet: is get more energy out, than inWe have not beaten the energy balance and nor have we achieved net power.This would beAll plasma based fusion follows the following energy balance:Fusion researchers have focused a huge amount of time and energyBut there are interesting and unexplored technologies and methods for each part of this energy balance.  I cover a few below, take from myReducing Conduction:Conduction is the loss of mass.  The electrons and ions escape when they touch surfaces.  Energy leaves with this mass.  Conduction losses kill Fusors.  Fortunately, we can steer the ions and electrons.  Like cars on a highway, they will follow electric and magnetic field lines.  Hence any solution, cannot have fields that run into surfaces (high re circulation).  The Polywell is a fusor variant which follows this rule.  Tokamaks, the levitating dipole, spheromaks and stellarators all reduce conduction in the same way.  But, sharply curving fields are not perfect.  Plasma will drift outwards in a curved field.  This flings it against the walls [68].  This could be reduced by lowering the overall temperature [49, page 43].  The polywell and biconic cusp may also lose mass by scattering it through the center [52].Reducing Radiation:Radiation is the loss of energy.  Plenty of energy leaves the cloud as light.  Radiation includes visible, x-ray, infrared and ultraviolet.  When electrons are packed densely enough, they will reabsorb this energy [17].  This is why lead can absorb x-rays [53].  In plasmas, this critical density is difficult to reach.  The x-rays may also be reflected off the chamber walls [54].  However, the plasma may not be dense enough to reabsorb the reflected light [17].There (may) also be opportunities to tune the plasma.   Though thermalized bell curves are the most common plasma system, non-thermal plasma do exist and no one really knows how long they could be trapped for.  The plasma trap is inexorably connected to the energy distribution of the plasma inside it - and this really drives the radiation losses.  The hypothetical, ideal distribution for the polywell is shown below.Raising Efficiency:Efficiency may be the most unexplored concept in fusion.  Efficiency means changing the input and output energies.  Few groups explore lowering the input power.  The NIF system is horribly inefficient.  For every unit of laser energy, about 200 times that amount in electrical energy is used [69].  In response, the naval research labs have designed a 7% efficient laser.  However, without ignition this will not matter [70].Increasing output power means finding better ways to capture the energy.  Three methods have been purposed.  The first is using the neutrons from fusion to recharge fission material [71].  This seems unlikely for cost effectiveness.  It may be a good commercial application for fusors.  The second is using heat to capture the energy.  This method is valid for deuterium and deuterium tritium fuel and will have a typical power plant efficiency.  The last method is using direct conversion to capture the energy.Direct Conversion:Direct conversion uses a charged particles’ motion to make a voltage.  This voltage drives electricity in a wire.  This becomes the electrical power.  People usually see this process in reverse.  Ordinarily, a voltage puts a particle in motion.  Direct conversion does the opposite. It has been described is a linear accelerator running backwards [90].  William Barr deserves a share of credit for demonstrating direct conversion.  Over ten years he developed experimental and theoretical systems to prove this concept.  Dr. Barr retired from Livermore and passed away in 2004 [72].Material from a fusion reactor has positive ions, negative electrons and neutrals.  The exhaust comes in as random gas.  The converter has to beat this stuff into submission and extract energy from it.  The basic design is shown here [74, 75, 76].Bottom line: there are LOTS of good fusion ideas out there, and LOTS of unexplored approaches.  But, without the funding or manpower we will never know if they will amount to a commercially viable net power reactor.Citations:69.  Moses, Edward I. ""The National Ignition Facility: Exploring ICF Burning Plasmas In the Laboratory."" Presentation to the American Association for the Advancement of Science. Washington DC. 18 Feb. 2005. Slide 29.  Lecture.70.  The United States of America. The Naval Research Laboratory. Plasma Physics Division. Electra: A Krypton Fluoride Laser For Fusion Energy. By John Sethian and M. Friedman. Washington DC: NRL, 2002. Print.71.  Greenspan, E. ""Fusion-Fission Hybrid Reactors."" Advances in Nuclear Science and Technology 16.1984 (1984): 289-515. Springer Link. Web. 4 Apr. 2013. .72.  Morris, Jeff. ""In Memoriam."" (n.d.): n. pag. Rpt. in Newsline. 19th ed. Vol. 29. Livermore: Lawrence Livermore National Laboratory, 2004. 2. Print.73.  Baver, D. A. ""An Energy Recovering Diverter Based on Amplification of Alfven Waves."" Plasma Physics and Controlled Fusion (n.d.): n. pag. Lodestar Research Corporation, Boulder Colorado 80301. Web. 5 Apr. 2013. .74.  Moir, R., and William Barr. ""Venetian-Blind Direct Energy Converter for Fusion Reactors."" Nuclear Fusion 13 (1973): 35-46. Print.75.  Barr, William, and R. Moir. ""Experimental Results from a Beam Direct Converter at 100 KeV."" Journal of Fusion Energy 2.2 (1982): 131-43. Print.76.  Barr, William, and Ralph Moir. ""Test Results on Plasma Direct Converters."" Nuclear Technology/Fusion 3 (1983): 98-111. Print.77.  Katayama, Hideaki. ""Direct Energy Conversion for D-3He Reactor."" Transactions of Fusion Technology 27 (1995): 563-66. Print.78.  Rosenbluth, Marshall. ""Generic Issues for Direct Conversion of Fusion Energy from Alternative Fuels."" Plasma Physics and Controlled Fusion 36 (1994): 1255-268. Print.79.  Moore, Fred. ""Homebrew Newsletter” Issue One. The Homebrew Computer Club 1 (15 Mar. 1975): n. page 1. Print. Moore, Fred.17.   Atzeni, Stefano, and Jürgen Meyer-ter-Vehn. The Physics of Inertial Fusion: Beam Plasma Interaction, Hydrodynamics, Hot Dense Matter. Oxford: Clarendon, 2004. Print.54.  Shvyd'ko, Yuri, and Stanislav Stoupin. ""Near-100% Bragg Reflectivity of X-rays."" Nature Photonics Letters 5 (2011): 539-42. Web. 20 Aug. 2012.49.  Chen, Francis F. Plasma Physics and Controlled Fusion. 2nd ed. New York: Springer, 2006. Print.",UNKNOWN,Viktor T. Toth,1.8K,8.6K,115.1M,https://www.quora.com/Why-can-we-not-get-Nuclear-Fusion-to-work-effectively
2,"A long time ago. You can, if you’re a reasonably good mechanic and you’re careful, do it in your garage.Build a Fusion Reactor [ https://www.instructables.com/id/Build-A-Fusion-Reactor/ ]The problem is they run at net negative power: you have to put more energy in to keep the reaction confined than you get out.If you’re asking about fusion power, that’s an entirely different kettle of fish. We donA long time ago. You can, if you’re a reasonably good mechanic and you’re careful, do it in your garage.Build a Fusion Reactor [ https://www.instructables.com/id/Build-A-Fusion-Reactor/ ]The problem is they run at net negative power: you have to put more energy in to keep the reaction confined than you get out.If you’re asking about fusion power, that’s an entirely different kettle of fish. We don’t yet know h...","3,657 followers",Brent Oster,3.6K,357,1.8M,https://www.quora.com/Why-can-we-not-get-Nuclear-Fusion-to-work-effectively
3,"Been in fusion for ~10 years…. in November of 2014, I did a detailed survey ofIn terms ofIn terms of international fusion funding, I do not have the numbers. Fusion funding in Europe is good (mainly through the EU and Britain). Finally, I was at a fusioBeen in fusion for ~10 years…. in November of 2014, I did a detailed survey ofIn terms ofIn terms of international fusion funding, I do not have the numbers. Fusion funding in Europe is good (mainly through the EU and Britain). Finally, I was at a fusion conference in DC in December and saw that China is making a renewed push into fusion and fission. Specifically, I saw a speaker from a new institute called INEST which was part of theBelow is every approach to fusion power, I know about, explained, shamelessly stolen fromLaser Fusion:This is using laser (or particle beams) to squash a pellet of fusion fuel like frozen isotopes of hydrogen. Here are the basic steps:So this is obviously a short time frame (hundreds of picoseconds). There are also “plays” off of these different approaches, including:B.E.Pinches:Pinches were the first ever man-made controlled fusion devices - i.e. not an atomic bombBasically (in the Theta Pinch) you apply a voltage across a low pressure plasma. A spark crosses the gap, making a magnetic field that compresses the plasma.Here are your variations on the concept:A.B.D.E.F.G.Magnetic Confinement:A. Tokamak:The major problem with looping plasma is the scattering effects. Material bounces off one another – most of the collisions not leading to fusion – and the scattering sends material into the wall. Different machines try to mitigate plasma scattering by shaping the magnetic geometry.B.C. Stellorator:D.D.F.Inertial Electrostatic ConfinementThis concept uses an electric field to heat ions to fusion conditions. The most basic IEC device is the fusor. This is how they work.A.Fusors are - by far and away - the simplest, cheapest, smallest and easiest to build fusion devices in the world – no contest. Teenage kids can build them for a few thousands of dollars in their garages. They can run for thousands of hours continuously. Over 75 amateurs in North America have fused the atom with these machines. We have had reports of amateurs reaching 1E11 neutrons per second on a 100 watts of power using a fusor.C.Other Approaches:A.B.D. Lockheed Martin/Compact Fusion Reactor/Cusp Containment:",2 followers,Richard Muller,1.7K,2.3K,201.9M,https://www.quora.com/Why-can-we-not-get-Nuclear-Fusion-to-work-effectively
4,"There is not a great deal of evidence or documentation that has come down to us in the present day concerning “Die Glocke” (aka “The Nazi Bell”) but there are some intriguing bits and pieces.Igor Witkowski’s writing is still the most often cited source for information about Die Glocke, though others (including QuoranSS-Gruppenführer und Generalleutnant der Polizei Jakob SpoThere is not a great deal of evidence or documentation that has come down to us in the present day concerning “Die Glocke” (aka “The Nazi Bell”) but there are some intriguing bits and pieces.Igor Witkowski’s writing is still the most often cited source for information about Die Glocke, though others (including QuoranSS-Gruppenführer und Generalleutnant der Polizei Jakob SporrenbergWWII SS General Jakob Sporrenberg“Igor Witkowski on the Die Glocke”, a YouTube Video Courtesy of YouTube User Manxboz.Sporrenberg’s testimony was recorded by his interrogators prior to his execution by hanging (for war crimes) in 1952. Witkowski states that he was given access to the transcript of Sporrenberg’s statements by an unidentified present day Polish intelligence officer, and that he was allowed to take some notes but not to copy the original papers. To my knowledge he has never disclosed the identity of his contact in Poland’s spy agency.A number of postwar writers, particularly Joseph Farrell and Henry Stevens, have speculated that The Bell had something to do with Nazi interest in anti-gravity, as did Witkowski himself. The WWII German scientific enterprise was in fact interested in exotic concepts such as anti-gravity and zero point energy, but it is unlikely that Die Glocke had anything to do with these, at least not directly or specifically. (Note that of the two, zero point energy research was much the more legitimate and comprehensive effort, and was directly related to other German work in the fields of quantum mechanics, extreme cold, and superdense elements. Explorations of ZPE continue today.Rather, there is fragmentary but fairly consistent evidence pointing to The Bell as a kind of alternate technology for the breeding of fissile elements for use in nuclear weapons—specifically, that it was an early attempt at building what is today known as an “accelerator driven system” or ADS.Computer Graphic Image of the Likely Appearance of “Die Glocke”.Accelerator-driven subcritical reactor - WikipediaAccelerator-driven Nuclear EnergyThis device was said to have been nicknamed “the beehive” because it produced a loud buzzing sound when in operation. It was also claimed that both human and animal tissues would suffer catastrophic damage if in close proximity to the machine while it was running. This would be consistent with the presence of extremely powerful electromagnetic fields and related phenomena.Keep in mind that nearly the entire late war, underground German secret weapons empire was the domain of the SS and supervised by Sporrenberg’s superior, the notorious General Ing (Engineer) Hans Kammler. Of all the WWII NaziGunson believes, and I concur, that the German approach from this end of their nuclear weapons effort may have employed a technology known as “recoil based fuel breeding”. The extract of the 2008 paper, “Recoil Based Fuel Breeding Fuel Structure” by Liviu Popa-Simil states:In nuclear reactors, the use of nano-particulate pellets could facilitate the recoil implantation for breeding, transmutation and partitioning purposes. Using enriched 238U or 232Th leads to 239Pu and 233U production while using other actinides as 240Pu, 241Am etc. leads to actinide burning. When such a lattice is immersed into a radiation resistant fluid (water, methanol, etc.), the recoiled product is transferred into the flowing fluid and removed from the hot area using a concentrator/purifier, preventing the occurrence of secondary transmutation reactions.https://www.researchgate.net/publication/231955480_Recoil_Based_Fuel_Breeding_Fuel_StructureNazi Bell UncoveredThe Bell is believed to have utilized extraordinarily high voltage electrical currents which may have converted thorium-232 into the fourth state of matter—plasma—and then transmuted it into very pure, weapons grade uranium-233, perhaps with the help of a mysterious substance (red mercury?) code-named “Xerum 525”. Although Popa-Simil’s paper is talking about recoil based fuel breeding in (presumably—) conventional modern nuclear reactors, as far as I know it is possible that the same or similar process could also have worked via plasma physics. In addition, another, more recent paper mentions a number of concepts and substances related to the thorium fuel cycle in certain types of reactors, and which are known to have been explored, though perhaps in different contexts and from different starting points, by the Germans in WWII. The abstract for this document states:Thorium is a fertile element that can be applied in the conceptual blanket design of a fusion-fission hybrid energy reactor, in which 232Th is mainly used to breed 233U by capture reaction. It is essential to validate 232Th nuclear data by carrying out integral fusion neutronics experiments for macroscopic thorium assemblies. The thorium assemblies with a D-T fusion neutron source consist of a polyethylene shell, depleted uranium shell, and thorium oxide cylinder.From the 2018 paper, “Fusion Neutronics Experiments for Thorium Assemblies”, By Rong Liu.“D-T” is physics shorthand for “deuterium - tritium”, substances commonly used in various types of thermonuclear weapons. At least some WWII German research and development was certainly moving in this direction. The Germans are also known to have been interested in thorium as bomb fuel by way of the thorium to proactinium to U-233 decay chain.William Pellas's answer to How close did Nazi Germany come to creating an operational nuclear weapon during WWII? Would they have been able to use it on their V2 rockets?If we allow for the possibility that certain superdense elements or substances can serve as triggers for fusion bombs—as is claimed in some sources—then it may be that the purpose of the Bell was to make Xerum 525 itself. In any case it seems most likely that the mysterious NaziCherry red and very dangerousA Suggested Schematic for a Red Mercury Fusion Bomb. This Type of Weapon May Have Been Pursued by WWII German Nuclear Scientists.Witkowski states in the video above that Walter Gerlach—who was definitely one of the greatest German scientists of that era—was the main theoretical scientist who was working on Die Glocke. The infamous Austrian scientist Ronald Richter was also said to have been involved with The Bell, which would seem to point to an attempt at utilizing some kind of exotic approach to nuclear fusion involving extremely high temperatures. Plasma physics would be a natural offshoot of this sort of methodology. It is known that both Gerlach and Richter were major figures in the German Army’s clandestine nuclear weapons project, which was run through theRonald Richter, Genius or Nut?More on the Value of Ronald Richter’s WorkFusion EnergyIcarus Interstellar, Interstellar flight, | Icarus InterstellarThe Huemul ProjectDr. Freidwardt WinterbergDr. Ronald RichterSources vary as to whether one or perhaps as many as four “Bells” were completed. One was allegedly airlifted to Argentina at war’s end, and it is claimed that this is confirmed by declassified Argentine documents—though others say no such documents exist.Again, there are tantalizing traces, hints, and documentary fragments, but definitive answers as to The Bell’s purpose are still elusive and firm conclusions are not possible given the sparse testimony in the historical record which has come to light thus far. There is always hope, particularly in Eastern European archival sources, that additional evidence may yet be uncovered.",0 followers,Molly Toews,29.8K,0,0,https://www.quora.com/Why-can-we-not-get-Nuclear-Fusion-to-work-effectively
5,"I heard of Die Glocke (The Bell) anti-gravity and free energy type vehicle. This was a prank or hoax that started in Poland about 20 years ago by a journalist. It was suppose to be made of heavy metal and with two counter-rotating rings, and it was shaped like a bell. This journalist claim to have knowledge of this Nazi secret weapon. This falls under the secret Nazi bases in Antarctica type stuff.",166 followers,Booker Wilde,1.2K,0,0,https://www.quora.com/Why-can-we-not-get-Nuclear-Fusion-to-work-effectively
6,"The STG/MP 44, as the worlds first true assault rifle it bridged the gap between the sub/light machine gun and the rifles used at the time.If introduced when originally developed in 1942/43 I believe it would've given the Germans an unparalleled advantage over almost every allied force around at the time, unfortunately for the Axis powers Hitler was to wrapped up in the previous wars tactics and only backed the MP42 as a viable replacement/counterpart to the MP38.It was not until mid/late 44 that Adolf changed his mind after reciving a report from a General regarding a tremendous success askinThe STG/MP 44, as the worlds first true assault rifle it bridged the gap between the sub/light machine gun and the rifles used at the time.If introduced when originally developed in 1942/43 I believe it would've given the Germans an unparalleled advantage over almost every allied force around at the time, unfortunately for the Axis powers Hitler was to wrapped up in the previous wars tactics and only backed the MP42 as a viable replacement/counterpart to the MP38.It was not until mid/late 44 that Adolf changed his mind after reciving a report from a General regarding a tremendous success asking for more of these weapons.Side note: this weapon system only had the designation MP44 to not be noticed by Nazi high command as the MP was the designation for sub machine guns not this new type of weapon, the soldiers knew it was huge advance in tech and would be hugely successful but thanks to backwards thinking it took too long to make any real difference.STG44","1,542 followers",Willard Foxton,7.6K,142,4.9M,https://www.quora.com/Why-can-we-not-get-Nuclear-Fusion-to-work-effectively
7,"Which Wunderwaffe, specifically did you have in mind? The atom bomb?, No, wait, that was the Yanks? Loran? Sorry, wrong, Yanks again? Omega? Anglo-Americans. The multicavity magnetron? Oops, no, not the bloody Yanks, the Brits. Bletchley Park. Damned! Brits again? Radar fuzed artillery. Yanks. Radar proximality fuzed AAA? Yup, Yanks. Airborne sea search radar? Brits. SCR-584 radar guided AAA gun? Yanks.The V-waffen? R. V. Jones, the director of scientific intelligence for the RAF, who was given credit for “bending the beam” and correctly identified the V2 from aerial surveillance photographs,Which Wunderwaffe, specifically did you have in mind? The atom bomb?, No, wait, that was the Yanks? Loran? Sorry, wrong, Yanks again? Omega? Anglo-Americans. The multicavity magnetron? Oops, no, not the bloody Yanks, the Brits. Bletchley Park. Damned! Brits again? Radar fuzed artillery. Yanks. Radar proximality fuzed AAA? Yup, Yanks. Airborne sea search radar? Brits. SCR-584 radar guided AAA gun? Yanks.The V-waffen? R. V. Jones, the director of scientific intelligence for the RAF, who was given credit for “bending the beam” and correctly identified the V2 from aerial surveillance photographs, and predicted to within a week when they would be deployed, said after the war, the question among Allied intelligence services about the V2 wasn’t “How did they do it?” but rather, “Why?” The Germans spent more money on the militarily worthless V-waffen than the Americans did on the Manhattan project. “Wunderwaffe” were mostly propaganda, not decisive war winning weapons.","1,855 followers",Kenneth Reese,1.7K,772,12.7M,https://www.quora.com/Why-can-we-not-get-Nuclear-Fusion-to-work-effectively
8,"Leo MajorLeo Major’s story is so preposterous that Hollywood still hasn’t made a movie about it. A French-Canadian who saw action in the Normandy landings, Leo began his military career byLeo MajorLeo Major’s story is so preposterous that Hollywood still hasn’t made a movie about it. A French-Canadian who saw action in the Normandy landings, Leo began his military career byDuring an early-morning reconnaissance mission at the Battle of the Scheldt, he spotted a German contingent in a village, most of them asleep. A typical soldier would have returned to report to a superior, but for a guy like Leo, this was an opportunity. He captured the German commander, and after killing a few soldiers, the entire company of 93 menBut Leo’s greatest feat was still to come. In April 1945, the Canadians were tasked with liberating the Dutch city of Zwolle. They planned to bombard the German positions with artillery until they surrendered. Leo was once again sent on a reconnaissance mission, this time with a friend. His superiors really should’ve known better. Realizing that an artillery barrage would also kill innocent civilians, Leo and his buddy Willie decided to liberate the city all by themselves. Unfortunately, around midnight, Willie was shot and killed. Enraged, Leo grabbed his friend’s weapon and gunned down two Germans, with the others fleeing in terror. He then proceeded to capture a different German vehicle and forced the driver to bring him to an enemy officer at a nearby tavern. Leo then informed the surprised officer that the town was surrounded by an overwhelming Canadian force and that an attack was imminent, before strolling out of the tavern and disappearing into the night.The next step was to convince the Germans that what he had told the officer was true. Leo spent the rest of the night racing around the town, gunning down Nazis and throwing grenades like a one-man army. After seeing their comrades gunned down by a mad Canadian in an eyepatch, most enemy soldiers made the smart choice and surrendered. As the night wore on, Leo kept appearing at the Allied lines with groups of confused German prisoners—before returning to the city. His final feat was to clear out the local SS headquarters. By 4:00 AM, the Germans had abandoned the town. The artillery attack was cancelled, the city saved by a single man.Leo received numerous medals for his deeds in World War II and earned even more in Korea. Leo Major died in 2008, but his memory lives on in Zwolle, where he is regarded as a hero.** This is fromEDIT 4. Found this out today …EDIT. I just wanted to say a HUGE thank you to all of you. This answer is over 2k upvotes.Edit 2. I am so happy that so many have seen this. At this point, it's been shared by 5 others. 5.9k upvotes and over 100k views.Edit 3. Wow. So it's May 2021. Every day I get told there is another upvote, so thank you, everyone, for keeping this active. This was one of my first posts and to see it now with over 10k upvotes on 30k views. It has been shared 79 times, although one of those was me adding it to a history subgroup.Thanks to all of you.",31 followers,Adam Wilson,514,409,4.9M,https://www.quora.com/Was-the-top-secret-German-weapon-to-end-World-War-2-Wunderwaffe-known-as-Die-Glocke-ever-actually-produced
9,"One of the most interesting and innovative…The Skipping Dambuster.Aerial Bombing was one of the most widely used and devastating types of warfare in World War 2. Germanys Stuka Dive Bombers were notorious for the terrifying shriek they made as they fell on their targets, the RAF's midnight carpet bombing of Axis cities caused untold civilian casualties, and it was the decimation of Hiroshima and Nagasaki by U.S. dropped nuclear bombs that helped to finally end the war.As with any new technology, people were eager to see what aerial bombing could do. One of those people was Barnes Wallis.WallisOne of the most interesting and innovative…The Skipping Dambuster.Aerial Bombing was one of the most widely used and devastating types of warfare in World War 2. Germanys Stuka Dive Bombers were notorious for the terrifying shriek they made as they fell on their targets, the RAF's midnight carpet bombing of Axis cities caused untold civilian casualties, and it was the decimation of Hiroshima and Nagasaki by U.S. dropped nuclear bombs that helped to finally end the war.As with any new technology, people were eager to see what aerial bombing could do. One of those people was Barnes Wallis.Wallis was British, a very clever engineer, and a ruthless strategist. When he saw the potential aerial bombing could have on German infrastructure, he set his sights on a target lots of people thought of as invulnerable: dams.Not only did dams provide water and hydroelectric for thousands of Germans, if the British could take them out the resulting deluge would cause massive amounts of damage far exceeding that of any bombs at the time.There was one problem though. The Germans knew what a tantalizing target their dams made, and so reinforced all major dams with heavy stockades of anti-torpedo netting.Remember, this was still in the early stages of ariel bombing, guided missiles were a thing of the future, and the current tech was not near accurate enough to hit the side of a dam without using a torpedo dropped way out in front of it.But Wallis had a plan. If he couldn't send the bomb plunging downEverything needed to go perfectly for this thing to work, and so the British Government hired a Civil engineering firm to find out exactly how big a bomb has to be in order to take down a dam. Turns out that 2 tons of Compact RDX and TNT will do the job as long as it explodes right up against the dam.So how do you get something that big to skip? Wallis designed a cylindrical bomb that would get twisted into a backspin before being released low and fast. The bomb would use the Magnus effect, which is the lift created by rapidly spinning objects, to keep momentum even after the first skip. The backspin would also keep it stable enough to skip straight down the line and the velocity of spin and approach could be adjusted to an accurate range.Of course, precision was key if the bombing was going to be successful. And because you can’t really use the trial and error method during a raid, the pilots needed a way to tell exactly when and where to release the payload.The testing began over Chesil beach in England. With a constant speed of spin (500rpm) on the bomb, the problem of determining the altitude of release had to be worked out. This was solved, like so many problems are, using good old geometric triangles ∆ Two searchlights were mounted on the belly of the bomber at such angles that their beams converged on the water below only when at the right altitude of release. This was as simple as it was practical as the raid was planned to take place under the cover of darkness.(Anonymous art showing searchlight method)The second problem of determining the range of release used a similar concept. By this time the target dams had already been chosen. They were Möhne, Edersee, and Sorpe, three vitally important dams in the northern Rhineland of Germany that had been scouted and photographed by Allied reconnaissance aircraft. Using these images, Walis designed custom bombsights that, when at the correct range, would line up with unique features of each dam (likely the flak towers) and in doing so signal the time of release.Finally, after months of testing on reservoirs throughout England, and the training of an elite mission force, it was time to see if the thing actually worked.(Walis and others watch a testing run in Kent)On the night of May 16, 1943, 3 waves of 19 total Avro Lancaster heavy bombers, each fit with a Skipping Dambuster, took off from RAF Scampton in England.(Art by Pat Speirs)It was a long and treacherous flight, especially in the dark. The first casualties were taken down by flak over the Northern coast of the Netherlands, two more planes crashed into powerlines, and one plane had its bomb ripped off by a rogue swell while skimming over the north sea, with that, the entire first wave of bombers was destroyed.The second wave fared better, but, when the first bomb was sent spinning towards Möhne dam, it blew up prematurely and did little or no damage. The second bomb was either dropped to late or, too fast, and went skipping clear over the dam where it absolutely annihilated an unsuspecting powerhouse on the far side.Finally, after the third bomb was sent spinning hopelessly off course, the fourth one skipped, sunk, and blew up right against the dam. The hit weakened the dam and, invigorated by this success, the next bomber, piloted by David Maltby, dropped low, released his payload, and climbed as the bomb skipped, sunk, and blew apart Möhne dam.(Art by Robert Taylor)(Actual destruction of Möhne dam)The aircraft then continued to Edersee dam, which took three bombs before finally breaching.(Edersee Dam before)(Edersee Dam after)The remaining aircraft then took runs over Sorpe dam. But the approach turned out to be difficult and dangerous, and when the surviving bombers finally turned for home, Sorpe stood solid.When the raid was done, only 11 of the original 19 Lancasters made it back to base, and 56 men were lost.Nevertheless, the mission was seen as an undeniable success for the Allied powers. The resulting floods from the collapse of Möhne and Eder, damaged or destroyed literally dozens of German bridges, factories, and mines. Acres and acres of farmland along with an estimated 1500 people were drowned. Production and transportation for the war effort were crippled, and huge amounts of German workers and resources had to be diverted as the dams were frantically rebuilt over the next 5 months.This answer has definitely gone on long enough, but if you want to learn more go watch:Edit: Thanks to the commenters who added info or pointed out mistakes :)∆∆∆",122 followers,Steve Young,577,330,2.1M,https://www.quora.com/Was-the-top-secret-German-weapon-to-end-World-War-2-Wunderwaffe-known-as-Die-Glocke-ever-actually-produced
