,Answer,followerCount,name,upvoteCount,answerCount,answerViews,question
0,"It depends.The difference between Flappy Birds and GTA5 is in the 100s of man-years. Possibly longer It makes it really tough to answer a super broad question.Games are a real-time simulation with user input. This is basically the most challenging space - you have massive constraints on performance, visual fidelity, responsiveness, intuitive controls and a bunch of other factors.It’s very easy to make a very poor game.It’s fairly easy to make a good but simple game. Pretty much anyone with a moderate amount of programming experience can knock out a quality guess a number or hangman/guess a worIt depends.The difference between Flappy Birds and GTA5 is in the 100s of man-years. Possibly longer It makes it really tough to answer a super broad question.Games are a real-time simulation with user input. This is basically the most challenging space - you have massive constraints on performance, visual fidelity, responsiveness, intuitive controls and a bunch of other factors.It’s very easy to make a very poor game.It’s fairly easy to make a good but simple game. Pretty much anyone with a moderate amount of programming experience can knock out a quality guess a number or hangman/guess a word or whatever game.When you start dialing up the standard for the game then the work gets harder. AAA games are hard. Individual tasks are generally hard - its a ton of unsolved problems being built on top of a foundation that few people have worked on and that was patched and duct taped together to ship a different game. Oh, and you have limited time to solve it because the market window is closing.Game development is generally not programmer oriented. That is, people aren’t getting together and talking about the code and then putting a game together with it. People have a visual concept or a player experience vignette and then they want a multidisciplinary team to execute on that. Organically. While the design changes. And make it fun. But not fun like that, fun like something else.",3 followers,Steve Baker,5.5K,27.3K,162.4M,https://www.quora.com/Is-game-programming-tough
1,"It used to be very, very difficult indeed when the hardware was weak, in the 1980s. Today it is much easier, because the hardware is handled by game engines such as Unity and Unreal. But it still can be challenging depending on the complexity of the game. A simple physics-based game is easy. One with a lot of AI is harder.",1 follower,Chris Nash,1.7K,5K,30.5M,https://www.quora.com/Is-game-programming-tough
2,"I’ve been a working programmer for close to 40 years - and video games are by far the hardest thing I’ve ever done. (And the most rewarding - both mentally and financially!)A modern, “AAA” video game title is likely to be one of the most complicated pieces of software written anywhere in the world.Grand Theft Auto V is claimed to contain over 100 million lines of code.The Linux Kernel is “only” 15 million lines.There is a claim that theI’ve been a working programmer for close to 40 years - and video games are by far the hardest thing I’ve ever done. (And the most rewarding - both mentally and financially!)A modern, “AAA” video game title is likely to be one of the most complicated pieces of software written anywhere in the world.Grand Theft Auto V is claimed to contain over 100 million lines of code.The Linux Kernel is “only” 15 million lines.There is a claim that theGTA-V is a SINGLE application.Furthermore - programs like GTA-V are written in C++ (which is probably the most complex programming language in existence) - and it was written over a relatively short period of time compared to the AT&T switching system.These games are complex in other ways too - the physics and graphics systems are truly insane in their degree of complexity and in the way that all of the sub-parts have to interact together. Just the simulation of sunlight in the GTA-V ‘world’ is an astoundingly complex thing.And that’s just the SOFTWARE complexity.Add in all of the crazy number of 3D models that have to be built, the number of sound effects, voice acting sessions, music!I read somewhere that getting all of the music used in the game licensed was so hard that there were more Intellectual Property lawyers employed in the making of the game than there were programmers!So I think it’s safe to say that video games are",1 follower,Chris Nash,13.6K,5K,30.5M,https://www.quora.com/Is-game-programming-tough
3,Physics. See:,"1,980 followers",Ira J Perlow,679,2.8K,4.5M,https://www.quora.com/Is-game-programming-tough
4,Space for the memory.Want to try squeezing 32 TB into one chip with the processor?Even 16GB won’t fit.,"220,192 followers",Franklin Veaux,976,47.3K,779.7M,https://www.quora.com/Is-game-programming-tough
5,Speed. The way in which memory speed slows with size has been explained in other answers so I’ll mention another issue.Multiprocessor shared memory systems.The fast operation of shared memory systems relies on that fact that at any time very few memory locations are actually shared between processors. The multiprocessor cache system provides a way of tracking ownership and typically or resolving ownership issues within a single processor. If all accesses had to be made to a genuinely shared memory system the sharing protocols would cause serious performance problems.,109 followers,Ameerul Aimar,888,79,379.3K,https://www.quora.com/Is-game-programming-tough
6,"This is a square:image from wikimediaWhy am I bringing up shapes, you ask? Well, squares have an interesting property: the Pythagorean theorem tells us that the diagonal of this square is equal to the square root of the squared sum of its side (a² = b² + c²). For a square of side 1, this means the diagonal has a length of √2.This scales: make the square bigger, you also make the diagonal longer. Double the length of the sides, you also double the length of the diagonal.Here’s another formula: d = v*t, and one of it’s reciprocals, t = d/v.Electricity travels at a finite speed within a wire: ifThis is a square:image from wikimediaWhy am I bringing up shapes, you ask? Well, squares have an interesting property: the Pythagorean theorem tells us that the diagonal of this square is equal to the square root of the squared sum of its side (a² = b² + c²). For a square of side 1, this means the diagonal has a length of √2.This scales: make the square bigger, you also make the diagonal longer. Double the length of the sides, you also double the length of the diagonal.Here’s another formula: d = v*t, and one of it’s reciprocals, t = d/v.Electricity travels at a finite speed within a wire: if you increase the amount of distance to travel, then the amount of time needed to do so will increase. Similarly, if you increase the size of your cache, it will take more time for you to reach the SRAM cells that are farther away.Of course, this is an oversimplification. Caches usually aren’t laid out in a perfect square, and are even broken into many separate banks. But the idea stays the same: if you increase your cache size, signals will need to travel farther on average to access it (seeing as some of these SRAM cells are now farther away from the core).If we look at it in practice:original unmodified image fromThose black lines (added by me) represent the maximum distance a signal would need to travel within the SRAM pool. Notice how much more distance these signals would need to cover if the cache size were to be doubled up.We can conclude: a cache’s small size contributes massively to its speed. Should you make it significantly larger, latency would increase substantially.This is why CPUs have multi-level caches by the way: the low-level caches can be fast, while the L3 can be slower but of larger capacity. This stems from the fact that is is simply not possible to make a cache that is both ultra-fast AND of high capacity.Let’s consider the case for memory too: if you were to replace your traditional CPU DRAM with SRAM, not only would the latency of this SRAM not be as low as in a CPU cache (due to its large size), it would be even worse than that given the fairly large distance signals would need to travel to reach this RAM in the first place (from the CPU to RAM). Physical proximity between the cache and RAM contributes to low latency as well.All and all, using SRAM as main RAM would not bring as much of a speedup as one might think. Given the increased cost of SRAM as well as its lower density vs DRAM, it’s simply not worth it. In the end, you’d sThere’s also power to consider. SRAM doesn’t have to be power hungry: given its asynchronous nature, it can actually be fairly low power. However, strap it to a CPU and make it run at multi-ghz speeds, and things start to get hot. SRAM starts burning a","9,554 followers",Glenn Luk,6.6K,427,7.9M,https://www.quora.com/What-are-some-reasons-other-than-cost-to-not-replace-RAM-entirely-with-a-cache-of-equal-size-If-cost-is-the-only-reason-we-would-ve-been-able-to-buy-very-expensive-but-super-fast-computers-right
7,"It is more a question of nomenclature than of what it actually is. Cache memory is, by definition in my opinion, a smaller but faster memory placed between main memory and the CPU. As well as the memory, cache has to include the cache comparison logic.The reason for cache is speed. It is faster to access on chip memory that it is off chip memory. If you can fit all the memory on chip, as many SoCs (System on Silicon) do, there is no need for cache, and those SoCs that don’t have external memory almost always don’t have caches either.But the amount of memory you can fit on one chip is limited.It is more a question of nomenclature than of what it actually is. Cache memory is, by definition in my opinion, a smaller but faster memory placed between main memory and the CPU. As well as the memory, cache has to include the cache comparison logic.The reason for cache is speed. It is faster to access on chip memory that it is off chip memory. If you can fit all the memory on chip, as many SoCs (System on Silicon) do, there is no need for cache, and those SoCs that don’t have external memory almost always don’t have caches either.But the amount of memory you can fit on one chip is limited. Furthermore, the silicon fabrication processes for extremely dense memories are different from those for CPUs and other irregular logic. So if you move memory on chip, it tends to get bigger at the same time as it gets faster.So there is a continually moving sweet spot in memory size below which caches are unnecessary. Unfortunately, software keeps on wanting more and more memory, so that sweet spot keeps moving either way.","3,120 followers",Becca Royal-Gordon,1.1K,4.3K,12M,https://www.quora.com/What-are-some-reasons-other-than-cost-to-not-replace-RAM-entirely-with-a-cache-of-equal-size-If-cost-is-the-only-reason-we-would-ve-been-able-to-buy-very-expensive-but-super-fast-computers-right
8,"Cray vector Computers through the cray C90, and prior to the X1 had no cache.The YMP 8/32 which is the first Cray that I programmed on was able to add two vectors from memory and store the result in memory from all 8 processors at a maximum of about 90% of processor speed. The cost was around $10 million in 1985, which did not include site preparation .","9,921 followers",Brett Bergan,1.3K,7K,82.9M,https://www.quora.com/What-are-some-reasons-other-than-cost-to-not-replace-RAM-entirely-with-a-cache-of-equal-size-If-cost-is-the-only-reason-we-would-ve-been-able-to-buy-very-expensive-but-super-fast-computers-right
9,"The rest of the answers gave a pretty representative sample of dynamic programming questions and you can always find more online (ex.Keep in mind that these are all great problems for learning dynamic programming, but they have nothing to do with the most popular ones in interviews. In fact,The rest of the answers gave a pretty representative sample of dynamic programming questions and you can always find more online (ex.Keep in mind that these are all great problems for learning dynamic programming, but they have nothing to do with the most popular ones in interviews. In fact,Typically when people ask about a popularity of something, they’re implying a power distribution where a few items are used disproportional number of times.Interview questions are distributed in a much more uniform distribution where there is not much point in talking about popularity.What you really want to ask is what are theHere is a list of the most important things to remember:Learn ideas, don’t learn problemsWhen you feel like you’ve conquered these ideas, check outEdit: I recently wrote up a","16,038 followers",Michal Danilák,5.6K,0,0,https://www.quora.com/Is-game-programming-tough
