,0,1,2,3,4,5,6,7,8,9
-1,company,solar,cryptocurrency,,,,,,,
0,fusion,nuclear,plasma,power,reactors,reactor,fission,fuel,,
1,brain,lobe,body,jess,cells,function,parts,driver,dont,
2,50,super,space,computing,,,,,,
3,3d,emerging,printers,printing,list,10,reality,ai,trends,
4,iot,internet,things,devices,connected,billion,smart,network,home,embedded
5,following,reasonable,2031,2068,vaguely,thingsall,bloga,watching,compare,forecasting
6,predictions,cars,electric,cp,group,futurists,true,prototype,,
7,students,communication,issue,letter,cover,business,information,,,
8,computers,thisor,desktops,road,1969,20,wrist,keyboard,,
9,union,economy,china,soviet,economic,high,countries,act,,
10,ai,programming,cars,selfflying,artificial,machine,time,robots,learning,
11,kaspersky,future,predict,machines,answer,question,emerging,homes,,
12,start,remember,popular,write,culled,okay,europe,december,beginning,think
13,data,home,google,mobile,analytics,pc,business,microsoft,work,companies
14,civil,door,open,humanity,recover,war,dark,failure,house,
15,evolution,editing,usher,bypass,profits,heart,eliminates,regardless,laws,
16,finding,jobs,longterm,development,stream,remote,option,best,great,client
17,biological,capabilities,human,grow,increase,computer,answeredby,selfcoding,chipsdisks,racememory
