,Topic,Count,Name
0,-1,116,-1_technology_cryptocurrency_using_people
1,0,55,0_fusion_energy_nuclear_plasma
2,1,53,1_brain_lobe_body_jess
3,2,48,2_start_remember_popular_years
4,3,42,3_3d_technologies_emerging_printing
5,4,41,4_50_years_world_people
6,5,34,5_solar_sex_food_meat
7,6,32,6_iot_internet_things_devices
8,7,26,7_computers_years_desktops_thisor
9,8,25,8_technology_data_google_companies
10,9,24,9_technology_students_communication_issue
11,10,23,10_union_economy_china_soviet
12,11,22,11_intelligence_ai_programming_cars
13,12,22,12_kaspersky_future_predict_machines
14,13,14,13_cars_electric_implanted_10
15,14,13,14_civil_door_open_just
16,15,13,15_predictions_cp_group_futurists
17,16,13,16_development_finding_jobs_longterm
18,17,12,17_biological_capabilities_human_grow
