,0,1,2
3,Not as different as you would like to think. It isn't going to be the singularity and Artificial General Intelligence. Nah. That’s fantastical over-optimism.Here is a short list of all that is possible in the next 50 years from a societal/economics POV. There can be many more.Not as different as you would like to think. It isn't going to be the singularity and Artificial General Intelligence. Nah. That’s fantastical over-optimism.Here is a short list of all that is possible in the next 50 years from a societal/economics POV. There can be many more.,Not as different as you would like to think. It isn't going to be the singularity and Artificial General Intelligence. Nah. That’s fantastical over-optimism.Here is a short list of all that is possible in the next 50 years from a societal/economics POV. There can be many more.Not as different as you would like to think. It isn't going to be the singularity and Artificial General Intelligence. Nah. That’s fantastical over-optimism.Here is a short list of all that is possible in the next 50 years from a societal/economics POV. There can be many more.,"If the “Singularity” is ca 20 y away, then post scenario will empower ordinary people with an AI that has insights in all aspects of life, psychology, engineering, law, philosophy, etc etc.It can help us realize our mad ideas, contacting the right people, get funding, sign deals, etc etc, all you need is just tell your mad ideas to your AI."
5,Expecting for great changes in upcoming future!Flying cars:TerrafugiaTerrafugiaExpecting for great changes in upcoming future!Flying cars:TerrafugiaTerrafugiaDigital Technologies includeProjection Keyboard:Microsoft HoloLens:Microsoft HoloLens:Google Driveless Car:Google Driveless Car:Google Driveless Car:Remotely Operated HelicopterRemotely Operated HelicopterGoogle glassesGoogle glassesEye Tribe:Eye Tribe:9,Expecting for great changes in upcoming future!Flying cars:TerrafugiaTerrafugiaExpecting for great changes in upcoming future!Flying cars:TerrafugiaTerrafugiaDigital Technologies includeProjection Keyboard:Microsoft HoloLens:Microsoft HoloLens:Google Driveless Car:Google Driveless Car:Google Driveless Car:Remotely Operated HelicopterRemotely Operated HelicopterGoogle glassesGoogle glassesEye Tribe:Eye Tribe:9,Next 50 years?Google is making driverless cars:​​Transparent displays​​Future generations​ phones:​​​​Next 50 years?Google is making driverless cars:​​Transparent displays​​Future generations​ phones:​​​​
15,"I view it extremely positively. The spewing factories, the bad environment which we are facing now , will have been eliminated by then.Humans will be using bio fuels, solar powers, factories will be eco friendly so all in all the atmosphere will be just like 150 years before.The atmosphere is clear and clean, the Humans have got rid of wars and internal conflicts & have moved away to hi fi , sci fi development which has kept them happy.The Humans have settled down on Moon and Mars, etc and are having planetary travel apart from global travel.","I view it extremely positively. The spewing factories, the bad environment which we are facing now , will have been eliminated by then.Humans will be using bio fuels, solar powers, factories will be eco friendly so all in all the atmosphere will be just like 150 years before.The atmosphere is clear and clean, the Humans have got rid of wars and internal conflicts & have moved away to hi fi , sci fi development which has kept them happy.The Humans have settled down on Moon and Mars, etc and are having planetary travel apart from global travel.","I view it extremely positively. The spewing factories, the bad environment which we are facing now , will have been eliminated by then.Humans will be using bio fuels, solar powers, factories will be eco friendly so all in all the atmosphere will be just like 150 years before.The atmosphere is clear and clean, the Humans have got rid of wars and internal conflicts & have moved away to hi fi , sci fi development which has kept them happy.The Humans have settled down on Moon and Mars, etc and are having planetary travel apart from global travel."
11,Genetic Modification Technology will be automated within the next 50 years and it will be applied to humans regardless of any laws passed to prevent it.,A very slow and controlled evolution in order to maximize profits.,A very slow and controlled evolution in order to maximize profits.
0,"Well there surely will be many breakthroughs in technology in 10 years. First of all, most cars will probably be electric and self driving. You might be able to verbally communicate with things in your house (fridge, microwave, TV…), making them easier and quicker to use (Internet of Things / IoT). It’s possible that humans will have some sort of chips inserted in/on them (hand for an example) that could help track health and some other things, but then again it could mean new forms of globalisation, and one step towards us becoming robots and robots becoming us. There might as well be new surWell there surely will be many breakthroughs in technology in 10 years. First of all, most cars will probably be electric and self driving. You might be able to verbally communicate with things in your house (fridge, microwave, TV…), making them easier and quicker to use (Internet of Things / IoT). It’s possible that humans will have some sort of chips inserted in/on them (hand for an example) that could help track health and some other things, but then again it could mean new forms of globalisation, and one step towards us becoming robots and robots becoming us. There might as well be new surprises when it comes to cryptocurrency and blockchain technologies. You might also be able to see a few robots in the street or at your workplace… be nice to them, you probably won’t want to make them angry!",Here are plenty to start off with:Here are plenty to start off with:I have aThen there are most of my 5.470 Inventions & Discoveries = 1/3rd most in world of anyone.,I'll focus more on topics (Emerging Technology Disruptors). This is NOT a comprehensive list - and I've purposely left a few things out.The list below is no particular order.COHGrapheneI'll focus more on topics (Emerging Technology Disruptors). This is NOT a comprehensive list - and I've purposely left a few things out.The list below is no particular order.COHGrapheneMedical NanobotsAutonomous VehiclesVirtual Reality (Entertainment)RoboticsEmploymenArtificial Intelligence
6,Hope my answer below to a similar question will answer this question too.Vijay Samuel's answer to What are some things (inventions/advancements) you think we will see by the year 2040?,"I explain this on my blog.A few things:All coming in the next few years. How do I know this? II explain this on my blog.A few things:All coming in the next few years. How do I know this? I’ve been immortal for 2 years.Love,","By 2031, I predict we will see the following:By 2031, I predict we will see the following:"
2,"According to my neurobiology professor back in my university days, which may be old information now (neurobiology has been progressing quite rapidly in the last few decades), the theoretical maximum lifespan of the neurons in the brain is most likely somewhere around 120–130 years. Even if the body is working perfectly, the brain will die around then.Now, adult neurogenesis does happen in humans. The brain can grow new neurons, mostly in the hippocampus. However, this won’t prevent brain death around 130 years or so, because neurogenesis is quite slow—it can’t even keep up with normal attritioAccording to my neurobiology professor back in my university days, which may be old information now (neurobiology has been progressing quite rapidly in the last few decades), the theoretical maximum lifespan of the neurons in the brain is most likely somewhere around 120–130 years. Even if the body is working perfectly, the brain will die around then.Now, adult neurogenesis does happen in humans. The brain can grow new neurons, mostly in the hippocampus. However, this won’t prevent brain death around 130 years or so, because neurogenesis is quite slow—it can’t even keep up with normal attrition.",If…A brain cannot survive without a bodyThe premise is in error.,"The answer to the first part of your question is “yes.” The brain cells hold the DNA to all the body parts. To answer the second part of your questions we need to start here……But, so does your liver, your heart, your eyeballs, and even your tongue!When you are first conceived and start to grow as a tiny embryo, all of your cells have all the DNA with all the instructions for how to make all your body structures. As you gThe answer to the first part of your question is “yes.” The brain cells hold the DNA to all the body parts. To answer the second part of your questions we need to start here……But, so does your liver, your heart, your eyeballs, and even your tongue!When you are first conceived and start to grow as a tiny embryo, all of your cells have all the DNA with all the instructions for how to make all your body structures. As you grow, these embryonic cells begin to become different from one another and different cells have different parts of the DNA turned “off” while other parts remain active. The DNA code responsible for making your heart remains active in heart cells, but while the code isWhat I think you are asking is if we could somehow make certain cells “learn” how to make other body parts again. That is a really great questions and the answer is a somewhat qualified “yes.” This area of biological and medical study involves what are known asBy learning how cells became different from one another and working with stem cells, we may be able to re-teach someone’s cells how to produce cell Type that they can no longer make. This could lead to things like helping people will immune diseases produce the immune cells that they currently cannot make, or make healthy white blood cells in a person with a blood disorder that makes wacky white blood cells, or make new heart cells to replace damaged heart tissue after a serious heart attack. The possibilities are amazing.By the way…none of this is controlled by the brain. It happens or doesn't happen in each and every cell that contains DNA. The brain’s job is to serve as an information hub, process that information, and help keep an eye on how the body is functioning overall."
16,"The best option for finding a long-term stream of great remote development jobs isThe best option for finding a long-term stream of great remote development jobs isHere’s what some of Toptal’s top freelancers have said about the way Toptal has improved their work-life balance and given them access to fulfilling projects:“Toptal takes the hassle out of freelancing - I never worry about client discovery, engagement, and workplace integration issues. Instead, I get to","The best option for finding a long-term stream of great remote development jobs isThe best option for finding a long-term stream of great remote development jobs isHere’s what some of Toptal’s top freelancers have said about the way Toptal has improved their work-life balance and given them access to fulfilling projects:“Toptal takes the hassle out of freelancing - I never worry about client discovery, engagement, and workplace integration issues. Instead, I get to","You do NOT want to switch your career to a project manager. Here’s why.You do NOT want to switch your career to a project manager. Here’s why.If you are getting itchy to do something else or bored, then expand your role. Take on a lead or better yet, act as the scrum master along with your dev role. This may lead you into management but don’t let those skills disappear along your journey."
12,"Fire his ass. Not only is he spending a lot of time and resources re-inventing wheels that have not only already been invented before but refined and refined and refined, on top of that he’s already re-inventing security holes and exploits as well. So he’s spending more time and more money to produce inferior, more buggy, less secure work.Nothing about that makes him seem a good investment.","In-home technology is going way beyond our wildest imaginations.If they’re not yet available for homes, many of the latest emerging technologies are already being used in some capacity and will likely make their way into homes in no time at all.These 5 emerging, high-tech innovations will get you excited about what the future holds for your home.In-home technology is going way beyond our wildest imaginations.If they’re not yet available for homes, many of the latest emerging technologies are already being used in some capacity and will likely make their way into homes in no time at all.These 5 emerging, high-tech innovations will get you excited about what the future holds for your home.These emerging and innovative technologies being developed are very exciting, and offer almost endless possibilities for the home.One breakthrough technology you can enjoy right away is the ClearView Audio Clio – an invisible speaker that produces rich, room-filling sound without compromising the aesthetic of your interior décor.Source:- clearviewaudio.com",Tom Watkins's answer to What underrated new technology do you believe will be more prominently used in the future than we're expecting (say in the next 100 years or so)?
14,"Artificial Intelligence will grow with advanced self-coding capabilities and the biological and digital integration will advance.Most people think huge robots and machines running around but that is not likely to happen. As years go by the cost of resources will increase; global population will increase; food and water will be limited. That is why miniaturization will continue to grow in all technological developments and human beings who have the money will seek super human capabilities, creating a start of a new class of the human race.Memory chips/disks will be biological, computer interfacArtificial Intelligence will grow with advanced self-coding capabilities and the biological and digital integration will advance.Most people think huge robots and machines running around but that is not likely to happen. As years go by the cost of resources will increase; global population will increase; food and water will be limited. That is why miniaturization will continue to grow in all technological developments and human beings who have the money will seek super human capabilities, creating a start of a new class of the human race.Memory chips/disks will be biological, computer interface will be biological based, the advancement of biological processing will be at an early stage.","This was asked in one of the interviews with Larry Page. And this is what he answered.By 2050, there will come a time when people will not need to google anything. How?This was asked in one of the interviews with Larry Page. And this is what he answered.By 2050, there will come a time when people will not need to google anything. How?Isn't it amazing?Source -Edit",My best guess (and therefore probably wrong) is that computers will be much more active in making decisions affecting our daily lives. This will be due to new types of computer processors specifically designed for Artificial Intelligence work and the vast amount of data which will be available.
