,created_at,id,id_str,text,truncated,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,retweeted_status,is_quote_status,retweet_count,favorite_count,favorited,retweeted,lang,possibly_sensitive,extended_entities
hashtags,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,[],,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
symbols,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,[],,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
user_mentions,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,[],,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
urls,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,"[{'url': 'https://t.co/P4J0XjPloW', 'expanded_url': 'https://twitter.com/i/web/status/1587806885973041155', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
iso_language_code,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,en,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
result_type,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,recent,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,,,,,,,False,0,0,False,False,en,False,
id,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,1556711928755621888,,,,,,False,0,0,False,False,en,False,
id_str,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,1556711928755621888,,,,,,False,0,0,False,False,en,False,
name,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,World Sustainable Built Environment Conference,,,,,,False,0,0,False,False,en,False,
screen_name,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,wsbe23,,,,,,False,0,0,False,False,en,False,
location,Wed Nov 02 14:00:36 +0000 2022,1587806885973041155,1587806885973041155,What technologies are best positioned to help fight climate change? We want to hear from you. Submit your abstract… https://t.co/P4J0XjPloW,True,,,"<a href=""http://www.falcon.io"" rel=""nofollow"">Brandwatch</a>",,,,,,"Montreal, QC, Canada",,,,,,False,0,0,False,False,en,False,
