,article_keywords,title_keywords,count,article_link
0,climate change,0.202903792006386,1,https://techcrunch.com/2022/10/07/if-its-agtech-its-climate-change-how-the-crisis-is-shaping-investors-strategies/
1,investors’ strategies,0.1654719780279999,1,https://techcrunch.com/2022/10/07/if-its-agtech-its-climate-change-how-the-crisis-is-shaping-investors-strategies/
2,agtech,0.12099728525688244,1,https://techcrunch.com/2022/10/07/if-its-agtech-its-climate-change-how-the-crisis-is-shaping-investors-strategies/
3,the crisis,0.07695994663304581,1,https://techcrunch.com/2022/10/07/if-its-agtech-its-climate-change-how-the-crisis-is-shaping-investors-strategies/
0,agriculture’s biggest problems,0.2045997599331493,1,https://techcrunch.com/2022/10/05/7-investors-discuss-how-agtech-can-solve-agricultures-biggest-problems/
1,agtech,0.15638717268231964,1,https://techcrunch.com/2022/10/05/7-investors-discuss-how-agtech-can-solve-agricultures-biggest-problems/
2,7 investors,0.05628485050928083,1,https://techcrunch.com/2022/10/05/7-investors-discuss-how-agtech-can-solve-agricultures-biggest-problems/
0,climate-resistant crop technology,0.2325018768528999,1,https://techcrunch.com/2021/12/16/phytoform-climate-crop-technology/
1,Phytoform,0.13630248795544953,1,https://techcrunch.com/2021/12/16/phytoform-climate-crop-technology/
0,safer crop protection technology,0.35020975003718274,1,https://techcrunch.com/2021/09/14/agbiome-lands-166m-for-safer-crop-protection-technology/
1,AgBiome,0.12186027597311673,2,https://techcrunch.com/2021/09/14/agbiome-lands-166m-for-safer-crop-protection-technology/
2,$116M,0.052453852338999726,2,https://techcrunch.com/2021/09/14/agbiome-lands-166m-for-safer-crop-protection-technology/
0,AgriFood,0.33592266913231045,1,https://techcrunch.com/2019/03/07/vcs-have-growing-appetite-for-agrifood/
1,appetite,0.2469754333625302,1,https://techcrunch.com/2019/03/07/vcs-have-growing-appetite-for-agrifood/
2,VCs,0.18263162765420737,1,https://techcrunch.com/2019/03/07/vcs-have-growing-appetite-for-agrifood/
0,America,0.2653069489951205,2,https://techcrunch.com/2019/02/15/how-to-decarbonize-america-and-the-world/
1,the world,0.16667242083837241,1,https://techcrunch.com/2019/02/15/how-to-decarbonize-america-and-the-world/
0,precision farming startup Blue River,0.30208322815305644,1,https://techcrunch.com/2017/09/06/after-scraping-monsanto-deal-deere-agrees-to-buy-precision-farming-startup-blue-river-for-305m/
1,Blue River,0.2794994225688866,1,https://techcrunch.com/2017/09/06/after-scraping-monsanto-deal-deere-agrees-to-buy-precision-farming-startup-blue-river-for-305m/
2,Monsanto deal,0.14104222554376783,1,https://techcrunch.com/2017/09/06/after-scraping-monsanto-deal-deere-agrees-to-buy-precision-farming-startup-blue-river-for-305m/
3,Deere,0.1270518287966563,2,https://techcrunch.com/2017/09/06/after-scraping-monsanto-deal-deere-agrees-to-buy-precision-farming-startup-blue-river-for-305m/
4,Monsanto,0.09900122380225547,1,https://techcrunch.com/2017/09/06/after-scraping-monsanto-deal-deere-agrees-to-buy-precision-farming-startup-blue-river-for-305m/
0,agriculture tech,0.3029955369418653,1,https://techcrunch.com/2016/06/23/japans-e-commerce-leader-rakuten-gets-into-agriculture-tech/
1,Rakuten,0.1681222996443632,1,https://techcrunch.com/2016/06/23/japans-e-commerce-leader-rakuten-gets-into-agriculture-tech/
2,Japan’s e-commerce leader Rakuten,0.16802474395174133,1,https://techcrunch.com/2016/06/23/japans-e-commerce-leader-rakuten-gets-into-agriculture-tech/
3,Japan,0.1013130322966086,1,https://techcrunch.com/2016/06/23/japans-e-commerce-leader-rakuten-gets-into-agriculture-tech/
0,better sensors,0.3029955369418653,1,https://techcrunch.com/2022/10/19/labby-product-launch/
1,Labby,0.1013130322966086,2,https://techcrunch.com/2022/10/19/labby-product-launch/
0,lower environmental impacts,0.24570664259799418,1,https://techcrunch.com/2022/10/10/agriwebbs-software-seeks-to-boost-yields-lower-environmental-impacts-for-farmers-and-ranchers/
1,ranchers,0.243481872628971,1,https://techcrunch.com/2022/10/10/agriwebbs-software-seeks-to-boost-yields-lower-environmental-impacts-for-farmers-and-ranchers/
2,farmers,0.18908188363442757,1,https://techcrunch.com/2022/10/10/agriwebbs-software-seeks-to-boost-yields-lower-environmental-impacts-for-farmers-and-ranchers/
3,yields,0.14611435298174952,1,https://techcrunch.com/2022/10/10/agriwebbs-software-seeks-to-boost-yields-lower-environmental-impacts-for-farmers-and-ranchers/
4,AgriWebb,0.09374977920472881,1,https://techcrunch.com/2022/10/10/agriwebbs-software-seeks-to-boost-yields-lower-environmental-impacts-for-farmers-and-ranchers/
5,AgriWebb’s software,0.07083122651092066,1,https://techcrunch.com/2022/10/10/agriwebbs-software-seeks-to-boost-yields-lower-environmental-impacts-for-farmers-and-ranchers/
0,climate change,0.202903792006386,1,https://techcrunch.com/2022/10/07/if-its-agtech-its-climate-change-how-the-crisis-is-shaping-investors-strategies/
1,investors’ strategies,0.1654719780279999,1,https://techcrunch.com/2022/10/07/if-its-agtech-its-climate-change-how-the-crisis-is-shaping-investors-strategies/
2,agtech,0.12099728525688244,1,https://techcrunch.com/2022/10/07/if-its-agtech-its-climate-change-how-the-crisis-is-shaping-investors-strategies/
3,the crisis,0.07695994663304581,1,https://techcrunch.com/2022/10/07/if-its-agtech-its-climate-change-how-the-crisis-is-shaping-investors-strategies/
0,agtech VC survey,0.30541294099938626,1,https://techcrunch.com/2022/10/07/techcrunch-roundup-green-card-sponsorships-startup-prenups-agtech-vc-survey/
1,VC,0.18908188363442757,1,https://techcrunch.com/2022/10/07/techcrunch-roundup-green-card-sponsorships-startup-prenups-agtech-vc-survey/
2,Green card,0.1714028184647504,1,https://techcrunch.com/2022/10/07/techcrunch-roundup-green-card-sponsorships-startup-prenups-agtech-vc-survey/
3,prenups,0.164191770372194,1,https://techcrunch.com/2022/10/07/techcrunch-roundup-green-card-sponsorships-startup-prenups-agtech-vc-survey/
4,TechCrunch+,0.09374977920472881,1,https://techcrunch.com/2022/10/07/techcrunch-roundup-green-card-sponsorships-startup-prenups-agtech-vc-survey/
0,the global food crisis,0.21501619821488355,1,https://techcrunch.com/2022/10/07/flyfeed-angel-round/
1,FlyFeed flies,0.19418352986099452,1,https://techcrunch.com/2022/10/07/flyfeed-angel-round/
2,the face,0.08079288207902413,1,https://techcrunch.com/2022/10/07/flyfeed-angel-round/
0,agriculture’s biggest problems,0.2045997599331493,1,https://techcrunch.com/2022/10/05/7-investors-discuss-how-agtech-can-solve-agricultures-biggest-problems/
1,agtech,0.15638717268231964,1,https://techcrunch.com/2022/10/05/7-investors-discuss-how-agtech-can-solve-agricultures-biggest-problems/
2,7 investors,0.05628485050928083,1,https://techcrunch.com/2022/10/05/7-investors-discuss-how-agtech-can-solve-agricultures-biggest-problems/
0,Dutch investor Oikocredit,0.3466800150008662,1,https://techcrunch.com/2022/09/27/ghanaian-agtech-farmerline-raises-1-5m-from-dutch-investor-oikocredit/
1,Oikocredit,0.2795984421205809,1,https://techcrunch.com/2022/09/27/ghanaian-agtech-farmerline-raises-1-5m-from-dutch-investor-oikocredit/
2,Ghanaian agtech Farmerline,0.2092204587651297,1,https://techcrunch.com/2022/09/27/ghanaian-agtech-farmerline-raises-1-5m-from-dutch-investor-oikocredit/
3,Dutch,0.1899253087943399,1,https://techcrunch.com/2022/09/27/ghanaian-agtech-farmerline-raises-1-5m-from-dutch-investor-oikocredit/
4,Farmerline,0.15638717268231964,1,https://techcrunch.com/2022/09/27/ghanaian-agtech-farmerline-raises-1-5m-from-dutch-investor-oikocredit/
0,Kenyan agtech iProcure,0.331562347432685,1,https://techcrunch.com/2022/08/17/ex-novastar-partner-niraj-varia-takes-on-new-challenge-as-ceo-of-kenyan-agtech-iprocure/
1,Kenyan,0.18333647229954914,1,https://techcrunch.com/2022/08/17/ex-novastar-partner-niraj-varia-takes-on-new-challenge-as-ceo-of-kenyan-agtech-iprocure/
2,CEO,0.17219098848379463,1,https://techcrunch.com/2022/08/17/ex-novastar-partner-niraj-varia-takes-on-new-challenge-as-ceo-of-kenyan-agtech-iprocure/
3,challenge,0.16061930593490664,1,https://techcrunch.com/2022/08/17/ex-novastar-partner-niraj-varia-takes-on-new-challenge-as-ceo-of-kenyan-agtech-iprocure/
4,Niraj Varia,0.15739762924864026,2,https://techcrunch.com/2022/08/17/ex-novastar-partner-niraj-varia-takes-on-new-challenge-as-ceo-of-kenyan-agtech-iprocure/
0,Dubai,0.2540945698084574,2,https://techcrunch.com/2022/07/19/crop-one-emirate-worlds-largest-vertical-farm-in-dubai/
1,open ‘world’s largest vertical farm,0.14813266861135274,1,https://techcrunch.com/2022/07/19/crop-one-emirate-worlds-largest-vertical-farm-in-dubai/
2,Crop One,0.14433557441502345,1,https://techcrunch.com/2022/07/19/crop-one-emirate-worlds-largest-vertical-farm-in-dubai/
3,Emirate,0.1300180984132601,1,https://techcrunch.com/2022/07/19/crop-one-emirate-worlds-largest-vertical-farm-in-dubai/
0,Vertical farming founder,0.2340164370673894,1,https://techcrunch.com/2022/07/13/bowery-farming-found-podcast/
1,agriculture,0.22514738896862999,1,https://techcrunch.com/2022/07/13/bowery-farming-found-podcast/
2,the ground,0.13625347940334348,1,https://techcrunch.com/2022/07/13/bowery-farming-found-podcast/
0,investor,0.2795984421205809,1,https://techcrunch.com/2022/06/10/meet-felix-williams-a-vc-who-started-his-own-firm-at-the-age-of-19/
1,advantage,0.21448185310445242,1,https://techcrunch.com/2022/06/10/meet-felix-williams-a-vc-who-started-his-own-firm-at-the-age-of-19/
2,Felix Williams,0.17360829313256287,2,https://techcrunch.com/2022/06/10/meet-felix-williams-a-vc-who-started-his-own-firm-at-the-age-of-19/
3,his youth,0.08182759864003777,1,https://techcrunch.com/2022/06/10/meet-felix-williams-a-vc-who-started-his-own-firm-at-the-age-of-19/
0,special award winners,0.29411859165371146,1,https://techcrunch.com/2022/06/03/meet-the-extreme-tech-challenge-2022-global-finals-category-and-special-award-winners/
1,the Extreme Tech Challenge 2022 Global Finals category finalists,0.13816150294060206,1,https://techcrunch.com/2022/06/03/meet-the-extreme-tech-challenge-2022-global-finals-category-and-special-award-winners/
2,the Extreme Tech Challenge,0.1003135528445623,1,https://techcrunch.com/2022/06/03/meet-the-extreme-tech-challenge-2022-global-finals-category-and-special-award-winners/
0,Robotics,0.23392099620100876,1,https://techcrunch.com/2022/05/10/robotics-guru-rodney-brooks-and-veos-clara-vu-discuss-human-robot-interaction-at-tc-sessions-robotics-2022/
1,TC Sessions,0.23213398840576,1,https://techcrunch.com/2022/05/10/robotics-guru-rodney-brooks-and-veos-clara-vu-discuss-human-robot-interaction-at-tc-sessions-robotics-2022/
2,Clara Vu,0.15977886926308024,2,https://techcrunch.com/2022/05/10/robotics-guru-rodney-brooks-and-veos-clara-vu-discuss-human-robot-interaction-at-tc-sessions-robotics-2022/
3,human-robot interaction,0.1351744984652424,1,https://techcrunch.com/2022/05/10/robotics-guru-rodney-brooks-and-veos-clara-vu-discuss-human-robot-interaction-at-tc-sessions-robotics-2022/
4,Rodney Brooks,0.12450281619874627,2,https://techcrunch.com/2022/05/10/robotics-guru-rodney-brooks-and-veos-clara-vu-discuss-human-robot-interaction-at-tc-sessions-robotics-2022/
