,for,can,could,use,will,sum_verbs,RB,RBR,RBS,VB,VBG,VBP,VBZ,JJ,Names
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,1,0,0.0,['NYC']
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,['Rystad']
0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1,1,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,1,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,"['Egypt', 'Europe', 'Greece']"
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Discover', 'Substitutes', 'Rare', 'Earth', 'Materials', 'Magnets']"
0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1,2,0,2,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,['GW']
0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0,3,1,0,0.0,['COemissions']
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,2,0,0,0.0,[None]
0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,"['GM', 'Ultium', 'US']"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,"['DTE', 'Energy']"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,1,1,1,0.0,['US']
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Port', 'Newcastle']"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1,2,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,"['Energy', 'Series', 'C']"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,['US']
0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,[None]
0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2,0,0,0,0.0,['NASA']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,['GW']
0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,"['NASA', 'EV']"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Hurricane', 'Ian']"
0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,2,0.0,[None]
0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,1,1,0,1,0.0,['NASA']
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0,0,2,0.0,['OG']
0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['GatesBreakthrough', 'Energy', 'Terabase']"
0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0,1,0,2,0.0,"['EVGA', 'Editorial']"
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,"['Energy', 'Series', 'E']"
0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,['PV']
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,1,0.0,[None]
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,['COtech']
0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,1,1,0,0.0,[None]
0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0.0,[None]
