,0
0,"A new validation study published this month puts the blood oxygen feature of the Apple Watch to the test. According to the results of the study, the Apple Watch Series 6 is able to “reliably detect states of reduced blood oxygen saturation” in comparison to medical-grade pulse oximeters. Here’s how the study came to determine this…

How reliable is the Apple Watch’s blood oxygen sensor?

As spotted by MyHealthyApple, the study was published this month in the Digital Health open access journal. The objective of the study was to investigate “how a commercially available smartwatch that measures peripheral blood oxygen saturation (SpO 2 ) can detect hypoxemia compared to a medical-grade pulse oximeter.”

For the study, researchers recruited 24 healthy participants. Each person wore an Apple Watch Series 6 on their left wrist and a pulse oximeter sensor on their left middle finger (the Masimo Radical-7).

The participants breathed via a breathing circuit with a three-way non-rebreathing valve in three phases. First, in the 2-minute initial stabilization phase, the participants inhaled the ambient air. Then in the 5-minute desaturation phase, the participants breathed the oxygen-reduced gas mixture (12% O 2 ), which temporarily reduced their blood oxygen saturation. In the final stabilization phase, the participants inhaled the ambient air again until SpO 2 returned to normal values. Measurements of SpO 2 were taken from the smartwatch and the pulse oximeter simultaneously in 30-s intervals.

The study resulted in 642 individual pairs of blood oxygen measurements:

The differences in individual measurements between the smartwatch and oximeter within 6% SpO 2 can be expected for SpO 2 readings 90%-100% and up to 8% for SpO 2 readings less than 90%.

As such, the researchers conclude:

The bias in SpO 2 between the smartwatch and the oximeter was 0.0% for all the data points. The bias for SpO 2 less than 90% was 1.2%. The differences in individual measurements between the smartwatch and oximeter within 6% SpO 2 can be expected for SpO 2 readings 90%–100% and up to 8% for SpO 2 readings less than 90%.

Apple first added blood oxygen measurement support to the Apple Watch Series 6. It’s also a feature on the newest Apple Watch Series 7, Apple Watch Series 8, and Apple Watch Ultra. Apple has been hesitant to promote the feature with any actual medical claims, and the company hasn’t advertised any significant improvements to the technology since it first debuted on the Series 6 in 2020.

You can read the complete study right here on the SAGE Journals website.

FTC: We use income earning auto affiliate links. More.

Check out 9to5Mac on YouTube for more Apple news:"
1,"This week, the US Department of Energy's Berkeley Lab released its annual analysis of solar energy in the US. It found that nearly half the generating capacity was installed in the US during 2021 and is poised to dominate future installs. That's in part because costs have dropped by more than 75 percent since 2010; it's now often cheaper to build and operate a solar plant than it is to simply buy fuel for an existing natural gas plant.

The analysis was performed before the passage of the Inflation Reduction Act, which contains many incentives and tax breaks that should expand solar's advantages in the coming years.

Solar, by the numbers

In terms of large, utility-scale solar installs, the US added over 12.5 gigawatts of new capacity last year, bringing the total installed capacity to over 50 gigawatts. Texas led the way, with about a third of the total capacity added (3.9 GW) going online in the Lone Star State. Combined with residential and other distributed solar installations, solar alone accounted for 45 percent of the new generating capacity added to the grid last year.

Advertisement

That growth showed up in figures on how much energy solar supplies. Five states now receive more than 15 percent of their electricity from solar power, including Massachusetts and Vermont, with California receiving 25 percent of its electricity from the Sun.

Solar's expansion has largely been driven by falling costs. The DOE estimates that the price of building a solar plant has been dropping by an average of about 10 percent a year, leading to a fall of over 75 percent since 2010. That has left prices averaging about $1.35 for each watt of capacity in 2021. Large-scale plants benefit the most, with projects over 50 megawatts costing about 20 percent less than those under 20 MW.

The drop in prices is causing some somewhat odd trends, driven by the fact that it's becoming increasingly economical to install large facilities in states that don't get as much sun, like Maine, Michigan, and Wisconsin. As a result, the past several years have seen the average incoming energy at newly constructed facilities (measured as daily kilowatt-hours per square meter) drop by about 20 percent.

That has helped cause a large spread in what's called the capacity factor, which is calculated by dividing the amount of energy produced at a facility by the maximum energy it could have generated if it produced 24 hours a day. The median capacity factor of solar plants in the US was 24 percent, but outliers were as low as 9 percent and as high as 35 percent. As prices continue to fall, this spread may become more pronounced, with more plants at the low end of the range."
2,"In July, an HIV-positive man became the first volunteer in a clinical trial aimed at using Crispr gene editing to snip the AIDS-causing virus out of his cells. For an hour, he was hooked up to an IV bag that pumped the experimental treatment directly into his bloodstream. The one-time infusion is designed to carry the gene-editing tools to the man’s infected cells to clear the virus.

Later this month, the volunteer will stop taking the antiretroviral drugs he’s been on to keep the virus at undetectable levels. Then, investigators will wait 12 weeks to see if the virus rebounds. If not, they’ll consider the experiment a success. “What we’re trying to do is return the cell to a near-normal state,” says Daniel Dornbusch, CEO of Excision BioTherapeutics, the San Francisco-based biotech company that’s running the trial.

The HIV virus attacks immune cells in the body called CD4 cells and hijacks their machinery to make copies of itself. But some HIV-infected cells can go dormant—sometimes for years—and not actively produce new virus copies. These so-called reservoirs are a major barrier to curing HIV.

Advertisement

“HIV is a tough foe to fight because it’s able to insert itself into our own DNA, and it’s also able to become silent and reactivate at different points in a person’s life,” says Jonathan Li, a physician at Brigham and Women’s Hospital and HIV researcher at Harvard University who’s not involved with the Crispr trial. Figuring out how to target these reservoirs—and doing it without harming vital CD4 cells—has proven challenging, Li says.

While antiretroviral drugs can halt viral replication and clear the virus from the blood, they can’t reach these reservoirs, so people have to take medication every day for the rest of their lives. But Excision BioTherapeutics is hoping that Crispr will remove HIV for good.

Crispr is being used in several other studies to treat a handful of conditions that arise from genetic mutations. In those cases, scientists are using Crispr to edit peoples’ own cells. But for the HIV trial, Excision researchers are turning the gene-editing tool against the virus. The Crispr infusion contains gene-editing molecules that target two regions in the HIV genome important for viral replication. The virus can only reproduce if it’s fully intact, so Crispr disrupts that process by cutting out chunks of the genome.

In 2019, researchers at Temple University and the University of Nebraska found that using Crispr to delete those regions eliminated HIV from the genomes of rats and mice. A year later, the Temple group also showed that the approach safely removed viral DNA from macaques with SIV, the monkey version of HIV."
3,"Introduction

Quantum researchers require access to different types of quantum hardware from digital, also known as gate-based, quantum processing units (QPUs) to analog devices that are capable of addressing specific problems that are hard to solve using classical computers. Today, Amazon Braket, the quantum computing service from AWS, continues to deliver on its commitment to provide that choice by launching Aquila, pictured in Figure 1 below, a new neutral-atom QPU from QuEra Computing with up to 256 qubits. As a special purpose device designed for solving optimization problems and simulating quantum phenomena in nature, it enables researchers to explore a new analog paradigm of quantum computing.

Analog Hamiltonian Simulation

The QuEra QPU is the first device available on Amazon Braket capable of a paradigm of quantum computing known as Analog Hamiltonian Simulation (AHS). AHS refers to the ability to encode a problem of interest into a mathematical object known as the Hamiltonian. The Hamiltonian represents the energy levels of a quantum system such as interacting spins on a lattice. The computer is then tuned such that it directly simulates the continuous time evolution of the quantum system under that Hamiltonian.

In traditional gate-based quantum computers, users can program gates acting on the qubits directly. Quantum processors such as the Oxford Quantum Circuits, or Rigetti devices on Amazon Braket function that way, with qubits consisting of the ground and excited states of an anharmonic oscillator. The QuEra QPU operates by trapping atoms with lasers, arranging them in programmable one or two-dimensional layouts, and inducing interatomic interactions via van der Waals forces. The qubit consists of the ground state of the atom and a highly excited state, known as a Rydberg state. By exciting atoms from the ground to the excited state, the QuEra QPU is able to realize a phenomenon known as Rydberg blockade, whereby the quantum states of neighboring qubits are fixed by the state of a control qubit. Furthermore, customers can dynamically tune driving field parameters, thus controlling qubit states and their interactions.

What can I do with the QuEra QPU?

The QuEra QPU is a special purpose device, trading-off the ability to perform universal or gate-based computation for the ability to efficiently solve specific tasks. The flexible atom arrangements and tunability of optical controls enable Aquila to realize a rich class of Hamiltonians. Customers can explore the static and dynamic properties of quantum states under these Hamiltonians by adiabatic or diabatic quantum evolution. To date, the Hamiltonian realized by the QuEra QPU has already been used to study several scientific questions of interest in condensed matter and quantum many-body physics. One such example is observing the emergence of a spin-liquid phase, a state of matter with non-local, topological order. These phases are hard to study numerically owing to the system sizes needed to demonstrate non-local order. The QuEra QPU allows customers to program complex lattice geometries such as the Kagome lattice with up to 256 qubits, a system size large enough to explore these novel states.

“Special purpose analog quantum devices are likely to outperform classical computation for direct simulation of other quantum systems before we realize a fault-tolerant, universal quantum computer” said Ignacio Cirac, Director and Head of Theory Division, Max Planck Institute for Quantum Optics (MPQ). “In the Theory Division of MPQ we are excited by the launch of the QuEra device on Amazon Braket which enables our team of researchers to experiment and pursue new ideas in the field of analog quantum simulation.”

Aquila’s users are not constrained to specific lattice geometries, or limited to arranging qubits in any regular pattern at all, as shown in Fig 2 above. In addition to strongly correlated many-particle systems, scientists were able to show that neutral-atom processors such as Aquila are suited to arranging atoms in graph patterns, and solving certain combinatorial optimization problems. Namely, these machines can encode the maximum independent set (MIS) problem, which has broad applications in optimization such as resource allocation, network design and others. The MIS problem can be cast as a variational problem which can be computed using iterative optimization cycles that combine a hybrid of quantum and classical operations. With the launch of the QuEra QPU on Amazon Braket, researchers can leverage Amazon Braket Hybrid Jobs to study hybrid algorithms using Aquila.

Getting Started

Over forty years ago, Richard Feynman proposed harnessing quantum computers to simulate nature at the quantum scale. Aquila, the neutral-atom QPU available on Amazon Braket does just that: it uses an inherently quantum system, atoms on a tunable lattice, to solve specific problems that are of interest to a wide community of researchers. Aquila is now available in the Northern Virginia (us-east-1) region, and can be accessed using the same Amazon Braket SDK and APIs that you use to access other QPUs. Create your AHS program locally or through our managed Jupyter notebooks. Looking for inspiration? Check out our Getting Started documentation and our example notebooks. More information about pricing can be found on our webpage."
4,"Antibiotic resistance is a worry for human and plant health alike. The more we use existing antibiotics in clinical settings and in agriculture, the more antibiotic resistance develops. Without new antibiotic compounds, we will struggle to treat once-controlled diseases in both humans and plants.

Exciting new research from Europe details the discovery of a new antifungal antibiotic called solanimycin hiding within a bacteria which causes disease in potatoes.

Most therapeutic antibiotics actually come from soil microbes, so this discovery broadens the search for new compounds to plant-based microorganisms.

“We have to look more expansively across much more of the microbial populations available to us,” said Dr. Rita Monson a microbiologist at the University of Cambridge and one of the study’s authors.

Blackleg in potatoes one of the symptoms of Dickeya solani. Credit: Liudmyla Liudmyla/Getty Images

The bacteria itself, known as Dickeya solani, has been known for over 15 years, with another antibiotic called oocydin A originally isolated from the bacteria and used as an effective fungicide against many plant ailments.

Get an update of science stories delivered straight to your inbox. Get a daily dose of science Get a weekly Cosmos Catch-up

From this, and a sequencing of the bacterium’s genome, the researchers realised the potential for other antibiotic compounds to be hiding in the background. When they switched off the genes responsible for producing oocydin A and when the bacteria were within an acidic background – such as that found inside a potato – it would switch on genes responsible for creating solanimycin.

“It’s an antifungal that we believe that will work by killing fungal competitors, and the bacteria benefit so much from this,” said Monson. “But you don’t turn it on unless you’re in a potato.”

Antiobiotic resistance: an arms race going on millions of years

Computer illustration of Candida fungi (yeast). C. albicans is found on the skin and mucous membranes of the mouth, genitals, respiratory and digestive tracts. Credit: Kateryna Koc/Science Photo/Library/Getty Images

Solanimycin has been demonstrated to act against fungal disease in both plants and also on a common organism known as Candida albicans, which is present inside the body naturally, but can become out of control and cause dangerous infections.

Monson and colleagues want to understand more about solanimycin and how it works, so they have teamed up with chemists to investigate the molecular structure in detail. From there, they hope to progress to testing the compound in plant and animal models."
5,"The world’s largest flow battery has opened, using a newer technology to store power.

The Dalian Flow Battery Energy Storage Peak-shaving Power Station, in Dalian in northeast China, has just been connected to the grid, and will be operating by mid-October.

The vanadium flow battery currently has a capacity of 100 MW/400 MWh, which will eventually be expanded to 200 MW/800 MWh.

According to the Chinese Academy of Sciences, who helped develop the project, it can supply enough electricity to meet the daily demands of 200,000 residents.

It will be used to smooth peaks and troughs in Dalian’s electricity demand and supply, making it easier to use solar and wind power.

Battery power module. Credit: DICP

Flow batteries are a newer type of battery technology that operate by combining tanks of liquid electrolytes, rather than using static electrodes.

They use cheaper and more sustainable materials than lithium-ion batteries, and are longer-lasting: theoretically, vanadium flow batteries could charge and discharge indefinitely.

Get an update of science stories delivered straight to your inbox. Get a daily dose of science Get a weekly Cosmos Catch-up

They’re also flame-resistant and therefore safer than lithium-ion.

The tanks containing electrolyte for the flow battery. Credit: DICP

Flow batteries aren’t as energy dense as lithium-ion batteries, however, meaning they’re unlikely to be viable alternatives in electric vehicles or other places where the weight of the battery needs to be minimised.

Instead, most interest in flow batteries is on static applications, like the big grid-scale battery in Dalian.

Are you interested in the energy industry and the technology and scientific developments that power it? Then our new email newsletter Energise, launching soon, is for you. Click here to become an inaugural subscriber.

Australia’s first and largest flow battery is a 2 MW/8 MWh vanadium flow battery under development in South Australia, at Yadlamalka near Port Augusta.

Australia’s biggest operating lithium-ion battery, by comparison, is currently the 300 MW/450 MWh Victorian Big Battery near Geelong.

How does a flow battery differ from other batteries? Read our battery explainer."
6,"Stockholm-headquartered renewable energy developer OX2 has signed letters of intent with Swedish edible seaweed companies Nordic SeaFarm and KOBB to explore the possibility of seaweed farming at one of OX2’s offshore wind farms.

Seaweed and offshore wind

OX2’s Galatea-Galene huge 1.7 gigawatt offshore wind farm will be sited off Halland, a county on the western coast of Sweden. It’s named after two Greek sea nymphs, Galatea and Galene, and consists of two sub-areas around 15.5 miles (25 km) outside the cities of Falkenberg and Varberg.

Galatea-Galene is expected to consist of up to 101 wind turbines and generate around 6 to 7 terawatt-hours of clean electricity per year. That’s the equivalent of the average annual electricity consumption of more than 1.2 million Swedish households. (There are 4.8 million households in Sweden, for perspective.)

This offshore wind farm will be developed in a single phase. Construction is expected to commence in 2028 and enter into commercial operation in 2030.

Simon Johansson, CEO of Nordic SeaFarm, and Benjamin Ajo, chairman of the board of KOBB, said in a joint statement [via Offshorewind.biz]:

We see great opportunities, in collaboration with both the fishing industry and the wind power industry, to both maintain and create new jobs when we investigate the possibilities of creating a new industry in Sweden in the form of large-scale aquaculture. Developing the national food supply while [offshore wind] farms contribute to stopping the negative effects of climate change are more positive aspects.

All seaweed needs to grow is saltwater and sunlight. It’s a superfood that’s rich in vitamins, minerals, fiber, and antioxidants, and particularly high in iodine, so it’s very nutritious. (Note that crispy seaweed in Chinese restaurants is actually cabbage.)

It can be used to wrap sushi, in soups and salads, in snacks and instant noodles, and as livestock food.

Seaweed also provides a source of food for marine life. In April, Electrek reported that a groundbreaking study found that the first US offshore wind farm has had no negative effect on fish and has even proven to be beneficial.

Here’s a short video from Nordic SeaFarm that shows how the company grows and harvests seaweed for consumption:

Electrek’s Take

Pairing seaweed farms and offshore wind farms seems like an inspired idea.

Seaweed’s ability to absorb toxins and other contaminants from the sea make it environmentally friendly, but that’s not what humans want to consume. That’s where seaweed growers come in: they test the seaweed for safety and quality.

Any multipurpose sustainable use of an offshore wind farm, particularly one that provides both clean energy and nutritious food that doesn’t require either fertilizer or fresh water to grow, is a win. It’s also another example of innovation that the clean energy revolution is bringing about in the climate change fight.

Read more: This new innovation boosts wind farm energy output yet costs nothing

UnderstandSolar is a free service that links you to top-rated solar installers in your region for personalized solar estimates. Tesla now offers price matching, so it’s important to shop for the best quotes. Click here to learn more and get your quotes. — *ad."
7,"Renewables met all of the rise in global electricity demand in the first half of 2022, preventing any growth in coal and gas generation, according to a new report published by London-based energy think tank Ember.

The rise in wind and solar generation met over 75% of the demand growth in the first half of 2022, while hydro met the remainder, preventing a possible 4% increase in fossil-fuel generation and avoiding $40 billion in fuel costs and 230 Mt CO2 in emissions.

Malgorzata Wiatros-Motyka, senior analyst at Ember, said:

Wind and solar are proving themselves during the energy crisis. The first step to ending the grip of expensive and polluting fossil fuels is to build enough clean power to meet the world’s growing appetite for electricity.

The report analyzes electricity data from 75 countries representing 90% of global electricity demand. It compares the first six months of 2022 to the first half of 2021 to show how the electricity transition has progressed.

The report finds that global electricity demand grew by 389 terawatt hours (TWh) in the first half of 2022. Renewables – wind, solar, and hydro – increased by 416 TWh, slightly exceeding the rise in electricity demand.

Wind and solar alone rose by 300 TWh, which was equal to 77% of the rise in global electricity demand. In China, the rise in wind and solar generation alone met 92% of its electricity demand rise. In the United States it was 81%, and in India it was 23%.

Rise in fossil-fuel generation unchanged

As a result of the growth in renewables, fossil-fuel generation was almost unchanged (+5 TWh, +0.1%). Coal fell by 36 TWh (-1%) and gas by 1 TWh (-0.05%). This offset a slight rise in other fossil fuels (mainly oil) of 42 TWh. Consequently, global CO2 power sector emissions were unchanged in the first half of 2022 compared to the same period last year, despite the rise in electricity demand.

Coal in the EU rose 15% only to cover a temporary shortfall in nuclear and hydro generation. Coal in India rose 10% because of a sharp rebound in electricity demand from lows early last year when the pandemic struck hardest. Globally, these rises were offset by coal-power falls of 3% in China and 7% in the United States.

The growth in wind and solar prevented a 4% rise in fossil fuel electricity generation worldwide. In China, the growth in wind and solar enabled fossil fuel power to fall by 3%. Without this growth, fossil fuels would have risen by 1%. In India, fossil fuel power rose by 9%, but it would have been 12% without growth in wind and solar. In the United States, it slowed down the rise in fossil fuel power from 7% to just 1%. In the EU, fossil fuel power rose by 6%, but it would have been 16% without growth in wind and solar.

Despite the halt in fossil-fuel generation in the first half of 2022, coal and gas generation increased in July and August. It leaves open the possibility that power sector emissions in 2022 may yet rise, following last year’s all-time high.

Further, a new report from San Francisco-based NGO Global Energy Monitor found that approximately 89.6 gigawatts (GW) of gas plants in development globally, totaling 5,070 million metric tons of CO2e lifetime emissions if built, are coal-to-gas conversions or replacements.

These conversions are proceeding despite data showing that gas projects are increasingly uncompetitive with renewables and are just as bad, if not worse, for the environment than coal.

Wiatros-Motyka said:

We can’t be sure if we’ve reached peak coal and gas in the power sector. Global power sector emissions are still pushing all-time highs when they need to be falling very quickly. And the same fossil fuels pushing us into a climate crisis are also causing the global energy crisis. We have a solution: Wind and solar are homegrown and cheap, and are already cutting both bills and emissions fast.

Read more: Siemens Gamesa launches recyclable onshore wind turbine blades

UnderstandSolar is a free service that links you to top-rated solar installers in your region for personalized solar estimates. Tesla now offers price matching, so it’s important to shop for the best quotes. Click here to learn more and get your quotes. — *ad."
8,"While you may notice more electric vehicles on the road today than ever before, the technology is now making its way to miners, the companies extracting the critical minerals needed to build EVs, ensure adequate global food supply, etc. A new contract to supply battery electric vehicles to the Jansen potash project (potentially the world’s largest potash mine) expects to slash carbon emissions in half compared to its peers. What if we could apply this technology to miners in the EV industry, creating a full circle sustainable supply chain?

BHP’s Jansen potash project is expected to be the largest of its kind, with initial capacity forecasts of 4.3 to 4.5 Mtpa.

Potash is often found in fertilizer and is a rich source of potassium, a mineral essential for our health. Since potassium is not produced by the body naturally, it must be consumed through food. Potash is the most commonly used potassium fertilizer, but over 70% is based on conventional underground mining that uses heavy-duty equipment to extract it.

Although underground mining can release half the CO2 emissions of open-pit mining, the company is taking it further by introducing several battery electric vehicles.

Normet Canada, the mining company behind the project, was awarded a new contract to use battery electric vehicles at the Jansen potash project, including 10 underground EV loaders and one electric tethered loader.

With these heavy-duty electric vehicles, BHP says the Jansen project is forecast to reduce CO2 emissions by 50% compared to the Saskatchewan potash mine.

The electric vehicle deliveries are expected to begin in March 2023 and run through 2024, which will work perfectly as the miners aim to start production in 2026.

Like potassium is critical for humans, electric vehicles also require certain minerals such as lithium and nickel. These miners are looking for ways to build on the momentum electric vehicles are establishing in reducing carbon emissions, completing a complete sustainability supply chain. Several companies are now working to make this a reality.

Normet electric mining equipment (Source: Normet)

Miners using electric vehicles can complete the sustainability supply chain

Almost every automaker has set its intentions to scale production of its electric vehicles to meet the growing demand for zero-emission cars while setting carbon reduction targets.

For example, GM is going all-electric by 2035, Ford looks to produce 2 million EVs annually by 2026, and Volkswagen plans to be fully electric in Europe by 2035, while North America follows.

Tesla, only selling electric cars, continues breaking records with 343,000 EVs delivered in Q3 on its way to producing 20 million annually.

However, getting to these numbers will require mining. A few companies have already begun working to build a sustainable EV supply chain.

Snow Lake Lithium outlined its plans in February to develop the world’s first all-electric lithium mine, one of the most critical minerals used to build EV batteries. The mining company’s CEO said at the time if you are going to mine for these resources that will be used to protect the environment, then obtaining them must also be done in a sustainable matter.

The company is working with Meglab, an electrical equipment provider and mining solutions company, to make the dream a reality.

There are operations around the world working to reduce emissions in the mining sector. In July 2021, Opibus (now ROAM) converted a Toyota Land Cruiser fitted with an electric powertrain to use a mining vehicle.

Miners using electric vehicles can significantly reduce the heat and carbon exposure they typically experience with diesel-powered equipment. Furthermore, EV mining technology can cost less as it requires less ventilation and cooling.

The point is, as the auto industry transitions to electric vehicles, companies are figuring out ways to build on the momentum EVs are establishing in reducing emissions. If miners get on board, it will come full circle, creating a complete sustainable EV supply chain."
9,"Rise of the cyborg cockroaches.

Cyborg Cockroach

An international team of scientists has created cyborg cockroaches, with electronics wired to their nervous systems that allow them to be remote controlled.

The researchers fitted wireless control modules powered by rechargeable batteries to the backs of Madagascar cockroaches, which can grow up to 2.4 inches long.

By stimulating each of the cockroaches' cerci, which are appendages that act like sensory nerves, via their tiny backpacks, the scientists were able to tell them where to go from a distance — a wild showcase of cutting-edge tech that they say could one day be harnessed to aid during search and rescue missions or help monitor the environment.

Solar Backpack

While these aren't aren't the first cyborg cockroaches, the team write in a new paper published in the journal npj Flexible Electronics that these new ones have a number of innovations that allowed them to assume control for longer periods of time.

Specifically, a tiny and extremely thin solar cell also ensured that the battery stays charged, allowing the researchers to remote control the cockroaches for extended periods of time.

""The body-mounted ultrathin organic solar cell module achieves a power output of 17.2 microwatts, which is more than 50 times larger than the power output of current state-of-the-art energy harvesting devices on living insects,"" lead author Kenjiro Fukuda, a senior research scientist at Riken University, said in a statement.

Urban Rescue

But the cockroaches aren't being dispatched during search and rescue missions any time soon.

""The current system only has a wireless locomotion control system, so it's not enough to prepare an application such as urban rescue,"" Fukuda told CNET. ""By integrating other required devices such as sensors and cameras, we can use our cyborg insects for such purposes.""

According to the researcher, the same technology could be applied to beetles and cicadas as well.

It's a fun and futuristic vision: an army of remotely controlled cyborg insects that can infiltrate hard to reach locations or monitor crops.

But scientists will have to advance the tech carefully — nobody wants to risk a cyborg cockroach uprising.

READ MORE: Scientists Create Cyborg Cockroaches Controlled by Solar-Powered Backpacks [CNET]



More on cyborg insects: Tiny Cyborg Drone Navigates Using Surgically Removed Moth Antenna"
