,reference-count,publisher,short-container-title,DOI,type,is-referenced-by-count,title,container-title,other_links,score,URL,subject,pdf_link,other_links
arxiv0,41,Institute of Electrical and Electronics Engineers (IEEE),IEEE Access,10.1109/access.2020.2980085,journal-article,10,SaferCross: Enhancing Pedestrian Safety Using Embedded Sensors of Smartphone,IEEE Access,http://xplorestaging.ieee.org/ielx7/6287639/8948470/09032194.pdf?arnumber=9032194,UNKNOWN,http://dx.doi.org/10.1109/access.2020.2980085,General EngineeringGeneral Materials ScienceGeneral Computer Science,UNKNOWN,http://xplorestaging.ieee.org/ielx7/6287639/8948470/09032194.pdf?arnumber=9032194
arxiv1,20,Institute of Electrical and Electronics Engineers (IEEE),IEEE Trans. Signal Process.,10.1109/tsp.2019.2957639,journal-article,17,A Novel Algorithm for Optimal Placement of Multiple Inertial Sensors to Improve the Sensing Accuracy,IEEE Transactions on Signal Processing,http://xplorestaging.ieee.org/ielx7/78/8933520/08922607.pdf?arnumber=8922607,UNKNOWN,http://dx.doi.org/10.1109/tsp.2019.2957639,Electrical and Electronic EngineeringSignal Processing,UNKNOWN,http://xplorestaging.ieee.org/ielx7/78/8933520/08922607.pdf?arnumber=8922607
arxiv5,20,IEEE,UNKNOWN,10.1109/wcnc45663.2020.9120632,proceedings-article,48,Enhancing Cellular Communications for UAVs via Intelligent Reflective Surface,2020 IEEE Wireless Communications and Networking Conference (WCNC),http://xplorestaging.ieee.org/ielx7/9116580/9120448/09120632.pdf?arnumber=9120632,UNKNOWN,http://dx.doi.org/10.1109/wcnc45663.2020.9120632,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9116580/9120448/09120632.pdf?arnumber=9120632
arxiv6,40,Institute of Electrical and Electronics Engineers (IEEE),IEEE Sensors J.,10.1109/jsen.2020.2964396,journal-article,44,Sensing Data Fusion for Enhanced Indoor Air Quality Monitoring,IEEE Sensors Journal,http://xplorestaging.ieee.org/ielx7/7361/9040352/08950378.pdf?arnumber=8950378,UNKNOWN,http://dx.doi.org/10.1109/jsen.2020.2964396,Electrical and Electronic EngineeringInstrumentation,UNKNOWN,http://xplorestaging.ieee.org/ielx7/7361/9040352/08950378.pdf?arnumber=8950378
arxiv7,169,Institute of Electrical and Electronics Engineers (IEEE),IEEE Access,10.1109/access.2020.3011099,journal-article,17,Secondary Use of Electronic Health Record: Opportunities and Challenges,IEEE Access,http://xplorestaging.ieee.org/ielx7/6287639/8948470/09146114.pdf?arnumber=9146114,UNKNOWN,http://dx.doi.org/10.1109/access.2020.3011099,General EngineeringGeneral Materials ScienceGeneral Computer Science,UNKNOWN,http://xplorestaging.ieee.org/ielx7/6287639/8948470/09146114.pdf?arnumber=9146114
arxiv8,11,IEEE,UNKNOWN,10.1109/icc40277.2020.9148771,proceedings-article,8,Sensing and Communication Tradeoff Design for AoI Minimization in a Cellular Internet of UAVs,ICC 2020 - 2020 IEEE International Conference on Communications (ICC),http://xplorestaging.ieee.org/ielx7/9141367/9148588/09148771.pdf?arnumber=9148771,UNKNOWN,http://dx.doi.org/10.1109/icc40277.2020.9148771,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9141367/9148588/09148771.pdf?arnumber=9148771
arxiv9,33,IEEE,UNKNOWN,10.1109/iccworkshops49005.2020.9145089,proceedings-article,13,Mobility Management for Cellular-Connected UAVs: A Learning-Based Approach,2020 IEEE International Conference on Communications Workshops (ICC Workshops),http://xplorestaging.ieee.org/ielx7/9138348/9145032/09145089.pdf?arnumber=9145089,UNKNOWN,http://dx.doi.org/10.1109/iccworkshops49005.2020.9145089,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9138348/9145032/09145089.pdf?arnumber=9145089
arxiv10,56,Institute of Electrical and Electronics Engineers (IEEE),IEEE Access,10.1109/access.2020.3015686,journal-article,13,IMDfence: Architecting a Secure Protocol for Implantable Medical Devices,IEEE Access,http://xplorestaging.ieee.org/ielx7/6287639/8948470/09165063.pdf?arnumber=9165063,UNKNOWN,http://dx.doi.org/10.1109/access.2020.3015686,General EngineeringGeneral Materials ScienceGeneral Computer Science,UNKNOWN,http://xplorestaging.ieee.org/ielx7/6287639/8948470/09165063.pdf?arnumber=9165063
arxiv11,35,IEEE,UNKNOWN,10.1109/case48305.2020.9216992,proceedings-article,3,Extraction and Assessment of Naturalistic Human Driving Trajectories from Infrastructure Camera and Radar Sensors,2020 IEEE 16th International Conference on Automation Science and Engineering (CASE),http://xplorestaging.ieee.org/ielx7/9210430/9216730/09216992.pdf?arnumber=9216992,UNKNOWN,http://dx.doi.org/10.1109/case48305.2020.9216992,UNKNOWN,UNKNOWN,http://xplorestaging.ieee.org/ielx7/9210430/9216730/09216992.pdf?arnumber=9216992
arxiv12,0,Institute of Electrical and Electronics Engineers (IEEE),IEEE Access,10.1109/access.2020.3037715,journal-article,112,"Human Activity Recognition Using Inertial, Physiological and Environmental Sensors: A Comprehensive Survey",IEEE Access,http://xplorestaging.ieee.org/ielx7/6287639/8948470/09257355.pdf?arnumber=9257355,UNKNOWN,http://dx.doi.org/10.1109/access.2020.3037715,General EngineeringGeneral Materials ScienceGeneral Computer Science,https://ieeexplore.ieee.org/ielam/6287639/8948470/9257355-aam.pdf,http://xplorestaging.ieee.org/ielx7/6287639/8948470/09257355.pdf?arnumber=9257355
