id,titles,abstract,bertopic_cluster_id,cluster_Name,Levi_Relevance 1/0 (Technology Oriented/Other) ,New_Tech_code,"Levi_Related_Class (1,2,3,0)  by defined categories in Sheet 1","Levi_Detect (1,0) 1 - New Potentially emerging technology detected, 0 -no pearls in the shall",Tech_Name,source,abstract_bertopic_id,title_bertopic_id,title_bertopic_id_from_ES2,source_from_ES2,link_from_ES2,abstract_from_ES2,abstract_bertopic_id_from_ES2,Levi_Stage_assessment,Note
"['science_daily119', 'science_daily130', 'science_daily146', 'science_daily150']",Unveiling the Mysteries of Senescent Cells and Their Effect on Aging and Human Health,,,,1,2,2,0,senotherapeutics,,,,14,science_daily,https://www.sciencedaily.com/releases/2022/12/221228215341.htm,Researchers are bridging mouse and human data to reveal the biology of senescent cells. Senescent cells stop dividing in response to stressors and seemingly have a role to play in human health and ... ,15_senescent_cells_unravel_touch,Scientific research,Removal of senescent cells. Part of Extreme Life extension
"['science_daily124', 'science_daily197']",Infant Gene Therapy Is a Breakthrough for Artemis-SCID Patients,,,,1,2,3,1,Artemis-SCID gene therapy,,,,9,science_daily,https://www.sciencedaily.com/releases/2022/12/221221172126.htm,Ten young children born without functioning immune systems and lacking the ability to fight infections are on track for healthier lives thanks to a new gene therapy ... ,12_cancer_cell_cells_influenza,diffusion among innovators,Part of DNA repair
"['science_daily129', 'science_daily145', 'science_daily149', 'science_daily154']",Changing the Intrinsic Behavior of Neurons,,,,1,2,2,1,light-sensitive enzymes that can trigger the formation of either insulating or conductive polymers on the surface of cell membranespart of Neuron control,,,,12,science_daily,https://www.sciencedaily.com/releases/2022/12/221208123551.htm,"Researchers have developed a new method to target diseased neurons in the brain and change their long-term behavior using light, paving the way for potential new treatments for neurological ... ",11_brain_parkinson_neural_milne,Scientific research,
"['science_daily119', 'science_daily130', 'science_daily146', 'science_daily150']",Unveiling the Mysteries of Senescent Cells and Their Effect on Aging and Human Health,,,,1,2,3,0,senotherapeutics,,,,10,science_daily,https://www.sciencedaily.com/releases/2022/12/221228215341.htm,Researchers are bridging mouse and human data to reveal the biology of senescent cells. Senescent cells stop dividing in response to stressors and ... ,15_senescent_cells_unravel_touch,,DUPLICATE
"['science_daily136', 'science_daily139', 'science_daily163', 'science_daily184', 'science_daily193', 'science_daily198']",Scientists Enhance Recyclability of Post-Consumer Plastic,,,,1,1,3,1,new method of recycling HDPE without degradation,,,,9,science_daily,https://www.sciencedaily.com/releases/2022/12/221222162443.htm,Scientists have developed a new method for recycling high-density polyethylene ... ,16_plastic_recycling_polyethylene_material,Scientific research,
"['science_daily142', 'science_daily200', 'science_daily202']","Carbon Dioxide Removal Should Receive Additional Financial Support, Experts Urge",,,,1,0,0,0,Carbon dioxide removal,,,,10,science_daily,https://www.sciencedaily.com/releases/2022/12/221220165204.htm,Cleaning up greenhouse gases after they have been emitted should be incentivized by subsidies. New evidence from an economic analysis considering international markets suggests an important reason ... ,0_climate_change_kic_carbon,,
['science_daily179'],Deep-Space Optical Communication Demonstration Project Forges Ahead,,,,1,1,3,1,"Deep space optical communication, combine with Li-Fi",,,,13,science_daily,https://www.sciencedaily.com/releases/2022/12/221209153105.htm,Scientists have demonstrated new laser systems for deep-space optical ... ,9_telescope_space_light_webb,Prototype,
['science_daily186'],"The Future of Data Storage Is Double-Helical, Research Indicates",,,,1,1,3,1,DNA digital data storage,,,,5,science_daily,https://www.sciencedaily.com/releases/2022/03/220303162030.htm,"Researchers added seven new letters to DNA's molecular alphabet and developed a precise, letter-perfect sequencing method. These innovations helped transform the double helix into a robust, ... ",12_cancer_cell_cells_influenza,Scientific research,"Already in list, but new advancement adds 7 synthetic nucleotides to 4 natural ones and effective reading method has been found"
['science_daily190'],Signal Processing Algorithms Improved Turbulence in Free-Space Optic Tests,,,,1,2,2,1,Free space optics processing algorithm,,,,13,science_daily,https://www.sciencedaily.com/releases/2022/12/221220113019.htm,"New signal-processing algorithms have been shown to help mitigate the impact of turbulence in free-space optical experiments, potentially bringing 'free space' internet a step closer to ... ",9_telescope_space_light_webb,Scientific research,"Algorithm supporting Li-Fi, which is already in list."
['science_daily191'],AI Better Than Human Eye at Predicting Brain Metastasis Outcomes,,,,1,1,2,1,AI assessment of brain metastasis,,,,10,science_daily,https://www.sciencedaily.com/releases/2022/12/221219124004.htm,A recent study suggests an innovative artificial intelligence (AI) technique they developed is considerably more effective than the human eye when it comes to predicting therapy outcomes in patients ... ,-1_ai_health_healthcare_heart,Scientific research,
"['science_daily142', 'science_daily200', 'science_daily202']","Carbon Dioxide Removal Should Receive Additional Financial Support, Experts Urge",,,,1,0,0,0,Carbon dioxide removal,,,,9,science_daily,https://www.sciencedaily.com/releases/2022/12/221220165204.htm,Cleaning up greenhouse gases after they have been emitted should be incentivized by subsidies. New evidence from an economic analysis considering ... ,0_climate_change_kic_carbon,,DUPLICATE
['science_daily213'],"Researchers Develop Wireless, Ultrathin 'Skin VR' to Provide a Vivid, 'Personalized' Touch Experience in the Virtual World",,,,1,2,3,1,WeTac,,,,6,science_daily,https://www.sciencedaily.com/releases/2022/12/221215104536.htm,"Enhancing the virtual experience with the touch sensation has become a hot topic, but today's haptic devices remain typically bulky and tangled with wires. Researchers have now developed an ... ",15_senescent_cells_unravel_touch,Commercial R&D,"soft, ultrathin, skin-integrated wireless electrotactile system.Part of Haptic feedback systems"
"['eit218', 'eit582']",EIT RawMaterials solving global cross value chain challenges of raw materials,,,,1,3,3,1,Urine recycling into fertilizer,,,,2,eit,https://eit.europa.eu//news-events/news/eit-food-announces-winners-venture-summit-2022-agrifood-innovation,"Raw materials have been, are and will continue to be the bedrock of the global economy. There is a complex value chain here, starting with the exploration, mining, processing and production of raw materials, all the way through to their being sold to consumers. There are human and automated processes, developed and developing countries, and a variety of tolerances working together here in the face of a whole host of ethical, environmental and social considerations. Dr Andreas Klossek,Managing Director of EIT RawMaterials The decision-makers within industrial enterprises are obliged to verify the origins of the raw materials used for their products far more stringently. These days, the issue of sustainability can have a major influence on peoples decisions to buy products. Governments and communities are setting legal parameters. NGOs are taking a critical look at the countries of origin and at the supply chain as a whole. The modern-day consumer gives consideration to product origins and environmental aspects not only when it comes to food, but also increasingly with regard to clothing, electrical goods and the entire area of mobility. This is prompting companies to take a stance and to review their ethical, environmental and sustainable footprint. Get the best of the EITs news once each month In the past, this was left to the individual market players to address themselves  each and every exploration or mining company, every mineral processor, every shipping company, every manufacturer or service provider had to monitor their own internal or external standards. And they had to do so in a range of areas such as corruption, environmental impacts, labour conditions, child labour, social issues and corporate governance. The result which has evolved over time is an inefficient, inconsistent and fragmented landscape of raw material certification standards in which sustainability is defined differently from country to country, from mineral to mineral and from organisation to organisation. This hampers transparency within the supply chain and the verifiability of the parameters at a time when sustainability is evolving from being a cost factor to being an investment that is crucial to success. This was the starting point for theCERA innovation project. In terms of tonnage, around three quarters of all imports to the European Union are raw materials, the majority of which come from developing countries. We in Europe and in Germany therefore bear a particularresponsibility for the conditionsunder which raw materials are mined. Its all about observing standards, verifying the legality of mining and safeguarding investments, and about operational reliability and environmental impacts. A first step was taken in this regard with the adoption of theEU Regulationon conflict resources. Dr Andreas Klossek, Managing Director of EIT RawMaterials According to Dr Klossek, a great deal more will be achieved with CERA. He added that it will be possible for the origins of raw materials to be unequivocally proven with the aid of a standardised analytical and comprehensive certification system which guarantees the environmental, social and economic sustainability of the exploration, mining, processing, trading and production of all mineral raw materials. Guarantees based on audit processes which can be scrutinised externally and covering the entire value chain  much like well to wheel considerations for the environmental footprints of fuels, we need a 'mine to product' consideration of raw materials. The Certification ofraw materials (CERA) EIT RawMaterials is co-financing the development of the CERA standard and is supporting the introduction of the network to the mining community and to all other raw material-related sectors. It is also assuming three important roles. As an innovator, we are actively supporting technological developments that will help us achieve our goals, such as fingerprinting based on the analysis of trace elements and the use of blockchain software to verifiably track trade and transport routes. As an incubator, we are ensuring that such technologies make it to market maturity. We promote young companies, offer networking between researchers and businesses, and see to it that innovations are embraced sooner. Because it is a lot easier for us as a large network to achieve what an individual company, university or research institution is perhaps not able to. Dr Andreas Klossek,Managing Director of EIT RawMaterials One of the CERA partners is one of its initiatorsDMT, which has close to 300 years of experience in the area of raw materials. Another isTV NORD CERT, which has great expertise regarding the existing certification and auditing systems. In turn, these two companies collaborate with the mining universityMontanuniversitt Leobenin Austria, theInstitute of Environmental Sciences at Leiden Universityin the Netherlands and the independent non-profit research centreRISE SICSin Sweden, as well as with companies such asLTU Business AB, likewise based in Sweden. The partners on the Advisory Board such asFairphoneandVolkswagen AGare, of course, just as important, as they ultimately represent the customer side of raw materials trading. Basically, any company is welcome to join us as a partner when we establish the CERA Association  the more companies that get involved, the sooner we will achieve the necessary market penetration and therefore also the desired level of transparency. Because only if we provide reliable information can the consumer make informed decisions regarding their manufacturer or product preferences. CERA will make this possible in Europe for the first time. Dr Andreas Klossek, Managing Director of EIT RawMaterials ",6_materials_raw_rawmaterials_mining,Commercial R&D,
"['eit218', 'eit582']",EIT RawMaterials solving global cross value chain challenges of raw materials,,,,1,3,3,1,Bio2coat,,,,2,eit,https://eit.europa.eu//news-events/news/eit-food-announces-winners-venture-summit-2022-agrifood-innovation,"Raw materials have been, are and will continue to be the bedrock of the global economy. There is a complex value chain here, starting with the exploration, mining, processing and production of raw materials, all the way through to their being sold to consumers. There are human and automated processes, developed and developing countries, and a variety of tolerances working together here in the face of a whole host of ethical, environmental and social considerations. Dr Andreas Klossek,Managing Director of EIT RawMaterials The decision-makers within industrial enterprises are obliged to verify the origins of the raw materials used for their products far more stringently. These days, the issue of sustainability can have a major influence on peoples decisions to buy products. Governments and communities are setting legal parameters. NGOs are taking a critical look at the countries of origin and at the supply chain as a whole. The modern-day consumer gives consideration to product origins and environmental aspects not only when it comes to food, but also increasingly with regard to clothing, electrical goods and the entire area of mobility. This is prompting companies to take a stance and to review their ethical, environmental and sustainable footprint. Get the best of the EITs news once each month In the past, this was left to the individual market players to address themselves  each and every exploration or mining company, every mineral processor, every shipping company, every manufacturer or service provider had to monitor their own internal or external standards. And they had to do so in a range of areas such as corruption, environmental impacts, labour conditions, child labour, social issues and corporate governance. The result which has evolved over time is an inefficient, inconsistent and fragmented landscape of raw material certification standards in which sustainability is defined differently from country to country, from mineral to mineral and from organisation to organisation. This hampers transparency within the supply chain and the verifiability of the parameters at a time when sustainability is evolving from being a cost factor to being an investment that is crucial to success. This was the starting point for theCERA innovation project. In terms of tonnage, around three quarters of all imports to the European Union are raw materials, the majority of which come from developing countries. We in Europe and in Germany therefore bear a particularresponsibility for the conditionsunder which raw materials are mined. Its all about observing standards, verifying the legality of mining and safeguarding investments, and about operational reliability and environmental impacts. A first step was taken in this regard with the adoption of theEU Regulationon conflict resources. Dr Andreas Klossek, Managing Director of EIT RawMaterials According to Dr Klossek, a great deal more will be achieved with CERA. He added that it will be possible for the origins of raw materials to be unequivocally proven with the aid of a standardised analytical and comprehensive certification system which guarantees the environmental, social and economic sustainability of the exploration, mining, processing, trading and production of all mineral raw materials. Guarantees based on audit processes which can be scrutinised externally and covering the entire value chain  much like well to wheel considerations for the environmental footprints of fuels, we need a 'mine to product' consideration of raw materials. The Certification ofraw materials (CERA) EIT RawMaterials is co-financing the development of the CERA standard and is supporting the introduction of the network to the mining community and to all other raw material-related sectors. It is also assuming three important roles. As an innovator, we are actively supporting technological developments that will help us achieve our goals, such as fingerprinting based on the analysis of trace elements and the use of blockchain software to verifiably track trade and transport routes. As an incubator, we are ensuring that such technologies make it to market maturity. We promote young companies, offer networking between researchers and businesses, and see to it that innovations are embraced sooner. Because it is a lot easier for us as a large network to achieve what an individual company, university or research institution is perhaps not able to. Dr Andreas Klossek,Managing Director of EIT RawMaterials One of the CERA partners is one of its initiatorsDMT, which has close to 300 years of experience in the area of raw materials. Another isTV NORD CERT, which has great expertise regarding the existing certification and auditing systems. In turn, these two companies collaborate with the mining universityMontanuniversitt Leobenin Austria, theInstitute of Environmental Sciences at Leiden Universityin the Netherlands and the independent non-profit research centreRISE SICSin Sweden, as well as with companies such asLTU Business AB, likewise based in Sweden. The partners on the Advisory Board such asFairphoneandVolkswagen AGare, of course, just as important, as they ultimately represent the customer side of raw materials trading. Basically, any company is welcome to join us as a partner when we establish the CERA Association  the more companies that get involved, the sooner we will achieve the necessary market penetration and therefore also the desired level of transparency. Because only if we provide reliable information can the consumer make informed decisions regarding their manufacturer or product preferences. CERA will make this possible in Europe for the first time. Dr Andreas Klossek, Managing Director of EIT RawMaterials ",6_materials_raw_rawmaterials_mining,Commercial R&D,Edible food coating
"['eit221', 'eit585']",Gatling and EIT Digital team up to make applications scalable,,,,1,1,3,1,Demand Responsive Transport,,,,6,eit,https://eit.europa.eu//news-events/news/eit-urban-mobility-next-7,"Gatling is the creator of a hugely successful open-sourceload testingsolution - also available in a proprietary Enterprise version - that has been downloaded more than 5 000 000 times in 120 countries so far. Peak load conditions, taking place when multiple users are accessing a website application concurrently, can be a nightmare for IT departments: crashes and slowdowns in these situations, are far too common and even a limited 2-hour crash can cost hundreds of thousands of dollars of lost revenues. Typically, such issues are linked to a new product release, breaking news or a sales opening which causes a significant and sudden increase in traffic. A resilient and scalable system, in these circumstances, can make all the difference between failure and success. Some successful companies have measured the exact impact of performances on their business:Amazon estimatesthat only 100 ms latency equals -1% in sales, whereas theBBCsaw a 10% decrease in users because of a 1-second latency. Gatlings load-test-as-code approach and its interoperability make it possible to perform load tests very early in the development lifecycle and to automate them. Moreover,Gatlingpromotes a collaborative approach of load testing within organizations, involving all their departments, from IT to Marketing. Today, everyone talks about scalability. But you cant scale your business if your app is not scalable. Dont let your app become a victim of its own success: test it! Paul-Henri Pillet, Gatling co-founder and CEO Gatling brought major changes in the load testing industry since it was created in mid-2015. Today, it has customers on 5 continents and doubles its revenues each year. 'Gatling has an impressive proposition: a superior technology bundled with a disruptive approach. They are enabling developers to test as they code, making it suddenly possible to fit with Agile and Continuous Delivery models which are so critical for those websites and apps facing massive numbers of visitors such as e-retail, media and banks,' said EIT Digitals business developer Gilles Allain. The scaleups R&D efforts target the latest trends in the tech world, including HTTP/2 support, load tests for Internet of Things, integrations with most of the cloud providers of the market (Amazon Web Services, Google Cloud, Microsoft Azure, OpenStack-based providers), integrations with Kubernetes and with most of the developers tools (source repositories, build tools, continuous integration solutions). 'We have become the reference solution for load testing, thanks to our investments in R&D over the years. EIT Digital will now help us strengthen our position in our existing markets and open new markets in Europe and beyond! This shall confirm our position as a tech leader in the following years,' saidPaul-Henri Pillet. TheEIT Digital Acceleratorprovides tailor-made growth support for European tech scale-ups by helping secure international customers and raise capital. In 2019, the programme was recognised by UBI Global as a World Top Public Business Accelerator in the World Benchmark Study 2019-2020, and ranked Top 4 Accelerator Brand in the Startup Heatmap Report Europe.",14_digital_eit_eur_accelerator,Diffusion among early adopters,
"['eit228', 'eit591']",EIT Food Seedbed Programme: apply now,,,,1,1,3,1,Vilisto system,,,,0,eit,https://eit.europa.eu//news-events/news/celebrating-european-innovation-announcing-winners-2022-eit-awards,"Call for applications: EIT Food Seedbed Incubator By 2050, EIT Community will need to feed and nourish more than nine billion people in a safe, responsible and sustainable way. In order to meet these demands, it has been estimated that 220% more water and 43% more crop land will be required if current dietary trends continue. EIT Food Seedbed Programme 2020 However, the agri-food sector is already facing growing competition and scarcity of land, water and energy for food production which will affect theability to produce this food. This lack of available resources is expected to be exacerbated by climate change, where up to 40% of the world will develop unfamiliar climates with completely new combinations of temperatures and seasonality of rainfall. As a result, these changing weather patterns are expected to disrupt food availability, reduce access to food and affect food quality and safety. Where food is constrained, prices may rise and this introduces a greater risk of food fraud. Simultaneously, around one in three people are already suffering some form of malnutrition, whether that be hunger, micronutrient deficiency, overweight or obesity, whilst one billion people suffer from hidden hunger. It is evident that EIT Community needs to reconsider how peopleproduce, distribute, value and consume food. In particular, innovations in technology are forecasted to play an important role in transforming the food system and achieving global food security for future generations. The EIT Food Seedbed programme supports technology and business-savvy agri-food entrepreneurs, intrapreneurs and early-stage startups who are looking to validate their minimum viable product and test their assumptions through a unique customer journey discovery programme. Sign up now to the EIT newsletter Nowopen for 2020 applications, EIT Food Seedbed Programme is designed to address a number of key food system challenges that are urgently facing the global population by supporting state-of-the-art agri-food technologies across the entire food chain, from farm to fork. These technologies should have the potential to create productive, nutritious, safe, sustainable and transparent food systems which contribute towards the Sustainable Development Goals, and teams should have a minimum viable product that is demonstrable to customers. Were particularly interested in the strength and experience of teams that apply, what their motivations are and how prepared they are to be an entrepreneur. A diversity of kinds of people is always a strength, as is complementary skills and a history of working together successfully. On a practical level, applicants should not have received more than EUR 50 000investment in relation to the development of their idea. As described, in order to achieve global food security for future generations, innovations in technology will play an important role in creating more trusted, sustainable, safe and profitable food systems and businesses. In particular, extensive data-enabled technologies are becoming more accessible and affordable - driving a revolution in how the food system operates, connecting stakeholders in the food chain and consumers in new and innovative ways to make the food chain more efficient and productive, reduce resource use and waste and open the door to new food chain collaborations and partnerships. Although not an exhaustive list, EIT Community encourages applications that fall within one of the following areas: The Seedbed team is especially excited by the solutions and rising levels of investment around food waste, as well as IoT and AI solutions for the agri-food sector - for instance, in solutions for smart farming. And on a broader note, it will be great to see how the diversity and inclusion initiatives that EIT Food is supporting in entrepreneurship are translated across theportfolio of programmes into stronger teams and groundbreaking innovations. Apply before 15March 2020",2_food_eit_consumers_sustainable,diffusion among innovators,self-learning thermostat
"['eit228', 'eit591']",EIT Food Seedbed Programme: apply now,,,,1,2,3,1, graphite extraction from used lithium-ion batteries,,,,0,eit,https://eit.europa.eu//news-events/news/celebrating-european-innovation-announcing-winners-2022-eit-awards,"Call for applications: EIT Food Seedbed Incubator By 2050, EIT Community will need to feed and nourish more than nine billion people in a safe, responsible and sustainable way. In order to meet these demands, it has been estimated that 220% more water and 43% more crop land will be required if current dietary trends continue. EIT Food Seedbed Programme 2020 However, the agri-food sector is already facing growing competition and scarcity of land, water and energy for food production which will affect theability to produce this food. This lack of available resources is expected to be exacerbated by climate change, where up to 40% of the world will develop unfamiliar climates with completely new combinations of temperatures and seasonality of rainfall. As a result, these changing weather patterns are expected to disrupt food availability, reduce access to food and affect food quality and safety. Where food is constrained, prices may rise and this introduces a greater risk of food fraud. Simultaneously, around one in three people are already suffering some form of malnutrition, whether that be hunger, micronutrient deficiency, overweight or obesity, whilst one billion people suffer from hidden hunger. It is evident that EIT Community needs to reconsider how peopleproduce, distribute, value and consume food. In particular, innovations in technology are forecasted to play an important role in transforming the food system and achieving global food security for future generations. The EIT Food Seedbed programme supports technology and business-savvy agri-food entrepreneurs, intrapreneurs and early-stage startups who are looking to validate their minimum viable product and test their assumptions through a unique customer journey discovery programme. Sign up now to the EIT newsletter Nowopen for 2020 applications, EIT Food Seedbed Programme is designed to address a number of key food system challenges that are urgently facing the global population by supporting state-of-the-art agri-food technologies across the entire food chain, from farm to fork. These technologies should have the potential to create productive, nutritious, safe, sustainable and transparent food systems which contribute towards the Sustainable Development Goals, and teams should have a minimum viable product that is demonstrable to customers. Were particularly interested in the strength and experience of teams that apply, what their motivations are and how prepared they are to be an entrepreneur. A diversity of kinds of people is always a strength, as is complementary skills and a history of working together successfully. On a practical level, applicants should not have received more than EUR 50 000investment in relation to the development of their idea. As described, in order to achieve global food security for future generations, innovations in technology will play an important role in creating more trusted, sustainable, safe and profitable food systems and businesses. In particular, extensive data-enabled technologies are becoming more accessible and affordable - driving a revolution in how the food system operates, connecting stakeholders in the food chain and consumers in new and innovative ways to make the food chain more efficient and productive, reduce resource use and waste and open the door to new food chain collaborations and partnerships. Although not an exhaustive list, EIT Community encourages applications that fall within one of the following areas: The Seedbed team is especially excited by the solutions and rising levels of investment around food waste, as well as IoT and AI solutions for the agri-food sector - for instance, in solutions for smart farming. And on a broader note, it will be great to see how the diversity and inclusion initiatives that EIT Food is supporting in entrepreneurship are translated across theportfolio of programmes into stronger teams and groundbreaking innovations. Apply before 15March 2020",2_food_eit_consumers_sustainable,Scientific research,
"['eit231', 'eit594']",EIT RawMaterials-supported Digital Mines project kicks off in Italy,,,,1,1,3,1,industrial origami,,,,6,eit,https://eit.europa.eu//news-events/news/eit-manufacturing-industrial-origami-technology-enables-carbon-neutral-car-future,"The raw materials industrial sector is increasingly implementing innovative techniques to improve productivity from existing assets and infrastructure leveraging on continuous innovations in sensor technology, machine connectivity, robotics and Artificial Intelligence. However, the potential of digital transformation needs to be translated into the successful implementation of these new technologies in the raw materials industry. On 11 February 2020, thekickoff meetingof the EIT RawMaterials-supported project AMICOS was held in Trento, Italy, at the premises of the research centre Fondazione Bruno Kessler, leader of the project. AMICOS (Autonomous monitoring and control system for Mining Plants) is a new project awarded almost EUR 2.5 million over three years by EIT RawMaterials. The main projects objective is to support the digital transformation of the raw materials industry with an innovative asset management solution that will increase the market adoption of digital technology in mines. Subscribe now to the EIT newsletter AMICOS end-to-end solution is composed of three main concepts: Digital mines use technologies developed by the so-called Industry 4.0 (Fourth Industrial Revolution) for more efficient, sustainable and safer operations. Most of these innovative and emerging technologies are included in AMICOS. The project's main objective is to offer an end-to-end solution that enhances the monitoring of mining operations. Special focus is placed on improving tailings dams and pipeline monitoring, as well as on the predictive maintenance of mining equipment, such as conveyor belts. We are going to be working with Internet of Things (IoT) technology, drones, autonomous ground and aerial vehicles, advanced data analytics, and decision-making tools based on Artificial Intelligence, to name a few. The use of these advanced technologies will mean key benefits for the mining operators: improve workforce safety, reduce maintenance and monitoring costs, and create more sustainable mines. We are tackling the issues raised by the mining industry itself. Denis Guilhot, Senior EU Project Manager at Worldsensing AMICOS is built upon a strong team of experts that includes research organisations, technology providers and mining companies. In AMICOS the direct involvement of mining groups, like ArcelorMittal, Atlantic Copper and KGHM, as project partners ensure the relevance of the project outputs. Nowadays mining groups are very ambitious with their technological aspirations to manage risk in operations. We are very excited about this new EIT RawMaterials project and look forward to contributing to sustainable mining and environment protection with our technology. Andrea Bartoli, Head of Innovation at Worldsensing Worldsensing participates in the AMICOS innovation projectas key industry and technology provider of operational intelligence solutions to the mining industry. Worldsensings contributions to the project will be:",6_materials_raw_rawmaterials_mining,diffusion among innovators,"create an object from a single sheet of steel, which is cut and folded"
